Key_1_1,pupilDiamLag,regressLen,lastSaccLen
7351,0.4446,0.0,288.0156
1445,0.3264,0.0,117.2359
6384,0.0859,258.0,805.0531
7599,0.1453,0.0,306.5587
2501,0.4074,0.0,161.4845
7440,0.5542,0.0,204.5
2713,0.122,0.0,245.0862
2275,0.2636,0.0,208.5402
865,0.5067,0.0,100.3606
5829,0.3344,0.0,169.3259
1142,0.114,0.0,114.2147
6850,2.0226,0.0,115.434
7086,0.948,22514.0,1098.318
6856,0.1181,715.0,70.2638
5797,0.2907,0.0,0.0
2031,0.1229,258.0,921.2918
2788,0.5105,0.0,407.939
154,0.1377,0.0,536.0784
1501,0.029,0.0,115.0848
1538,0.1124,378.0,557.0613
5549,0.082,0.0,394.0381
634,0.3234,0.0,98.6927
1687,0.0864,0.0,79.5692
5510,0.1637,0.0,180.0062
5998,0.1206,378.0,116.0097
5006,0.1027,0.0,126.935
3462,0.1649,299.0,50.324
2994,0.2052,0.0,398.0028
5174,0.3302,0.0,306.9405
2709,0.5822,0.0,560.7069
3637,0.3735,0.0,182.4966
5916,0.2141,598.0,564.6072
5556,0.1189,1372.0,94.7629
502,-0.0108,0.0,70.0874
2406,0.0261,0.0,147.6432
6645,-0.0044,0.0,175.309
2830,0.1859,0.0,138.1304
6891,0.0867,3793.0,193.0317
6590,0.2751,0.0,252.3846
2693,0.1432,0.0,163.5619
1235,0.1196,0.0,80.7233
6716,-0.5825,0.0,135.0741
7222,0.1191,0.0,157.0796
6882,0.2822,278.0,442.0775
7469,0.3484,0.0,195.6074
1724,0.0865,398.0,172.0356
2781,0.243,0.0,140.322
800,0.143,0.0,373.5482
978,2.3481,0.0,53.3877
2281,0.2407,0.0,120.9153
3380,0.1393,854.0,73.3757
6488,1.2187,0.0,177.5
5876,0.1753,338.0,209.1531
6703,0.1271,0.0,510.6332
5585,0.1086,8147.0,86.9253
107,0.2812,0.0,68.8368
58,0.1168,397.0,904.1507
972,1.5602,897.0,94.4312
1238,1.4382,2212.0,146.1617
1614,0.258,0.0,160.1811
2937,0.3466,0.0,95.0
1050,0.4364,0.0,61.0082
3848,0.2165,0.0,224.5802
3399,0.2765,0.0,84.537
1008,0.0766,6001.0,848.0908
7205,0.2216,0.0,284.3554
6232,0.1487,0.0,213.8019
6788,1.7037,0.0,167.0397
1095,0.948,1434.0,153.5008
2427,0.1383,0.0,142.0079
817,0.0116,0.0,156.1802
5700,0.1167,6363.0,190.9097
4171,0.4452,0.0,688.3931
853,0.4533,0.0,318.2267
369,0.126,0.0,302.0348
4324,0.1795,0.0,330.276
3306,0.3143,0.0,105.7946
5531,0.0959,0.0,145.0078
7294,0.3127,0.0,37.1652
5353,0.4063,0.0,99.5691
3226,0.9915,1255.0,70.0071
1449,0.3329,0.0,91.0014
961,0.419,0.0,159.8132
6751,0.0859,0.0,222.2082
3346,0.9383,0.0,719.9424
482,0.2395,0.0,213.1695
5682,0.1396,0.0,174.5287
4533,0.3776,656.0,99.8424
2652,0.1968,0.0,137.0912
6400,1.011,0.0,193.5568
1488,0.0073,0.0,89.7622
2919,0.0823,2007.0,373.9803
4496,0.3266,0.0,351.8114
6301,0.0949,0.0,119.5073
4104,1.1726,0.0,78.8495
6247,0.8872,0.0,123.5364
719,-0.3184,0.0,89.0505
211,0.972,0.0,98.0816
105,0.2546,0.0,123.3876
5352,0.2486,0.0,205.0274
4157,0.1875,0.0,527.5341
4193,0.1352,1052.0,312.8011
5712,0.2076,0.0,430.0814
7528,0.1205,0.0,343.3402
2373,0.3931,0.0,904.0781
4132,0.2802,0.0,112.54
7588,0.2232,0.0,95.2575
6594,0.2322,0.0,89.7622
4066,0.2485,0.0,319.1414
4400,0.1458,378.0,79.6994
737,0.2037,80.0,504.9802
809,0.3768,0.0,173.5115
4771,0.6525,11655.0,211.1711
4688,0.4533,0.0,86.1423
1700,0.0316,0.0,503.1073
4694,0.2729,417.0,143.0428
6990,0.253,0.0,487.3287
803,0.4321,0.0,131.4201
822,0.3083,0.0,149.0252
6077,0.2497,0.0,229.8097
4236,0.2141,0.0,122.602
7369,0.3516,0.0,181.6549
5902,0.1898,377.0,384.5208
6970,0.1595,0.0,645.9106
7151,0.1984,0.0,192.6266
1956,0.1215,0.0,204.1378
335,-0.1013,458.0,54.5206
7546,0.2002,0.0,367.0766
1288,0.2908,0.0,264.0928
21,0.409,0.0,753.9513
4899,-0.1019,0.0,311.5903
1678,0.1462,0.0,1116.3301
349,0.1315,0.0,229.5049
4073,0.1335,219.0,88.7426
1885,0.1306,4690.0,137.1313
2185,0.2743,1272.0,62.476
1124,0.4338,0.0,170.0007
6688,0.1296,0.0,132.417
3212,0.7263,0.0,245.2249
6329,0.0997,0.0,541.4596
507,0.2302,0.0,490.7178
4579,-0.0316,0.0,584.2418
6699,0.1711,0.0,166.7041
6221,0.0681,0.0,164.931
748,0.0418,0.0,194.2897
1185,0.1649,299.0,184.954
6339,0.188,0.0,742.0197
267,0.3931,1389.0,174.4484
917,0.2416,0.0,123.0447
5687,0.8115,0.0,130.0779
4570,0.419,0.0,135.5083
3404,0.0437,358.0,154.7361
3596,0.2388,1351.0,27.7218
1568,0.1347,0.0,226.7918
7316,0.1433,0.0,240.0047
2518,0.0128,0.0,424.5027
811,0.1978,0.0,275.3271
1804,2.7591,0.0,111.5437
3958,0.1644,0.0,294.9903
6871,0.2298,0.0,599.092
1402,0.1989,0.0,256.5448
7276,0.162,2503.0,238.6891
5141,0.1787,139.0,79.0
3333,0.2206,0.0,108.2243
6660,0.1802,537.0,99.0808
1131,0.7781,0.0,199.2699
985,0.1033,219.0,145.0836
5144,0.7176,1593.0,231.9526
5278,0.3085,398.0,64.5949
3620,0.1366,99.0,65.4083
1180,0.1448,0.0,236.6268
5509,0.295,2369.0,77.9503
595,0.1212,0.0,69.4586
6770,0.6206,0.0,133.7881
3436,0.1102,0.0,127.8329
1265,0.3344,0.0,150.3671
197,0.6206,597.0,164.4536
4576,0.1082,0.0,181.6989
3917,0.3438,0.0,100.7
2999,0.409,0.0,124.0363
4559,0.0387,0.0,160.5195
1178,0.3006,0.0,280.9026
611,0.0766,0.0,98.6116
6268,0.1955,0.0,146.1232
7292,0.2226,476.0,151.0761
2752,0.248,159.0,94.3835
3397,0.1469,0.0,112.5711
6087,0.4978,1352.0,441.5343
662,0.419,259.0,77.0276
5082,0.1432,0.0,129.5154
4299,0.1558,0.0,58.2087
4673,0.2032,0.0,365.7448
3884,0.1643,0.0,64.9346
1893,0.3783,2845.0,95.5314
4134,0.2949,0.0,784.7716
6178,0.1525,0.0,138.6588
1905,0.1507,0.0,352.066
1624,0.3464,379.0,153.5489
7522,0.147,0.0,356.6287
5374,0.1433,0.0,64.0
527,-0.0422,437.0,156.5008
4245,0.356,0.0,344.5033
102,0.2895,0.0,282.9629
4929,0.2213,0.0,74.7011
7097,0.2091,0.0,99.8624
5685,0.1802,0.0,205.8501
2057,0.1206,0.0,143.6672
3054,0.2616,1193.0,258.4918
2926,0.2891,0.0,175.5456
6652,0.2911,0.0,129.1172
6564,0.1518,0.0,254.3275
1771,0.1586,199.0,332.1333
1838,0.374,0.0,103.0946
4401,0.0672,0.0,445.1957
6074,0.1212,0.0,134.0009
1137,0.3413,517.0,177.0254
259,0.1741,258.0,108.1665
5799,0.1212,0.0,396.5
1024,0.0803,0.0,44.0028
6053,0.2729,1134.0,178.6757
5828,0.043,0.0,188.5975
6495,0.3438,0.0,64.9788
5913,0.3161,438.0,783.0704
6335,1.2396,0.0,146.5486
1645,0.196,1849.0,87.8877
2909,0.2128,0.0,181.2078
6305,0.2327,0.0,506.2964
2572,0.2125,0.0,108.4735
5733,0.1378,398.0,541.0333
189,0.4452,0.0,184.8276
1398,0.127,557.0,95.6935
5058,0.2418,0.0,384.7002
6874,-0.0945,0.0,147.6906
2399,0.663,0.0,97.2895
2146,0.2492,0.0,189.1144
7005,0.4061,0.0,246.3701
6437,0.1247,0.0,166.4332
7261,0.4265,0.0,172.6963
5781,0.7263,0.0,561.1
3685,0.0016,0.0,242.3267
7248,0.0047,457.0,98.1835
1533,0.0293,0.0,780.0854
5217,0.29,0.0,113.1868
6114,0.0903,0.0,104.6721
1345,0.3507,0.0,225.1444
6982,-0.0433,0.0,0.0
4099,0.1053,558.0,124.4689
6977,0.3178,0.0,73.6376
3969,0.0971,0.0,239.9318
1996,0.4063,0.0,354.4929
7187,0.556,0.0,318.5769
6002,0.1698,0.0,114.4246
5378,0.0642,0.0,226.3454
6858,0.2768,258.0,508.2335
2137,0.1128,0.0,105.5296
578,0.3547,0.0,128.8148
2200,0.314,0.0,159.5125
2978,0.6131,517.0,194.6645
4207,0.2449,0.0,126.0159
3471,0.2672,0.0,141.1737
912,0.2083,0.0,210.7143
6661,0.1023,0.0,263.6854
216,0.3791,0.0,448.5828
5437,0.199,0.0,156.0072
7592,0.0825,0.0,52.2398
5814,0.2253,0.0,166.8682
5079,0.1786,0.0,129.1908
1561,0.6732,0.0,104.6757
3414,0.2685,1113.0,253.1897
4477,0.3547,0.0,103.0886
377,0.1843,0.0,87.0531
3675,0.1946,0.0,301.5933
1512,0.2988,0.0,138.1774
1384,0.1033,0.0,233.6204
7576,0.2198,0.0,217.297
5745,0.2091,0.0,131.2345
6088,0.2583,0.0,359.1131
241,0.1174,796.0,367.1597
2708,0.126,0.0,487.0503
2683,0.2482,0.0,131.577
1591,0.1013,0.0,103.5809
4255,0.1665,0.0,349.6159
301,0.3008,0.0,190.6948
1089,0.2671,0.0,162.5031
3157,2.1322,658.0,55.3828
1021,0.2777,0.0,174.018
5646,1.8132,0.0,86.0131
5331,0.1821,0.0,230.5049
2905,0.2265,0.0,1074.4436
3020,0.3061,0.0,180.2471
4751,0.2636,0.0,212.5288
1690,0.0753,3678.0,41.4367
6391,0.0959,0.0,188.0538
6929,0.327,0.0,74.8766
2322,0.2271,0.0,189.5534
3959,0.3076,0.0,137.5227
873,0.2703,0.0,233.8616
1951,0.147,0.0,108.14
11,0.1822,0.0,370.3245
6172,0.1327,0.0,261.9971
1397,0.494,0.0,193.1094
6773,0.1136,0.0,365.381
3925,0.0216,1132.0,399.2174
1210,0.2085,179.0,237.4031
5070,0.3394,0.0,87.5357
1447,0.1446,9816.0,494.3099
3642,0.2647,119.0,54.2033
5453,0.1476,0.0,363.1425
572,0.1167,0.0,305.3072
5476,0.2967,0.0,109.9022
6986,0.212,0.0,348.7496
5096,0.0411,0.0,320.0664
3980,0.1127,0.0,138.5442
1003,0.1621,0.0,184.3285
881,0.1682,418.0,353.7814
4528,0.1787,0.0,155.5072
3563,0.3642,0.0,119.3367
3921,0.2133,0.0,538.5165
3775,0.0915,0.0,224.0006
2578,0.2487,0.0,136.2654
5914,-0.1907,0.0,0.0
3343,0.2754,0.0,251.5244
1112,0.1356,0.0,633.2097
6142,0.3464,577.0,97.6371
5338,0.205,0.0,205.548
6416,0.2056,0.0,398.5452
5046,0.2758,418.0,131.3097
4251,0.8442,737.0,110.8388
524,0.8872,0.0,222.1041
353,0.1708,0.0,235.9158
1992,0.1307,0.0,161.5031
7383,0.1871,0.0,198.7719
411,0.3797,0.0,560.8231
5086,0.1946,0.0,215.2324
