Key_1_1,regressDur,prevFixPos,titleNo,wordNo,nextWordRegress
7351,0.0,246.0732,4.0,3.0,0
1445,159.0,321.014,8.0,1.0,1
6384,0.0,479.3078,4.0,8.0,0
7599,396.0,153.1698,4.0,2.0,1
2501,378.0,189.6207,2.0,1.0,1
7440,0.0,29.5466,7.0,3.0,0
2713,0.0,129.8345,2.0,2.0,0
2275,0.0,611.2356,7.0,1.0,1
865,717.0,151.0033,4.0,3.0,1
5829,198.0,531.305,10.0,2.0,0
1142,716.0,138.7083,1.0,1.0,1
6850,0.0,292.7695,5.0,2.0,0
7086,817.0,403.1241,10.0,4.0,0
6856,916.0,433.1836,4.0,1.0,1
5797,0.0,82.7647,5.0,6.0,0
2031,0.0,161.7931,4.0,8.0,0
2788,800.0,404.0309,8.0,5.0,0
154,0.0,68.4251,4.0,7.0,0
1501,835.0,626.2691,3.0,1.0,1
1538,0.0,85.0,4.0,6.0,0
5549,0.0,107.2986,3.0,5.0,0
634,179.0,103.0776,5.0,1.0,1
1687,0.0,51.4296,4.0,5.0,1
5510,0.0,49.7293,5.0,3.0,0
5998,0.0,249.3933,5.0,4.0,0
5006,0.0,132.0606,5.0,2.0,0
3462,279.0,218.0734,1.0,1.0,1
2994,0.0,166.0753,7.0,4.0,0
5174,0.0,249.3391,4.0,4.0,0
2709,0.0,148.0304,7.0,4.0,0
3637,1272.0,95.0474,5.0,3.0,0
5916,0.0,257.8565,4.0,6.0,0
5556,159.0,80.05,3.0,3.0,1
502,0.0,226.4906,3.0,1.0,0
2406,0.0,403.2989,4.0,1.0,0
6645,199.0,542.1965,6.0,2.0,0
2830,159.0,937.0048,8.0,1.0,1
6891,0.0,598.5065,8.0,4.0,0
6590,676.0,313.4358,4.0,3.0,0
2693,0.0,29.7321,3.0,3.0,1
1235,139.0,226.1084,5.0,1.0,0
6716,578.0,611.2454,4.0,1.0,1
7222,99.0,811.6009,7.0,1.0,1
6882,0.0,161.8919,8.0,3.0,0
7469,0.0,122.0246,1.0,2.0,0
1724,0.0,117.2902,4.0,2.0,0
2781,0.0,396.3647,6.0,1.0,0
800,2224.0,673.2674,1.0,1.0,0
978,20.0,159.5306,6.0,1.0,1
2281,0.0,438.8086,6.0,1.0,0
3380,99.0,295.7364,7.0,6.0,0
6488,0.0,105.2093,8.0,1.0,0
5876,358.0,48.2701,5.0,6.0,0
6703,1074.0,162.0031,2.0,4.0,1
5585,495.0,139.5421,3.0,3.0,1
107,139.0,191.6507,8.0,1.0,1
58,0.0,147.8716,10.0,5.0,0
972,1056.0,104.2017,2.0,1.0,1
1238,0.0,39.8121,4.0,2.0,0
1614,0.0,75.0067,4.0,3.0,0
2937,159.0,433.2955,7.0,1.0,0
1050,0.0,40.4475,3.0,8.0,0
3848,278.0,374.0856,10.0,5.0,0
3399,0.0,85.8429,8.0,2.0,0
1008,0.0,104.8094,10.0,2.0,0
7205,0.0,191.5124,4.0,3.0,0
6232,0.0,422.3565,5.0,2.0,0
6788,399.0,149.4824,1.0,2.0,1
1095,11140.0,449.3607,6.0,1.0,1
2427,0.0,78.1025,3.0,2.0,0
817,319.0,148.0304,5.0,3.0,1
5700,4116.0,144.8862,4.0,3.0,1
4171,179.0,274.3319,9.0,6.0,1
853,0.0,53.9351,2.0,4.0,0
369,258.0,183.1338,5.0,4.0,1
4324,80.0,249.1907,3.0,1.0,0
3306,0.0,244.5976,2.0,1.0,0
5531,0.0,0.0,1.0,1.0,0
7294,0.0,851.1498,8.0,1.0,0
5353,835.0,235.0191,5.0,1.0,0
3226,0.0,111.7229,10.0,1.0,0
