jannis/table_1_2.V40,jannis/table_1_2.V43,jannis/table_1_2.V29,jannis/table_1_2.V38,jannis/table_1_2.Key_1_2,Key_0_0
7.64157,7.03541,1.0,0.680556,50526,55549
59.6577,8.62393,1.0,0.386111,32601,22650
14.6799,10.4208,0.33125,0.544444,8480,51206
21.5227,6.55513,0.339583,0.639583,18231,27037
29.0955,11.902,0.127083,0.2375,24780,43541
15.6311,16.1651,0.277083,0.313889,35564,56159
25.7415,1.69699,0.1875,0.0944444,2561,14982
12.2832,9.35391,0.735417,0.458333,10404,54701
7.84415,15.4054,0.594444,0.727083,8582,335
30.2253,2.67144,0.540625,0.416667,30609,28416
37.876,0.547816,0.85,0.175,20432,583
30.2839,15.0595,0.313889,0.641667,13410,46987
35.9652,17.9376,0.93125,0.0944444,33474,15541
2.02074,8.81825,1.0,0.166667,12088,38989
1.36877,18.4339,0.233333,0.35,52109,33943
45.9792,3.04659,0.554167,0.54375,25957,13996
61.8687,7.07679,1.0,0.433333,19767,39489
17.256,12.6844,0.147917,0.190625,35792,14456
34.8897,1.28334,0.678125,0.320833,31625,2851
28.6181,7.17696,1.0,0.297222,13014,1604
32.2844,10.367,0.0541667,0.5625,17012,12954
44.4374,12.5707,1.0,0.213889,8193,50944
47.0051,16.9472,0.177083,0.208333,21442,44463
7.28726,5.47713,1.0,0.3875,29957,19425
33.5635,7.21262,0.125,0.0638889,17452,28002
9.87728,10.8162,0.163889,0.35,47398,6642
67.5439,11.0471,1.0,0.233333,41724,13413
6.44923,3.89328,1.0,0.0722222,46413,53230
33.0643,13.6502,0.73125,0.316667,45884,55605
20.2701,10.8003,0.0854167,0.186111,14304,21489
11.9905,4.5679,0.7125,0.177778,47104,51366
47.8457,12.595,0.0625,0.541667,52818,55513
45.9534,9.98489,0.191667,0.594444,48930,41985
49.4415,4.95377,0.3875,0.341667,44717,6500
43.0379,12.2001,0.483333,0.555556,17685,21838
18.4897,22.5938,0.972917,0.419444,39204,50421
14.9981,14.2293,0.483333,0.880556,45364,41890
41.6912,17.3284,0.785417,0.61875,13282,26312
30.2956,7.45454,0.352083,0.822222,12596,17259
47.5305,4.88816,0.263889,0.495833,44519,35517
32.8518,2.28478,0.310417,0.383333,54239,47244
88.323,4.9622,0.320833,0.491667,448,26498
13.3155,2.45673,0.995833,0.102778,17976,13775
47.617,13.6389,0.291667,0.05,28276,37433
12.3602,5.74062,0.427083,0.7625,16690,31421
73.8702,13.4166,0.15,0.0888889,47613,28594
42.1963,2.12507,0.241667,0.152083,45519,27843
25.8738,2.81413,0.260417,0.136111,19338,46112
56.1376,19.9068,0.445833,0.7,52746,31399
76.2322,3.65854,0.3625,0.433333,31028,18075
31.4035,22.8201,0.0583333,0.355556,50822,22126
67.0457,8.43574,1.0,0.210417,44850,8202
27.6948,10.6174,1.0,1.0,32572,27186
53.0938,5.1508,1.0,0.611111,48644,19383
9.87153,13.1315,0.116667,0.55,36279,33750
7.07204,1.23561,0.333333,0.372917,46240,40289
11.7362,5.03971,1.0,0.25625,27958,6130
24.6825,10.6134,0.384375,0.135417,10319,40271
40.8904,10.8528,0.80625,0.219444,50559,54751
62.0526,14.8906,0.625,0.613889,3579,18088
22.8967,12.7707,0.61875,0.60625,7940,25554
28.1154,9.9839,0.41875,0.675,45384,6864
6.71767,3.14652,0.908333,0.333333,37944,37136
37.6884,2.75988,0.0958333,0.177083,19296,36164
32.9492,6.82838,0.244444,0.819444,16303,39906
20.5813,9.37023,0.541667,0.197917,4518,27073
24.2754,9.77907,0.845833,0.5,17284,29307
70.1739,22.8622,0.463889,0.136111,41624,48913
41.1942,12.594,0.185417,0.25,22551,43232
41.5419,12.2302,0.635417,0.194444,21573,28052
24.5162,16.4453,0.610417,0.635417,8905,48297
41.4177,20.1526,0.19375,0.520833,113,40615
50.1117,5.79132,0.983333,1.0,54008,42092
73.6701,0.0899306,0.752083,0.108333,732,48767
37.0808,5.2378,0.227778,0.352778,18739,54252
50.3156,9.16443,1.0,0.247222,14578,43728
22.801,12.7139,1.0,0.985417,38123,45153
53.8167,11.0112,0.789583,0.475,49637,21911
14.5478,3.48064,0.441667,1.0,20658,50000
4.90085,3.2737,0.594444,0.56875,50118,46849
62.2104,16.5206,0.316667,0.0861111,38606,27338
58.7607,11.8643,0.675,0.402778,15125,5765
51.9705,4.13746,0.972917,0.435417,15235,47367
48.9004,1.33228,1.0,0.0555556,37137,47650
49.512,3.68508,0.141667,0.685417,28636,43139
39.2014,21.8108,1.0,0.5375,20942,54661
3.31125,7.09393,0.377083,0.075,47963,17425
59.7043,4.73209,0.939583,0.54375,4023,6241
17.5591,9.36292,0.05625,1.0,11652,35779
67.1032,10.4554,0.09375,0.761111,23554,46755
65.6796,13.5708,0.241667,0.440625,50536,18906
27.1996,3.47682,1.0,0.0770833,37830,5240
24.9843,16.5226,0.2875,0.475,26429,16135
31.2246,15.1894,1.0,0.3625,45707,15492
28.0131,10.3965,0.8625,0.304167,55150,29941
57.3046,8.86824,0.419444,0.120833,32332,38267
30.1499,1.25497,0.0791667,0.259375,43527,12022
6.43001,12.1671,0.997917,0.139583,10579,40585
13.9465,13.274,0.452778,0.58125,38343,6291
32.942,18.6153,0.35625,0.138889,11660,5857
14.5881,10.9867,1.0,0.694444,48554,18960
12.2853,14.0433,0.252083,0.297917,42355,5940
76.2195,14.7672,0.647222,0.933333,25008,51020
46.8488,19.5525,0.161111,0.8,39638,36497
65.5954,6.93688,1.0,0.164583,9402,1320
10.7245,9.43317,0.260417,0.55,38435,54284
14.7202,7.72642,0.652083,1.0,37571,15325
44.0182,12.4737,0.577083,0.179167,11071,51678
38.5748,3.43475,0.08125,0.728125,4679,53361
25.3924,15.1226,1.0,0.205556,26268,23415
57.85,7.14119,1.0,0.344444,1102,54179
19.4349,4.53617,0.510417,0.788889,5309,12815
14.9934,3.735,0.825,0.233333,35046,43049
40.7425,18.5359,1.0,0.272917,38559,5996
20.8885,14.2749,0.595833,0.245833,22153,17953
53.0212,0.759116,0.03125,0.6125,51995,54819
34.5584,1.29649,0.944444,0.655556,49484,4598
34.6514,7.29535,0.679167,0.241667,57212,17156
41.8931,4.79482,1.0,0.0888889,25391,5412
21.2777,13.6534,0.108333,0.25625,11583,24388
10.4558,3.36415,1.0,0.166667,33670,18810
54.8151,9.23466,1.0,0.186111,44908,29140
29.432,16.2244,0.502778,0.819444,20859,43407
37.8636,16.0679,0.347222,0.195833,38395,6109
74.1459,4.6235,0.775,0.495833,57417,21282
37.877,12.9469,0.230556,0.133333,38938,29669
55.52,12.1684,0.235417,0.929167,52675,25894
39.8475,12.0038,0.683333,0.466667,54502,48667
47.4556,1.88068,0.1625,0.691667,42222,42786
40.8777,10.0833,0.145833,0.258333,48148,38969
64.2933,8.28926,0.108333,0.170833,52419,48601
63.9697,3.88239,0.372917,0.370833,387,57330
39.769,10.7184,0.997222,0.233333,1851,38788
11.4513,10.3147,0.497222,0.158333,2669,20253
33.5966,6.14659,0.866667,0.183333,10241,20682
43.1381,8.84419,0.275,0.0972222,6161,22204
52.7093,5.84654,0.0291667,0.235417,28797,55060
25.5686,0.838324,0.0416667,0.133333,39269,10654
13.6524,9.00054,0.458333,0.191667,45734,17149
25.9143,16.0151,1.0,0.50625,32802,55269
49.2296,8.6417,0.820833,1.0,56349,15144
29.9563,8.21,0.277083,0.605556,12619,31361
12.6774,6.68916,0.279167,0.311111,24477,38355
60.2428,12.362,0.0791667,0.361111,5127,12822
58.4759,17.5677,0.252083,0.438889,37691,16991
45.3793,11.9227,1.0,0.360417,15231,25326
55.1401,13.0631,0.305556,0.425,1776,31804
48.8404,9.81404,0.797917,0.191667,46177,21717
29.1397,8.65624,1.0,0.25,119,55401
55.6745,16.2835,0.7125,0.352778,23593,49420
41.7249,22.6031,1.0,0.691667,23221,22438
53.1891,4.31432,1.0,0.916667,34255,34686
8.46048,21.8214,1.0,0.147222,40162,44187
38.6743,10.3184,0.333333,0.558333,16807,15909
25.9732,5.77848,0.991667,0.235417,13052,35692
42.6388,13.2015,0.91875,0.447222,11798,35053
21.8614,3.41687,0.310417,0.633333,27367,44656
69.7858,1.46426,0.114583,0.363889,55907,47586
73.0748,5.29017,1.0,0.302778,37129,49176
12.6453,7.42437,0.05625,0.544444,38212,17666
26.6932,16.4239,0.375,0.569444,18155,28310
74.5576,7.48211,1.0,0.0333333,51610,7962
21.3355,13.7685,0.9875,0.722222,49651,10011
53.1711,2.12046,0.191667,0.305556,3493,47817
62.164,6.64098,0.09375,0.533333,38055,18086
38.5971,10.3201,1.0,0.609375,8379,5782
49.2754,9.61638,0.1125,0.641667,55201,41072
19.8843,4.59643,0.819444,0.2875,49420,17777
41.5559,4.38456,0.24375,0.460417,35732,8866
59.6713,8.11932,0.141667,0.329167,47517,12700
11.4424,4.19186,0.172917,0.127083,16578,36674
53.4565,10.9067,1.0,0.133333,43753,20518
46.2544,3.0382,0.7125,0.805556,26066,26925
12.2232,13.5543,1.0,0.383333,5248,40785
58.2998,15.739,0.366667,0.60625,34293,42879
42.6347,11.4607,0.316667,0.605556,20481,13390
20.9845,20.9462,1.0,0.152778,54280,33840
34.3452,11.7555,0.214583,0.625,19187,19911
21.4606,8.46742,0.994444,0.625,21322,55349
3.42835,1.78029,0.711111,0.691667,17508,38177
63.9054,7.4948,0.445833,0.533333,27576,7460
42.4943,7.74164,0.1375,0.3,29377,21653
75.9106,10.5214,1.0,0.352778,49031,6755
23.099,10.798,1.0,0.125,20123,18851
35.4905,4.49638,0.141667,0.429167,45167,6657
24.9604,1.98529,1.0,0.255556,22268,27305
34.0042,8.91032,0.0791667,0.139583,46145,8440
28.7181,5.69294,0.188889,0.236111,19325,49754
42.6025,3.04639,1.0,0.169444,268,25091
41.6932,11.0447,0.7625,0.55,19528,53440
45.487,16.179,0.434375,0.369444,10929,53663
37.2981,5.90608,0.1375,0.48125,50428,5567
11.1559,13.3035,1.0,0.355556,891,52000
64.2827,0.0404525,1.0,0.141667,3348,57105
55.8536,22.314,0.679167,0.230556,11460,47844
46.418,15.8308,1.0,0.20625,25572,56978
14.1476,5.16665,1.0,0.275,42581,6443
44.0762,18.7422,1.0,0.0722222,47118,40777
7.42229,9.57273,1.0,0.586111,32346,17971
5.66216,12.7849,0.622917,0.355556,56088,16268
26.6426,5.22268,0.5375,0.447222,22906,3209
47.4312,11.9838,0.960417,0.802778,33538,16045
53.3878,11.9206,1.0,1.0,7469,20243
46.7765,4.30186,0.233333,0.739583,53634,23509
5.03825,11.7339,0.391667,0.225,36248,34287
20.1672,14.3031,0.439583,0.2,34723,19134
37.8705,9.61419,0.163889,0.286111,32011,4162
47.0856,14.3484,0.421875,0.158333,48839,29429
56.5507,6.03469,0.147917,0.627778,801,7935
13.1585,15.7174,0.927778,0.202083,34132,42001
11.7337,3.19769,0.43125,0.266667,11526,55586
