Key_1_3,V13,V14,V15,V6,V22,V2
56827,37.3249,28.7283,31.3541,0.220512,6.82754,0.270833
44736,52.7613,53.0448,52.4434,0.158481,15.1485,0.21875
29413,48.0647,48.0234,56.1376,0.247521,15.0157,0.304167
14440,17.7943,12.3773,5.61125,0.994265,2.38599,1.0
13832,1.99855,1.99183,2.17356,0.226857,0.29975,0.272917
8299,22.0662,20.2461,22.0682,0.769131,5.57033,0.911111
33210,13.7322,13.3835,12.6289,1.02469,3.5764,1.0
49031,62.428,59.7498,63.9893,0.836186,14.4941,0.822917
41374,6.89466,6.61351,7.23871,0.269273,1.43829,0.297917
35806,34.2377,32.7464,28.7851,1.02747,10.7493,1.0
47528,31.6742,32.3977,35.44,1.10009,10.1258,1.0
23304,27.9787,29.7419,23.0173,1.01112,9.59815,1.0
22462,51.0742,52.6272,39.0354,0.302652,16.2053,0.366667
32879,22.41,20.7977,23.6088,0.982822,6.09204,1.0
39612,11.7063,13.1286,16.403,1.19398,5.83423,1.0
55794,31.3003,32.8465,32.06,0.121203,11.2674,0.14375
17124,9.9997,8.09167,6.48095,0.266941,1.56951,0.288889
11122,30.3938,29.0943,34.7889,0.307387,5.59305,0.347222
20182,34.3027,31.5776,38.1951,1.00341,8.90739,1.0
33387,44.05,47.5544,43.2951,0.167313,10.1615,0.183333
53009,44.1742,44.2381,47.5562,0.960258,11.7397,1.0
22066,23.1729,27.2312,26.2843,0.276632,6.22525,0.375
39221,29.9367,28.0432,35.7403,0.367461,6.87068,0.491667
24261,27.4648,29.7051,28.543,0.159648,12.3838,0.177083
40678,12.0585,12.1243,11.222,1.11291,2.67244,1.0
2007,43.062,42.5161,36.9938,0.262775,10.7937,0.316667
14544,40.0197,36.2694,33.5194,1.02787,8.77158,1.0
29639,6.31073,5.57198,8.73808,0.108909,1.02245,0.125
45157,45.8354,45.6466,46.4117,0.123943,13.1504,0.189583
18313,4.60823,4.00833,3.61094,0.759736,0.633216,0.858333
11873,26.0369,22.5499,17.2943,1.04375,3.80401,1.0
18225,34.1453,25.4288,16.9558,0.744705,5.69453,0.827083
54978,23.153,22.7186,22.6185,0.513082,4.7649,0.563889
5428,40.174,27.7797,12.5967,0.937367,5.10444,1.0
27975,9.02163,7.54674,7.99866,1.04405,1.62279,1.0
49566,19.9883,16.9713,23.6276,1.17045,4.68738,1.0
