Key_1_2,V9,V27,V7,V3
41622,0.439663,-1.00407,0.343834,0.444444
4741,0.406496,3.01398,0.597466,0.602778
41015,0.477657,0.424549,0.197057,0.286111
5463,0.038203,0.300992,0.16267,0.16875
24914,0.469119,0.488899,0.153687,0.171875
23264,0.359935,0.114596,0.229436,0.283333
275,0.622882,-0.0559532,0.489542,0.4125
33824,0.588108,0.50924,0.409015,0.422222
41564,0.300572,1.04249,0.13127,0.152778
41390,0.194792,0.788698,0.483452,0.527778
13909,0.396175,0.817508,0.381149,0.491667
36129,0.150981,0.745986,0.451389,0.525
26074,0.512589,0.412648,0.4009,0.425
32155,0.191593,-0.5407,0.408651,0.472222
48359,0.401006,1.27985,0.561707,0.575
16820,0.36826,1.89131,0.541977,0.616667
31671,0.594872,-0.184935,0.110356,0.125
46733,0.557322,0.76852,0.494523,0.510417
26007,0.018593,-0.293242,0.398143,0.405556
21382,0.271876,-0.201405,0.534029,0.630556
45689,0.398854,0.29753,0.522007,0.580556
29702,0.499892,-0.141438,0.914375,1.0
12967,0.645998,-0.45204,0.332457,0.315625
34248,0.389286,-0.182113,0.274702,0.35
27195,0.276717,0.784378,0.324319,0.34375
32667,0.337735,-0.263496,0.338252,0.397222
25823,0.342957,-0.182935,0.833906,1.0
33895,0.224806,1.19446,0.109499,0.119444
20154,0.658167,-0.00258714,0.857418,0.936111
13147,0.569504,0.672672,0.393092,0.511111
35222,0.471409,-2.03221,0.148973,0.211111
10470,0.374707,0.234434,0.276499,0.322222
9401,0.313218,2.04551,0.146226,0.175
23646,0.285058,0.482057,0.297678,0.338889
7223,0.293834,-1.34322,0.267815,0.344444
30508,0.769637,2.80933,0.457207,0.75
55199,0.227273,-4.04035,0.262294,0.320833
30303,0.59158,0.708239,0.567295,0.733333
23628,0.127607,0.124871,0.729355,0.74375
54512,0.381429,0.811259,0.182779,0.21875
36784,0.473655,-1.05327,0.466128,0.64375
232,0.302024,1.05577,0.180031,0.194444
20754,0.240476,0.894956,0.260732,0.30625
22839,0.576246,0.683079,0.240246,0.297222
5587,0.220701,0.362034,0.365378,0.394444
23817,0.541283,0.909516,0.58437,0.616667
43953,0.322052,-0.207069,0.451211,0.514583
2085,0.0982607,0.202916,0.633114,0.685417
33332,0.521208,0.73532,0.555796,0.713889
17480,0.678833,0.644316,0.0823956,0.0972222
16890,0.205052,-0.167724,0.212293,0.238889
24915,0.0888889,-0.103242,0.256607,0.279167
1506,0.660604,-1.461,0.415031,0.639583
10601,0.196697,0.612977,1.02317,1.0
294,0.131991,0.467073,0.343332,0.372222
32,0.322968,1.42181,0.226263,0.261111
1721,0.632809,2.28473,0.858573,0.885417
25292,0.335477,2.87892,0.494895,0.577778
775,0.278363,4.1164,0.309078,0.388889
34516,0.383841,0.00730664,0.185882,0.205556
5929,0.61148,1.14577,0.203283,0.25
42654,0.408552,-1.09187,0.44353,0.555556
43102,0.341092,0.620583,0.137865,0.161111
31536,0.386481,-0.793352,0.203119,0.208333
3915,0.548759,0.123584,0.392937,0.494444
3780,0.424132,1.68313,0.583972,0.627083
46298,0.458476,0.085477,0.0673466,0.0861111
51697,0.494783,1.3183,0.454683,0.516667
51439,0.215027,0.811362,0.310558,0.327778
25909,0.448606,0.737955,0.185947,0.219444
6222,0.588971,1.69478,0.123641,0.18125
14898,0.54375,0.862114,0.134795,0.172222
22923,0.0750791,0.222828,0.213613,0.219444
1890,0.377653,-0.0402586,0.147467,0.177778
20283,0.296015,4.61583,0.651849,0.733333
34750,0.346168,0.183471,0.304765,0.375
47018,0.486395,0.0280668,0.545416,0.61875
33908,0.291248,0.434127,0.517305,0.525
23148,0.753728,-1.33208,0.349048,0.361111
40314,0.702835,0.532512,0.124126,0.175
43709,0.0938763,0.875398,0.505517,0.55
14719,0.396663,-0.872512,0.54257,0.59375
22223,0.116438,0.132998,0.448458,0.484375
48410,0.352687,0.376375,0.42477,0.494444
16041,0.294973,0.260492,0.280405,0.35
33673,0.670671,2.61359,0.114997,0.158333
4112,0.396203,0.701661,0.560012,0.627778
29297,0.0348353,0.61583,0.461501,0.477778
33820,0.0399248,-0.0236439,1.01788,1.0
52358,0.408625,-0.458626,0.263707,0.290625
32563,0.628471,-1.92866,0.151318,0.205556
44718,0.344042,4.97595,0.761783,0.872222
50077,0.33074,-0.600945,0.177845,0.210417
48793,0.372791,-1.5901,0.131837,0.155556
38921,0.517102,0.160907,0.154852,0.1875
41467,0.529287,0.146772,0.40355,0.433333
46152,0.53066,-0.768108,0.0997881,0.122222
24874,0.481584,0.77483,0.267208,0.316667
1336,0.285,1.90817,0.0997285,0.111111
55787,0.470929,0.353418,0.425476,0.486111
48040,0.332746,1.01669,0.664825,0.808333
36822,0.182988,0.135163,0.331908,0.344444
26789,0.219203,0.0758665,0.186228,0.221875
47661,0.773401,0.190907,0.455186,0.358333
18215,0.57984,0.126345,0.182382,0.275
19646,0.622325,3.78703,0.178491,0.225
47958,0.683923,0.16316,0.257791,0.366667
57072,0.177026,1.79065,0.11726,0.133333
55400,0.513801,0.939698,0.460706,0.530556
42557,0.327453,-0.964376,0.167684,0.19375
10011,0.607532,-0.310754,0.233551,0.361111
16594,0.355385,0.256659,0.0841384,0.108333
49995,0.249,-0.310526,0.467254,0.555556
35804,0.318463,1.31086,0.59154,0.644444
55385,0.580277,-0.155782,0.175988,0.205556
38670,0.364792,1.85011,0.223054,0.25
11071,0.63405,0.995503,0.891758,0.861111
39737,0.0430497,0.227536,0.31793,0.330556
34058,0.637689,1.37299,0.32736,0.375
163,0.379742,0.907297,0.41094,0.471875
10847,0.560746,5.03099,0.396324,0.544444
1021,0.271161,0.475758,0.44711,0.494444
23641,0.410242,-3.24301,0.151034,0.197917
32433,0.254143,-0.136379,0.190007,0.23125
47428,0.37723,0.944255,0.164541,0.197222
50293,0.639334,2.24051,0.457982,0.595833
8113,0.61419,0.988174,1.22179,1.0
18412,0.447096,0.0207331,0.115576,0.177083
50884,0.477266,1.92899,0.349904,0.444444
10232,0.345197,0.037966,0.268226,0.3375
50274,0.231323,3.67687,0.265443,0.313889
22616,0.374522,0.494988,0.485687,0.635417
2952,0.415786,0.028448,0.13816,0.197222
2315,0.621875,1.96704,0.498749,0.679167
50876,0.167159,-2.68762,0.164003,0.188889
1123,0.265873,-1.73486,0.121254,0.13125
5355,0.206674,-0.30633,0.494597,0.55
49516,0.0962484,0.319148,0.697612,0.725
4946,0.131271,0.101699,0.0989782,0.108333
12620,0.254778,1.05871,0.899347,1.0
52189,0.565452,0.838345,0.733363,0.727083
38320,0.139701,-0.563289,0.528083,0.588889
45902,0.538527,1.84496,0.384506,0.54375
32340,0.0153,-0.865983,0.384713,0.390625
25452,0.393939,0.0183503,0.115046,0.136111
453,0.503414,0.0712498,0.217505,0.294444
47930,0.26672,0.910094,0.177139,0.213889
11260,0.364449,0.287124,0.247618,0.286111
46287,0.206493,-0.832833,0.32852,0.405556
9575,0.388316,-1.23037,0.348967,0.438889
15458,0.16626,-8.87623,0.304862,0.341667
18116,0.419374,0.0665074,0.161638,0.2125
18545,0.446199,0.57023,0.268033,0.363889
23544,0.316519,2.84112,0.24223,0.269444
44432,0.342245,0.439078,0.35942,0.428125
55454,0.295565,-0.782846,0.126065,0.147222
45904,0.472584,0.172826,0.835276,0.875
19387,0.149451,-0.754785,0.327754,0.35
22515,0.525531,-0.817819,0.0326412,0.0583333
28198,0.0733884,1.69247,0.414829,0.441667
14873,0.471253,-0.713259,0.410242,0.455556
11712,0.0902132,0.716198,0.123023,0.134375
22681,0.49735,1.22621,0.405212,0.602778
6646,0.335119,-0.84592,0.303876,0.369444
46548,0.522305,2.87306,0.220939,0.302083
23684,0.367248,-0.555922,0.486281,0.622222
29148,0.268814,0.302225,0.435396,0.496875
13602,0.459702,1.21234,0.204036,0.291667
11539,0.374599,0.0188071,0.62061,0.808333
9857,0.329697,1.1894,0.0714226,0.0833333
39584,0.371863,-0.109368,0.284776,0.370833
20118,0.645299,1.1461,0.156983,0.216667
15896,0.159481,1.25268,0.849545,0.970833
26172,0.280053,1.53799,0.195445,0.216667
52430,0.771118,0.408558,0.69511,0.68125
38188,0.132112,0.918234,0.211411,0.241667
5961,0.483888,7.06473,0.194236,0.252083
20857,0.0187658,-0.87467,0.359936,0.366667
56216,0.310152,-0.512825,0.568427,0.622222
45564,0.275556,0.790134,0.265062,0.308333
51074,0.23154,2.03332,0.213066,0.225
13413,0.0473279,0.126228,0.609896,0.638889
36118,0.127592,0.314862,0.317395,0.352778
29833,0.563466,0.760529,0.441509,0.497222
8528,0.374531,0.361434,0.285646,0.308333
50044,0.423958,-1.45294,0.252975,0.283333
13658,0.295833,0.0961682,0.275494,0.336111
9079,0.65775,2.75459,0.692683,0.719444
56948,0.256036,0.0501343,0.190668,0.216667
2179,0.537585,-0.220973,0.263985,0.344444
6165,0.472499,0.115016,0.606871,0.835417
41863,0.469329,0.512131,0.408721,0.497222
2419,0.378097,-0.515243,0.28818,0.313889
21334,0.433693,-0.371059,0.361456,0.525
31415,0.270313,1.249,0.0473008,0.0555556
27456,0.334409,1.44087,0.0690166,0.0833333
14083,0.0783796,-0.110963,0.260769,0.28125
10734,0.182544,0.216064,0.248055,0.286111
53153,0.423497,0.323209,0.126468,0.180556
34409,0.37726,0.748871,0.941847,1.0
32561,0.273528,-1.37923,0.468767,0.558333
34207,0.130754,2.1806,0.306898,0.35
8764,0.405299,8.3415,0.237034,0.272222
37472,0.491624,-0.311182,0.195529,0.269444
37337,0.267974,1.49413,0.118123,0.141667
1341,0.463766,0.761547,0.402322,0.483333
55942,0.380043,-2.00049,0.264731,0.322222
29926,0.369383,4.557,0.174619,0.2375
10979,0.222176,0.558468,0.440062,0.538889
55633,0.552741,-1.31706,0.294888,0.314583
44124,0.509469,0.604441,0.760715,0.769444
37372,0.504346,0.921759,0.712277,0.955556
43834,0.50193,-0.443541,0.165457,0.25
1408,0.343967,0.773207,0.220689,0.319444
54569,0.170426,-0.308568,0.617211,0.638889
2994,0.178931,0.112178,0.373978,0.38125
50671,0.496022,-0.307884,0.201904,0.230556
43005,0.615149,2.69206,0.180129,0.202778
149,0.516317,0.0954445,0.78143,0.894444
53452,0.423611,0.0470864,0.0578279,0.0833333
17574,0.0614972,1.60642,0.51952,0.539583
10286,0.234751,7.55046,0.25522,0.297917
6400,0.149562,-0.483325,0.245839,0.277778
51793,0.143892,0.735647,0.297308,0.335417
46359,0.155882,1.54376,0.0770634,0.0888889
37688,0.307497,0.345904,0.117963,0.152778
36671,0.108831,-0.371839,0.475631,0.496875
39615,0.304889,2.47959,0.269191,0.352778
36483,0.182213,-0.222052,0.329914,0.3875
15014,0.4,1.07108,0.141442,0.178125
4671,0.344545,3.43848,0.109958,0.139583
12376,0.465176,2.04027,0.147283,0.184375
37413,0.361241,2.81657,0.207074,0.266667
9302,0.351789,0.242867,0.136075,0.163889
2771,0.0938995,-0.436142,0.729338,0.733333
25188,0.566149,0.952257,0.0652749,0.0888889
51719,0.367098,-0.25376,0.186023,0.225
7604,0.63058,1.95883,0.53057,0.7
45479,0.365568,2.72681,0.139508,0.188889
50635,0.334573,-0.713253,0.121685,0.14375
33022,0.443559,0.48163,0.338419,0.427778
12437,0.498373,-0.256232,0.100987,0.120833
45640,0.405999,-0.417386,0.425243,0.466667
29084,0.220599,0.718646,0.314888,0.370833
51603,0.0996116,-0.249873,0.300791,0.327778
46349,0.225587,2.03435,0.16189,0.197222
2932,0.469886,2.63588,0.131544,0.152778
36541,0.288602,0.339146,0.228949,0.263889
10139,0.233515,2.15867,0.317034,0.38125
37880,0.377058,0.199557,0.216965,0.259375
46455,0.708905,-1.15238,0.333688,0.364583
25989,0.578112,0.773164,0.521113,0.60625
42911,0.530957,1.00409,0.140202,0.164583
28428,0.396112,0.98544,0.0796063,0.10625
44863,0.281395,-0.174066,0.358152,0.403125
32944,0.406187,0.785846,0.204449,0.275
8838,0.318956,0.0610336,0.487434,0.616667
43595,0.417749,-0.529842,0.861861,1.0
4641,0.363953,-2.12365,0.924633,1.0
31020,0.128495,1.2312,0.100114,0.105556
6127,0.369676,2.94897,1.07852,1.0
10032,0.640309,-0.518373,0.0681811,0.1
9788,0.489449,1.79555,0.107089,0.161111
30006,0.133505,0.280764,0.269397,0.3
15604,0.585722,-0.860876,0.150511,0.227778
21796,0.31045,-0.426624,0.404732,0.475
57302,0.158953,0.440451,0.273407,0.308333
21432,0.391098,-0.0661495,0.395316,0.375
8845,0.106436,-0.0117444,0.155204,0.170833
39105,0.200028,0.166261,0.566265,0.619444
19071,0.038488,-2.17025,0.293786,0.303125
37828,0.299638,-0.303621,0.227838,0.269444
8701,0.499419,-0.842096,0.0776531,0.113889
52216,0.128915,-0.387882,0.431836,0.4625
38653,0.23489,2.08448,0.3911,0.433333
8385,0.243076,0.993476,0.19644,0.2125
5619,0.306106,0.446772,0.177406,0.222222
34282,0.558951,0.0689829,0.782493,0.783333
56348,0.287582,1.34034,0.462809,0.53125
17841,0.60015,0.490326,0.331889,0.4625
26232,0.695241,1.63702,0.220582,0.26875
