Dataset-1,Column-1,Dataset-2,Column-2,Match Type
clients_registered_lob_firms.csv,Lobbying Firm,payments_clients_lob_firms.csv,Lobbying Firm,equi-overlap
clients_registered_lob_firms.csv,Client Last Name,payments_clients_lob_firms.csv,Client Last Name,equi-overlap
clients_registered_lob_firms.csv,Lobbying Firm Registration Form,payments_clients_lob_firms.csv,Lobbying Firm Quarterly Report,same-domain
clients_registered_lob_firms.csv,Registration Year,payments_clients_lob_firms.csv,Report Year,equi-overlap
clients_registered_lob_firms.csv,Registration Year,city_proj_agencies_lob_firms.csv,Report Year,equi-overlap
payments_clients_lob_firms.csv,Report Year,city_proj_agencies_lob_firms.csv,Report Year,equi-overlap
clients_registered_lob_firms.csv,Lobbying Firm,city_proj_agencies_lob_firms.csv,Lobbying Firm,equi-overlap
payments_clients_lob_firms.csv,Lobbying Firm,city_proj_agencies_lob_firms.csv,Lobbying Firm,equi-overlap
clients_registered_lob_firms.csv,Client Last Name,city_proj_agencies_lob_firms.csv,Client Last Name,equi-overlap
payments_clients_lob_firms.csv,Client Last Name,city_proj_agencies_lob_firms.csv,Client Last Name,equi-overlap
payments_clients_lob_firms.csv,Lobbying Firm Quarterly Report,city_proj_agencies_lob_firms.csv,Lobbying Firm Quarterly Report,equi-overlap
clients_registered_lob_firms.csv,Lobbying Firm Registration Form,city_proj_agencies_lob_firms.csv,Lobbying Firm Quarterly Report,same-domain
city_campaign_contribs.csv,Contribution Date,city_campaign_contribs.csv,Period Beg Date,equi-overlap
city_campaign_contribs.csv,Contribution Date,city_campaign_contribs.csv,Period End Date,equi-overlap
city_campaign_contribs.csv,Contribution Date,city_campaign_contribs.csv,Election Date,equi-overlap
city_campaign_contribs.csv,Period Beg Date,city_campaign_contribs.csv,Election Date,same-domain
city_campaign_contribs.csv,Period Beg Date,city_campaign_contribs.csv,Period End Date,equi-overlap
city_campaign_contribs.csv,Period End Date,city_campaign_contribs.csv,Period End Date,same-domain
city_campaign_contribs.csv,Contributor,clients_registered_lob_firms.csv,Lobbying Firm,equi-overlap
city_campaign_contribs.csv,Contributor,payments_clients_lob_firms.csv,Lobbying Firm,equi-overlap
city_campaign_contribs.csv,Contributor,city_proj_agencies_lob_firms.csv,Lobbying Firm,equi-overlap
city_campaign_contribs.csv,Contributor State,clients_registered_lob_firms.csv,Client State,equi-overlap
clients_registered_lob_firms.csv,Date Registered,clients_registered_lob_firms.csv,Date Representation Began,equi-overlap
clients_registered_lob_firms.csv,Date Registered,clients_registered_lob_firms.csv,Date Terminated,equi-overlap
clients_registered_lob_firms.csv,Date Representation Began,clients_registered_lob_firms.csv,Date Terminated,equi-overlap
city_campaign_contribs.csv,Contribution Date,clients_registered_lob_firms.csv,Date Registered,equi-overlap
city_campaign_contribs.csv,Contribution Date,clients_registered_lob_firms.csv,Date Representation Began,equi-overlap
city_campaign_contribs.csv,Contribution Date,clients_registered_lob_firms.csv,Date Terminated,equi-overlap
city_campaign_contribs.csv,Period Beg Date,clients_registered_lob_firms.csv,Date Registered,equi-overlap
city_campaign_contribs.csv,Period Beg Date,clients_registered_lob_firms.csv,Date Representation Began,equi-overlap
city_campaign_contribs.csv,Period Beg Date,clients_registered_lob_firms.csv,Date Terminated,equi-overlap
city_campaign_contribs.csv,Period End Date,clients_registered_lob_firms.csv,Date Registered,equi-overlap
city_campaign_contribs.csv,Period End Date,clients_registered_lob_firms.csv,Date Representation Began,equi-overlap
city_campaign_contribs.csv,Period End Date,clients_registered_lob_firms.csv,Date Terminated,equi-overlap
city_campaign_contribs.csv,Election Date,clients_registered_lob_firms.csv,Date Registered,equi-overlap
city_campaign_contribs.csv,Election Date,clients_registered_lob_firms.csv,Date Representation Began,equi-overlap
city_campaign_contribs.csv,Election Date,clients_registered_lob_firms.csv,Date Terminated,equi-overlap
city_campaign_contribs.csv,Contributor City,clients_registered_lob_firms.csv,Client City,equi-overlap
city_campaign_contribs.csv,Contributor Zip,clients_registered_lob_firms.csv,Client Zip,equi-overlap
asset_inventory.csv,Creation Date,asset_inventory.csv,Last Update Date (data),same-domain
asset_inventory.csv,Creation Date,clients_registered_lob_firms.csv,Date Registered,sem-overlap
asset_inventory.csv,Creation Date,clients_registered_lob_firms.csv,Date Representation Began,sem-overlap
asset_inventory.csv,Creation Date,clients_registered_lob_firms.csv,Date Terminated,sem-overlap
asset_inventory.csv,Creation Date,city_campaign_contribs.csv,Contribution Date,sem-overlap
asset_inventory.csv,Creation Date,city_campaign_contribs.csv,Period Beg Date,sem-overlap
asset_inventory.csv,Creation Date,city_campaign_contribs.csv,Period End Date,sem-overlap
asset_inventory.csv,Creation Date,city_campaign_contribs.csv,Election Date,sem-overlap
asset_inventory.csv,Last Update Date (data),clients_registered_lob_firms.csv,Date Registered,sem-overlap
asset_inventory.csv,Last Update Date (data),clients_registered_lob_firms.csv,Date Representation Began,sem-overlap
