CONSOLIDATION,POLLING PLACE,POLLING PLACE STREET,POLLING PLACE CITY,POLLING PLACE ZIP,POLL TYPE,PRECINCT
900-5322A,L.A.P.D. OPERATIONS WEST,4849 VENICE BLVD,LOS ANGELES,90019,MISCP,900-5322E
900-2303A,PALMS WESTMINISTER PRESBY CH,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-5319B
900-5319A,WESTERN CHR OF  LOS ANGELES,1218 S FAIRFAX AVE,LOS ANGELES,90019,CHURC,900-5319G
900-2507A,MT HEBRON BAPTIST CHURCH,10219 S WESTERN AVE,LOS ANGELES,90047,CHUR1,900-2507B
900-2097B,CHRIST THE GOOD SHEPHERD CHR,3303 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2097B
900-2283A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-0967A
900-1189B,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-1189B
900-2484B,COMMUNITY UNITED PRESB CHR,7501 S NORMANDIE AVE,LOS ANGELES,90044,CHUR1,900-2484C
900-5322A,L.A.P.D. OPERATIONS WEST,4849 VENICE BLVD,LOS ANGELES,90019,MISCP,900-5322D
900-2107A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2106B
900-2265B,PARK LA BREA,475 S CURSON AVE W,LOS ANGELES,90036,APTBL,900-2265D
900-2025B,MT CARMEL RECREATION CTR,830 W 070TH ST,LOS ANGELES,90044,LACPR,900-2025B
900-1522A,PALMS MIDDLE SCHOOL,10860 WOODBINE ST,LOS ANGELES,90034,LAUSD,900-1522D
900-2095A,CHRIST THE GOOD SHEPHERD CHR,3303 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2095E
900-1533A,LOS ANGELES DENTAL CENTER,10801 VENICE BLVD,LOS ANGELES,90034,BUS.,900-1533B
900-2322B,ST ELMO VILLAGE INCORPORATION,4830 ST ELMO DR,LOS ANGELES,90019,BUS.,900-2322D
900-2497A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-2497G
900-1738A,NORMANDIE RECREATION CENTER,1550 S NORMANDIE AVE,LOS ANGELES,90006,LACPR,900-1738C
900-0944A,MAILBOXES & MORE 24/7,3520 OVERLAND AVE,LOS ANGELES,90034,BUS.,900-0944A
900-1455A,PALMS RECREATION CENTER,2950 OVERLAND AVE,LOS ANGELES,90064,LACPR,900-1432B
900-1730B,ST PAUL EVANGELICAL LUTH CHR,3901 W ADAMS BLVD,LOS ANGELES,90018,CHURC,900-1732A
900-1454A,HEYLER REALTY,10659 W PICO BLVD,LOS ANGELES,90064,BUS.,900-1454A
900-2299A,THE WORKMENS CIRCLE,1525 S ROBERTSON BLVD,LOS ANGELES,90035,BUS.,900-2299B
900-0948A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2105C
900-1961A,ST ANTHONY GRAND LODGE,4126 S FIGUEROA ST,LOS ANGELES,90037,BUS.,900-1961D
