Department Name,SubDept Code,SubDept Name,Program Name,Performance Measure Code,Performance Measure Name,Budget
Aging,02LVL5,Aging,Senior Services,02MEALS,Number of Home Delivered and Congregate Meals Provided,2012-13 Actuals
Aging,02LVL5,Aging,Family Caregiver Services,02CAREGIVER,Number of Participants in Caregiver Information Sessions,2012-13 Actuals
Aging,02LVL5,Aging,Older Workers Program,02OLDERWORKER,Number of Participants in the Older Workers Program,2012-13 Actuals
Animal Services,06LVL5,Animal Services,Animal Control and Law Enforcement,06LICENSE,Number of Animal Licenses Sold,2012-13 Actuals
Animal Services,06LVL5,Animal Services,Shelter Operations and Animal Care,06LIVESAVE,Animal Live/Save Rate,2012-13 Actuals
Animal Services,06LVL5,Animal Services,Animal Medical Services,06SPAYNEUTER,Number of Spay/Neuter Surgeries,2012-13 Actuals
Animal Services,06LVL5,Animal Services,Public Counters and Community Services,06VOLUNTEER,Number of Volunteer Hours,2012-13 Actuals
Building and Safety,08LVL5,Building and Safety,Structural Plan Checking,08PLANCHECK,Percent of Plan Check Jobs Completed in 15 Days,2012-13 Actuals
Building and Safety,08LVL5,Building and Safety,Green Buildings and Electrical and Mechanical Engineering,08MECHPLANCK,Percent of Mechanical Plan Check Jobs Completed in 15 Days,2012-13 Actuals
Building and Safety,08LVL5,Building and Safety,Grading Reports and Inspection,08GRADEREPORT,Percent of New Grading Reports Completed in 30 Days,2012-13 Actuals
Building and Safety,08LVL5,Building and Safety,Residential Inspection,08RESINSPECT,Percent of Residential Inspections Completed in 24 Hours,2012-13 Actuals
Building and Safety,08LVL5,Building and Safety,Commercial Inspection and Licensing,08PLUMBINSPECT,Percent of Plumbing Inspections Completed in 24 Hours,2012-13 Actuals
Building and Safety,08LVL5,Building and Safety,Development Services Case Management,08CASEMGMT,Percent of Case Management Projects Contacted in 5 Days,2012-13 Actuals
Building and Safety,08LVL5,Building and Safety,Residential and Commercial Code Enforcement,08COMPLAINT,Percent of Code Enforcement Complaints Closed in 60 Days,2012-13 Actuals
Building and Safety,08LVL5,Building and Safety,Conservation of Existing Structures and Mechanical Devices,08RESPROPERTY,Percent of Residential Property Reports Completed in 15 Days,2012-13 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Budget Formulation and Control,10RF%GF,Reserve Fund as a Percent of the Adopted General Fund Budget,2012-13 Actuals
City Clerk,14LVL5,City Clerk,Council and Public Services,14CITYRECORDS,Number of City Records Viewed,2012-13 Actuals
City Clerk,14LVL5,City Clerk,Records Management,14ARCHIVAL,Number of Archival Documents and Records Digitized on Demand,2012-13 Actuals
City Clerk,14LVL5,City Clerk,Mayor and City Council Administrative Support,14ACCOUNTING,Number of Accounting Documents Processed,2012-13 Actuals
Controller,26LVL5,Controller,Accounting and Disbursement of City Funds,26DISBURSEMENTS,Paymaster Disbursements,2012-13 Actuals
Controller,26LVL5,Controller,Financial Reporting of City and Grant Funds,26FINREPORTS,Percent of Financial Reports Submitted On Time,2012-13 Actuals
Controller,26LVL5,Controller,Audits of City Departments and Programs,26AUDITS,Number of Audit Recommendations,2012-13 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Marketing and Development,30LEVERAGED,Donations Received as a Percent of DCA Operating Budget,2012-13 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Public Art,30ARTPROJECTS,Number of Public Art Projects Completed During the Year,2012-13 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Grants Program,30RESIDENTS,Number of Los Angeles Residents and Visitors Served,2012-13 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,3-1-1 Operations,32311CALLS,Percent of 3-1-1 Calls Answered,2012-13 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Cable Television,32CH35PROG,Hours of Channel 35 Programming Produced,2012-13 Actuals
Emergency Management,35LVL5,Emergency Management,Emergency Management,35COMMUNITYPLAN,Number of Neighborhood/Community Plans Prepared,2012-13 Actuals
Fire,38LVL5,Fire,Hazardous Materials Enforcement,38REVENUE,Hazardous Materials Enforcement Revenue Collected,2012-13 Actuals
Fire,38LVL5,Fire,Fire Prevention,38INSPECTION,Percent of Construction Inspections Completed in 72 hours,2012-13 Actuals
Finance,39LVL5,Finance,Revenue Management,39LIEN,Percent of Lien Cases Solved,2012-13 Actuals
Finance,39LVL5,Finance,Customer Service,39CALLS,Percent of Call Center Calls Answered,2012-13 Actuals
Finance,39LVL5,Finance,Investment,39COMPLIANCE,Percent Compliant with Investment Policies and Procedures,2012-13 Actuals
Finance,39LVL5,Finance,Tax and Permit,39AUDIT,Percent of Accounts Audited,2012-13 Actuals
General Services,40LVL5,General Services,Custodial Services,40CLEAN,Percent of Municipal Facilities Cleaned Daily,2012-13 Actuals
General Services,40LVL5,General Services,Parking Services,40PARKINGREV,Revenue from Department-Operated Parking Facilities,2012-13 Actuals
General Services,40LVL5,General Services,Emergency Management and Special Services,40DRILLS1,Number of Required Biannual Emergency Drills Completed,2012-13 Actuals
General Services,40LVL5,General Services,Fleet Services,40BOSVEHICLES,Vehicle Availability Rate for Bureau of Sanitation,2012-13 Actuals
General Services,40LVL5,General Services,Fuel and Environmental Compliance,40FUELSITE,Percent of City-Owned Fuel Sites Inspected Monthly,2012-13 Actuals
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tested for Pavement Preservation Program,2012-13 Actuals
