Department Name,Program Name,Source Fund Name,Account Code,Account Name,Budget
Aging,Senior Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Aging,Senior Services,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Fire,Fire Suppression,General Fund,POSSW,Sworn Regular Authority Positions,2020-21 Proposed Budget
Fire,Fire Suppression,General Fund,RESSG,Civilian Resolution Authority Positions,2020-21 Proposed Budget
Fire,Fire Suppression,General Fund,RESSW,Sworn Resolution Authority Positions,2020-21 Proposed Budget
Aging,Family Caregiver Services,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Aging,Older Workers Program,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Animal Services,Animal Control and Law Enforcement,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Animal Services,Animal Control and Law Enforcement,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Animal Services,Shelter Operations and Animal Care,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Animal Services,Shelter Operations and Animal Care,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Animal Services,License Processing,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Animal Services,Permitting Operations,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Animal Services,Animal Medical Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Animal Services,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Animal Services,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Building and Safety,Residential Engineering Plan Checking,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Building and Safety,Residential Engineering Plan Checking,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Building and Safety,Residential Engineering Plan Checking,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Building and Safety,Residential Engineering Plan Checking,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Building and Safety,New Commercial Construction Inspection,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Building and Safety,New Commercial Construction Inspection,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Building and Safety,New Commercial Construction Inspection,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Building and Safety,"Licensing, Testing, and Material Control",General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Building and Safety,Conservation of Existing Structures and Mechanical Devices,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Building and Safety,Conservation of Existing Structures and Mechanical Devices,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Building and Safety,Conservation of Existing Structures and Mechanical Devices,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Building and Safety,Technology Support,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Building and Safety,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Building and Safety,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Administrative Officer,Budget Formulation and Control,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
City Administrative Officer,Budget Formulation and Control,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Administrative Officer,Budget Formulation and Control,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
City Administrative Officer,Management Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Administrative Officer,Employee Relations Compensation and Benefits,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Administrative Officer,Risk Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Administrative Officer,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Attorney,Criminal and Special Litigation,General Fund,POSGR,Grant Reimbursed Regular Authority Positions,2011-12 Adopted Budget
City Attorney,Criminal and Special Litigation,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Attorney,Criminal and Special Litigation,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
City Attorney,Civil Liability Management,General Fund,POSPROP,Proprietary Reimbursed Regular Authority Positions,2011-12 Adopted Budget
City Attorney,Civil Liability Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Attorney,Civil Liability Management,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
City Attorney,Municipal Law,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Attorney,Municipal Law,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
City Attorney,Proprietary and Outside Counsel,General Fund,POSPROP,Proprietary Reimbursed Regular Authority Positions,2011-12 Adopted Budget
City Attorney,Proprietary and Outside Counsel,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
