fk_table,fk_column,pk_table,pk_column
table_0_0.csv,Key_0_0,table_1_1.csv,Key_0_0
table_0_0.csv,Key_0_0,table_1_2.csv,Key_0_0
table_0_0.csv,Key_0_0,table_1_3.csv,Key_0_0
table_1_1.csv,Key_1_1,table_2_4.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_5.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_6.csv,Key_1_1
table_1_2.csv,Key_1_2,table_2_7.csv,Key_1_2
table_1_2.csv,Key_1_2,table_2_8.csv,Key_1_2
table_1_2.csv,Key_1_2,table_2_9.csv,Key_1_2
table_1_3.csv,Key_1_3,table_2_10.csv,Key_1_3
table_1_3.csv,Key_1_3,table_2_11.csv,Key_1_3
table_1_3.csv,Key_1_3,table_2_12.csv,Key_1_3
table_2_4.csv,Key_2_4,table_3_13.csv,Key_2_4
table_2_4.csv,Key_2_4,table_3_14.csv,Key_2_4
table_2_4.csv,Key_2_4,table_3_15.csv,Key_2_4
table_1_1.csv,Key_0_0,table_1_2.csv,Key_0_0
table_1_1.csv,Key_0_0,table_1_3.csv,Key_0_0
table_1_2.csv,Key_0_0,table_1_3.csv,Key_0_0
table_2_4.csv,Key_1_1,table_2_5.csv,Key_1_1
table_2_4.csv,Key_1_1,table_2_6.csv,Key_1_1
table_2_5.csv,Key_1_1,table_2_6.csv,Key_1_1
table_2_7.csv,Key_1_2,table_2_8.csv,Key_1_2
table_2_7.csv,Key_1_2,table_2_9.csv,Key_1_2
table_2_8.csv,Key_1_2,table_2_9.csv,Key_1_2
table_2_10.csv,Key_1_3,table_2_11.csv,Key_1_3
table_2_10.csv,Key_1_3,table_2_12.csv,Key_1_3
table_2_11.csv,Key_1_3,table_2_12.csv,Key_1_3
table_3_13.csv,Key_2_4,table_3_14.csv,Key_2_4
table_3_13.csv,Key_2_4,table_3_15.csv,Key_2_4
table_3_14.csv,Key_2_4,table_3_15.csv,Key_2_4
table_3_14.csv,ParticleID_20,table_1_2.csv,ParticleID_0
table_1_2.csv,ParticleID_0,table_3_14.csv,ParticleID_20
table_3_14.csv,Key_2_4,table_1_2.csv,Key_0_0
table_1_2.csv,Key_0_0,table_3_14.csv,Key_2_4
table_3_14.csv,Key_2_4,table_1_2.csv,Key_1_2
table_1_2.csv,Key_1_2,table_3_14.csv,Key_2_4
table_3_14.csv,ParticleID_25,table_2_11.csv,ParticleID_5
table_3_14.csv,ParticleID_14,table_2_5.csv,ParticleID_13
table_2_11.csv,ParticleID_5,table_3_14.csv,ParticleID_25
table_3_14.csv,ParticleID_14,table_2_6.csv,ParticleID_10
table_3_14.csv,ParticleID_14,table_2_11.csv,ParticleID_12
table_2_6.csv,ParticleID_10,table_3_14.csv,ParticleID_14
table_2_5.csv,ParticleID_13,table_3_14.csv,ParticleID_14
table_3_14.csv,Key_2_4,table_3_13.csv,Key_2_4
table_3_14.csv,ParticleID_14,table_1_3.csv,ParticleID_1
table_3_14.csv,ParticleID_20,table_2_6.csv,ParticleID_10
table_3_14.csv,ParticleID_14,table_3_13.csv,ParticleID_16
table_2_11.csv,ParticleID_12,table_3_14.csv,ParticleID_14
table_3_14.csv,ParticleID_14,table_2_7.csv,ParticleID_44
table_3_13.csv,ParticleID_16,table_3_14.csv,ParticleID_14
table_3_14.csv,ParticleID_14,table_2_9.csv,ParticleID_34
table_2_7.csv,ParticleID_44,table_3_14.csv,ParticleID_14
table_3_14.csv,ParticleID_20,table_2_5.csv,ParticleID_3
table_3_14.csv,ParticleID_20,table_2_12.csv,ParticleID_29
table_2_5.csv,ParticleID_3,table_3_14.csv,ParticleID_20
table_1_3.csv,ParticleID_1,table_3_14.csv,ParticleID_14
table_3_14.csv,ParticleID_25,table_2_5.csv,ParticleID_3
table_2_12.csv,ParticleID_29,table_3_14.csv,ParticleID_20
table_3_14.csv,ParticleID_14,table_2_10.csv,ParticleID_24
table_2_5.csv,ParticleID_3,table_3_14.csv,ParticleID_25
table_3_14.csv,ParticleID_25,table_2_12.csv,ParticleID_29
table_3_14.csv,Key_2_4,table_2_5.csv,Key_2_5
table_3_14.csv,ParticleID_14,table_2_8.csv,ParticleID_4
table_2_5.csv,Key_2_5,table_3_14.csv,Key_2_4
table_2_8.csv,ParticleID_4,table_3_14.csv,ParticleID_14
table_2_6.csv,ParticleID_10,table_3_14.csv,ParticleID_20
table_3_14.csv,ParticleID_20,table_2_8.csv,ParticleID_21
table_3_14.csv,ParticleID_20,table_1_1.csv,ParticleID_30
table_2_8.csv,ParticleID_21,table_3_14.csv,ParticleID_20
table_2_12.csv,ParticleID_29,table_3_14.csv,ParticleID_25
table_3_14.csv,ParticleID_14,table_2_7.csv,ParticleID_18
table_3_15.csv,Key_2_4,table_3_14.csv,Key_2_4
table_3_14.csv,ParticleID_25,table_2_8.csv,ParticleID_21
table_2_7.csv,ParticleID_18,table_3_14.csv,ParticleID_14
table_2_8.csv,ParticleID_21,table_3_14.csv,ParticleID_25
table_2_10.csv,ParticleID_24,table_3_14.csv,ParticleID_14
table_3_14.csv,Key_2_4,table_2_8.csv,Key_2_8
table_2_10.csv,ParticleID_7,table_1_1.csv,ParticleID_47
table_3_14.csv,ParticleID_14,table_0_0.csv,ParticleID_19
table_2_9.csv,ParticleID_34,table_3_14.csv,ParticleID_14
table_0_0.csv,ParticleID_19,table_3_14.csv,ParticleID_14
table_3_14.csv,ParticleID_20,table_3_13.csv,ParticleID_23
table_3_14.csv,ParticleID_20,table_2_6.csv,ParticleID_28
table_3_14.csv,ParticleID_25,table_2_9.csv,ParticleID_35
table_2_6.csv,ParticleID_28,table_3_14.csv,ParticleID_20
table_3_14.csv,ParticleID_14,table_2_12.csv,ParticleID_6
table_3_14.csv,ParticleID_20,table_3_15.csv,ParticleID_2
