from_path,from_table,from_column,to_path,to_label,to_column
nyc/,civil_list.csv,AGENCY NAME,nyc/,recent_contract_awards.csv,AgencyName
nyc/,civil_list.csv,CALENDAR YEAR,nyc/,agency_spending.csv,FIRST PLAN FISCAL YEAR
nyc/,civil_list.csv,AGENCY NAME,nyc/,city_record_online.csv,AgencyName
nyc/,civil_list.csv,AGENCY NAME,nyc/,agency_spending.csv,AGENCY NAME
nyc/,civil_list.csv,EMPLOYEE NAME,nyc/,city_record_online.csv,ContactName
nyc/,civil_list.csv,EMPLOYEE NAME,nyc/,evictions.csv,Marshal Last Name
nyc/,civil_list.csv,EMPLOYEE NAME,nyc/,evictions.csv,Marshal First Name
nyc/,evictions.csv,BOROUGH,nyc/,capital_projects2.csv,Borough
nyc/,evictions.csv,Marshal First Name,nyc/,civil_list.csv,EMPLOYEE NAME
nyc/,evictions.csv,Marshal Last Name,nyc/,civil_list.csv,EMPLOYEE NAME
nyc/,evictions.csv,Eviction Address,nyc/,city_record_online.csv,AddressToRequest
nyc/,evictions.csv,Eviction Postcode,nyc/,city_record_online.csv,AddressToRequest
nyc/,evictions.csv,BOROUGH,nyc/,film_permits.csv,Borough
nyc/,evictions.csv,Eviction Address,nyc/,recent_contract_awards.csv,VendorAddress
nyc/,evictions.csv,Eviction Postcode,nyc/,recent_contract_awards.csv,VendorAddress
nyc/,evictions.csv,Marshal First Name,nyc/,city_record_online.csv,ContactName
nyc/,evictions.csv,Marshal Last Name,nyc/,city_record_online.csv,ContactName
nyc/,evictions.csv,BOROUGH,nyc/,housing.csv,Borough
nyc/,evictions.csv,Eviction Postcode,nyc/,housing.csv,Postcode
nyc/,evictions.csv,Eviction Postcode,nyc/,film_permits.csv,ZipCode(s)
nyc/,evictions.csv,Executed Date,nyc/,city_record_online.csv,StartDate
nyc/,evictions.csv,Executed Date,nyc/,city_record_online.csv,EndDate
nyc/,evictions.csv,Executed Date,nyc/,city_record_online.csv,DueDate
nyc/,evictions.csv,Executed Date,nyc/,film_permits.csv,StartDateTime
nyc/,evictions.csv,Executed Date,nyc/,film_permits.csv,EndDateTime
nyc/,evictions.csv,Executed Date,nyc/,film_permits.csv,EnteredOn
nyc/,evictions.csv,Executed Date,nyc/,recent_contract_awards.csv,StartDate
nyc/,evictions.csv,Executed Date,nyc/,recent_contract_awards.csv,EndDate
nyc/,evictions.csv,Executed Date,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,evictions.csv,Executed Date,nyc/,capital_projects1.csv,Date Reported As Of
nyc/,evictions.csv,Executed Date,nyc/,capital_projects1.csv,Design Start
nyc/,evictions.csv,Executed Date,nyc/,capital_projects1.csv,Forecast Completion
nyc/,evictions.csv,Executed Date,nyc/,housing.csv,Project Start Date
nyc/,city_record_online.csv,StartDate,nyc/,capital_projects1.csv,Forecast Completion
nyc/,city_record_online.csv,CategoryDescription,nyc/,capital_projects1.csv,Description
nyc/,city_record_online.csv,PIN,nyc/,recent_contract_awards.csv,PIN
nyc/,city_record_online.csv,RequestID,nyc/,recent_contract_awards.csv,RequestID
nyc/,city_record_online.csv,AgencyName,nyc/,agency_spending.csv,AGENCY NAME
nyc/,city_record_online.csv,AgencyName,nyc/,recent_contract_awards.csv,AgencyName
nyc/,city_record_online.csv,ShortTitle,nyc/,recent_contract_awards.csv,ShortTitle
nyc/,city_record_online.csv,SelectionMethodDescription,nyc/,recent_contract_awards.csv,SelectionMethodDescription
nyc/,city_record_online.csv,SectionName,nyc/,recent_contract_awards.csv,SectionName
nyc/,city_record_online.csv,CategoryDescription,nyc/,recent_contract_awards.csv,CategoryDescription
nyc/,city_record_online.csv,TypeOfNoticeDescription,nyc/,recent_contract_awards.csv,TypeOfNoticeDescription
nyc/,city_record_online.csv,DueDate,nyc/,evictions.csv,Executed Date
nyc/,city_record_online.csv,EndDate,nyc/,evictions.csv,Executed Date
nyc/,city_record_online.csv,StartDate,nyc/,evictions.csv,Executed Date
nyc/,city_record_online.csv,AddressToRequest,nyc/,film_permits.csv,ZipCode(s)
nyc/,city_record_online.csv,ContactName,nyc/,evictions.csv,Marshal Last Name
nyc/,city_record_online.csv,ContactName,nyc/,evictions.csv,Marshal First Name
nyc/,city_record_online.csv,AddressToRequest,nyc/,film_permits.csv,ParkingHeld
nyc/,city_record_online.csv,AddressToRequest,nyc/,housing.csv,Address
nyc/,city_record_online.csv,DueDate,nyc/,housing.csv,Project Start Date
nyc/,city_record_online.csv,EndDate,nyc/,housing.csv,Project Start Date
