Date Reported As Of,Description,Current Phase,Design Start,Forecast Completion
05/2014,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Design,09/23/2013,01/14/2020
02/2015,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction Procurement,09/23/2013,07/19/2020
08/2015,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction Procurement,09/23/2013,08/08/2020
01/2016,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,04/01/2020
06/2016,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,04/13/2020
11/2016,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,09/17/2020
04/2017,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,11/30/2020
09/2017,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,04/28/2020
03/2018,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,04/01/2020
08/2018,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,07/28/2020
01/2019,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,08/28/2020
05/2019,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,10/09/2020
09/2019,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,10/09/2020
01/2020,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,10/05/2021
05/2020,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,01/05/2022
10/2020,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,09/05/2021
03/2021,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Construction,09/23/2013,08/05/2021
02/2015,Replace the two Barberi class boats and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Design,09/15/2014,02/11/2020
08/2015,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Design,09/15/2014,02/11/2020
01/2016,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Design,09/15/2014,04/23/2020
06/2016,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction Procurement,09/15/2014,03/16/2020
11/2016,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction Procurement,09/15/2014,03/16/2020
04/2017,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction Procurement,09/15/2014,03/16/2020
09/2017,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction,09/15/2014,02/28/2021
03/2018,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction,09/15/2014,02/28/2021
08/2018,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction,09/15/2014,02/08/2021
01/2019,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction,09/15/2014,02/28/2021
05/2019,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction,09/15/2014,08/06/2021
09/2019,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction,09/15/2014,
01/2020,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction,09/15/2014,08/08/2020
05/2020,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction,09/15/2014,
10/2020,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Construction,09/15/2014,12/06/2021
09/2013,"The existing bridge is a 9 span structure that will be replaced with a 496-foot, 3 span, steel and concrete bridge.  The eastbound side of the new bridge will accommodate a bicycle / pedestrian path.",Construction,08/02/1993,09/05/2017
01/2014,"This project includes the installation of a new, 3 span steel and concrete bridge carrying the Belt Parkway.  The eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,09/05/2017
05/2014,"This project includes the installation of a new, 3 span steel and concrete bridge carrying the Belt Parkway.  The eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,09/05/2017
02/2015,"This project will install a new, three-span, steel and concrete bridge carrying the Belt Parkway.  The eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,09/17/2018
08/2015,"This project will install a new, three-span, steel and concrete bridge carrying the Belt Parkway.  The eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,09/17/2018
01/2016,"This project will install a new, three-span, steel and concrete bridge carrying the Belt Parkway.  The eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,09/17/2017
06/2016,"This project will install a new, three-span, steel and concrete bridge carrying the Belt Parkway.  The eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,09/05/2017
11/2016,"This project will install a new, three-span, steel and concrete bridge carrying the Belt Parkway.  The eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,09/17/2018
04/2017,"Install a new, three-span, steel and concrete bridge carrying the Belt Parkway; the eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,09/05/2017
09/2017,"Install a new, three-span, steel and concrete bridge carrying the Belt Parkway; the eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,06/30/2018
03/2018,"Install a new, three-span, steel and concrete bridge carrying the Belt Parkway; the eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,12/31/2018
08/2018,"Install a new, three-span, steel and concrete bridge carrying the Belt Parkway; the eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,10/31/2018
01/2019,"Install a new, three-span, steel and concrete bridge carrying the Belt Parkway; the eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,05/31/2019
05/2019,"Install a new, three-span, steel and concrete bridge carrying the Belt Parkway; the eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,12/31/2019
09/2019,"Install a new, three-span, steel and concrete bridge carrying the Belt Parkway; the eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,01/31/2020
01/2020,"Install a new, three-span, steel and concrete bridge carrying the Belt Parkway; the eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,
05/2020,"Install a new, three-span, steel and concrete bridge carrying the Belt Parkway; the eastbound side of the new bridge will include a bicycle/pedestrian path.",Construction,08/02/1993,
10/2020,"Install a new, three-span, steel and concrete bridge carrying the Belt Parkway; the eastbound side of the new bridge will include a bicycle/pedestrian path.",Close-Out,08/02/1993,12/07/2018
09/2013,Replace existing bridge with a wider double-leaf bascule bridge.,Design,07/23/2012,11/20/2019
01/2014,This project will replace the existing bridge with a new wider double-leaf bascule bridge.,Design,07/23/2012,11/20/2019
05/2014,"This project will replace the existing bridge with a new, wider double-leaf bascule bridge.",Design,07/23/2012,07/21/2020
02/2015,"This project will replace the existing bridge with a new, wider double-leaf bascule bridge.",Design,07/23/2012,10/14/2020
08/2015,"This project will replace the existing bridge with a new, wider double-leaf bascule bridge.",Design,07/23/2012,08/17/2020
01/2016,"This project will replace the existing bridge with a new, wider double-leaf bascule bridge.",Design,07/23/2012,03/04/2021
06/2016,"This project will replace the existing bridge with a new, wider double-leaf bascule bridge.",Design,07/23/2012,03/04/2021
11/2016,"Replace the existing bridge with a new, wider double-leaf bascule bridge in the Bronx.",Design,07/23/2012,03/04/2021
04/2017,"Replace the existing bridge with a new, wider double-leaf bascule bridge in the Bronx.",Construction Procurement,07/23/2012,07/22/2021
09/2017,"Replace the existing bridge with a new, wider double-leaf bascule bridge in the Bronx.",Construction,07/23/2012,07/14/2021
03/2018,"Replace the existing bridge with a new, wider double-leaf bascule bridge in the Bronx.",Construction,07/23/2012,06/30/2021
08/2018,"Replace the existing bridge with a new, wider double-leaf bascule bridge in the Bronx.",Construction,07/23/2012,06/30/2021
01/2019,"Replace the existing bridge with a new, wider double-leaf bascule bridge in the Bronx.",Construction,07/23/2012,06/30/2021
10/2020,"Replace the existing bridge with a new, wider double-leaf bascule bridge in the Bronx.",Construction,07/23/2012,11/30/2022
09/2013,"The existing bridge was a 5 span structure that was replaced with a 316-foot, 3 span, steel and concrete bridge.  The eastbound side of the new bridge accommodates a bicycle / pedestrian path.",Construction,06/30/2004,10/24/2014
01/2014,"This project includes the installation of a 316-foot, 3 span, steel and concrete bridge to replace the exisitng 5 span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,10/24/2014
05/2014,"This project includes the installation of a 316-foot, 3 span, steel and concrete bridge to replace the exisitng 5 span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,10/24/2014
02/2015,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,06/24/2015
08/2015,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,12/31/2015
01/2016,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,06/30/2016
06/2016,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,12/29/2016
11/2016,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,06/30/2017
04/2017,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,10/01/2017
09/2017,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,03/31/2018
03/2018,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,12/31/2018
08/2018,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,10/31/2018
01/2019,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,06/30/2019
05/2019,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,12/31/2019
09/2019,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,12/31/2019
01/2020,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,03/03/2020
05/2020,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Construction,06/30/2004,
10/2020,"Install a 316-foot, three-span, steel and concrete bridge to replace the exisitng five-span bridge.  The eastbound side of the new bridge accommodates a bicycle/pedestrian path.",Close-Out,06/30/2004,04/22/2015
09/2013,Repair/replacement of bridge superstructure and substructure and new concrete-filled steel grid deck.,Design,03/10/2003,02/11/2018
01/2014,This project includes repair/replacement of the bridge superstructure and substructure and new concrete-filled steel grid deck.,Design,03/10/2003,12/09/2018
05/2014,This project includes repair/replacement of the bridge superstructure and substructure and a new concrete-filled steel grid deck.,Design,03/10/2003,03/29/2018
02/2015,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction Procurement,03/10/2003,01/11/2023
08/2015,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,05/07/2019
01/2016,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,05/07/2019
06/2016,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,05/07/2019
11/2016,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,05/27/2019
04/2017,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,05/07/2019
09/2017,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,05/27/2019
03/2018,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,05/27/2019
08/2018,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,12/17/2018
01/2019,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,08/28/2020
05/2019,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,08/28/2020
09/2019,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,
01/2020,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,08/28/2020
05/2020,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,
10/2020,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Construction,03/10/2003,
09/2013,"Replace deteriorated members of lift span superstructure, concrete deck replacement, and replacement of lift electrical and mechanical systems, fenders etc.",Design,04/01/2005,08/05/2019
01/2014,"This project will replace deteriorated members of lift span superstructure, concrete deck replacement, and replacement of lift electrical and mechanical systems, fenders.",Design,04/01/2005,08/05/2019
05/2014,"This project will replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Design,04/01/2005,08/05/2019
02/2015,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Design,04/01/2005,11/13/2020
08/2015,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Design,04/01/2005,01/12/2021
01/2016,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Design,04/01/2005,11/13/2020
06/2016,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Design,04/01/2005,11/13/2020
11/2016,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Design,04/01/2005,11/13/2020
04/2017,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Design,04/01/2005,11/13/2020
09/2017,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Design,04/01/2005,10/17/2021
03/2018,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Construction Procurement,04/01/2005,07/22/2021
08/2018,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Construction,04/01/2005,07/19/2021
