RequestID,StartDate,EndDate,AgencyName,TypeOfNoticeDescription,CategoryDescription,ShortTitle,SelectionMethodDescription,SectionName,PIN,DueDate,AddressToRequest,ContactName,ContactPhone,Email
20130710017,07/17/2013,07/17/2013,Information Technology and Telecommunications,Solicitation,Services (other than human services),CITYWIDE - SYSTEMS INTEGRATION CONSULTING SERVICES,Negotiated Acquisition,Procurement,85809O0053CNVN002.,07/24/2013 02:00:00 PM,"255 Greenwich Street, 9th Floor, New York, NY 10007",Vito Pulito,2127886285,vpulito@doitt.nyc.gov
20110902002,09/08/2011,09/08/2011,Health and Mental Hygiene,Intent to Award,Services (other than human services),TRAINING SERVICES TO MENTAL HYGIENE PROVIDERS,Negotiated Acquisition,Procurement,12AZ017301R0X00,09/09/2011 03:00:00 PM,"93 Worth Street, Room 812, New York, NY 10013",Paul Romain,3473966654,promain1@health.nyc.gov
20150917008,09/18/2015,09/24/2015,Chief Medical Examiner,Intent to Award,Goods and Services,CORRECTION: MAINTENANCE AND REPAIR SERVICES FOR THE BIOMEK ROBOTS.,Sole Source,Procurement,81616ME0008,09/25/2015 05:00:00 PM,"421 E. 26th Street, 10th Floor, New York, NY 10016",Luis Rodriguez,2123231733,lrodriguez@ocme.nyc.gov
20160121009,01/21/2016,01/21/2016,Design and Construction,Solicitation,Construction/Construction Services,"BID EXTENSION: CONSTRUCTION OF TRUNK WATER MAINS IN 2ND AVENUE, ETC. TO CONNECT SHAFT 32B TO DISTRIBUTION SYSTEM-BOROUGH OF MANHATTAN",Competitive Sealed Bids,Procurement,85016B0014,01/28/2016 11:00:00 AM,"30-30 Thomson Avenue, 1st Floor, Long Island City, NY 11101",Emmanuel Charles,7183913170,charlesem@ddc.nyc.gov
20110705012,07/13/2011,07/13/2011,Triborough Bridge and Tunnel Authority,Solicitation,Services (other than human services),RFEI - DESIGN AND CONSTRUCTION SUPPORT SERVICES FOR PROJECT MP-03,Competitive Sealed Proposals,Procurement,PSC102885000,08/02/2011 03:30:00 PM,"3 Stone Street - Bid Suite, New York, NY  10004",Victoria Warren,6462526101,vprocure@mtabt.org
20151202024,12/10/2015,12/10/2015,Triborough Bridge and Tunnel Authority,Solicitation,Construction/Construction Services,MISCELLANEOUS CONSTRUCTION ON AN AS-NEEDED BASIS,Competitive Sealed Proposals,Procurement,GFM516000000,01/06/2016 03:30:00 PM,"2 Broadway, New York, NY  10004",Victoria Warren,6462527092,vprocre@mtabt.org
20170320005,03/20/2017,03/20/2017,Housing Authority,Solicitation,Goods and Services,CANCELLATION: SMD SERVICE OF INTERCOM SYSTEMS,Competitive Sealed Bids,Procurement,65165.,04/04/2017 10:00:00 AM,"90 Church Street, 6th Floor, New York, NY 10007",Mimose Julien,2123068141,mimose.julien@nycha.nyc.gov
20140620024,06/30/2014,06/30/2014,Triborough Bridge and Tunnel Authority,Solicitation,Services (other than human services),INFLUENZA/HEPATITIS B VACCINATION PROGRAM AND OTHER MEDICAL EVALUATIONS,Competitive Sealed Proposals,Procurement,PSC142960000,07/29/2014 03:30:00 PM,"2 Broadway, New York, NY  10004",Victoria Warren,6462527092,vprocure@mtabt.org
20120224014,02/28/2012,03/05/2012,Parks and Recreation,Intent to Award,Construction Related Services,DESIGN AND CONSTRUCTION OF PLUMB BEACH,Government to Government,Procurement,84612T0001001,03/12/2012 10:00:00 AM,"Olmsted Center, Room 61, Flushing Meadows-Corona Park, Flushing, NY 11368",Grace Fields-Mitchell,7187606687,grace.fieldsmitchell@parks.nyc.gov
20161103003,11/14/2016,11/14/2016,Triborough Bridge and Tunnel Authority,Solicitation,Services (other than human services),"DESIGN, UPGRADE AND MAINTAIN ROADWAY WEATHER INFORMATION SYSTEM",Competitive Sealed Proposals,Procurement,16MNT2956000,12/06/2016 03:30:00 PM,"2 Broadway, New York, NY 10004",Victoria Warren,6462527092,vprocure@mtabt.org
