Title Code,Title Description,Standard Hours,Assignment Level,Union Code,Bargaining Unit Short Name
00031,HCPPA,37.0,00,23,CWA
00136,BEAUTICIAN,37.5,00,124,DC37
03647,SPECIAL ASSISTANT TO THE BOROU,35.0,00,775,N/U
03927,ASSISTANT SYSTEMS ANALYST (HHC,35.0,00,129,DC37
05026,DIRECTOR OF INTERGOVERNMENTAL,35.0,00,775,N/U
05058,FOOD SERVICE MANAGER,35.0,00,121,IBT
05072,STUDENT LEGAL SPECIALIST,35.0,00,19,IBT
05103,DIRECTOR (PLANT OPERATIONS SER,35.0,00,772,N/U
05104,CHIEF INFORMATION TECHNOLOGY O,35.0,00,772,N/U
05106,ASSISTANT TO THE PRESIDENT (BR,35.0,00,665,N/U
05107,SECRETARY TO ASSISTANT TO PRES,35.0,00,665,N/U
05108,SECRETARY TO THE EXCUTIVE ASSI,35.0,00,665,N/U
05144,RESEARCH AND LIAISON COORDINAT,35.0,00,775,N/U
05145,RESEARCH LIAISON ADN GOVERNMEN,35.0,00,775,N/U
05149,DIRECTOR BOROUGH PRESIDENT'S O,35.0,00,775,N/U
05159,ASSISTANT TO THE PRESIDENT(BOR,35.0,00,993,N/U
0515A,ASSISTANT TO THE PRESIDENT (PM,35.0,00,883,N/U
05162,FISCAL AND POLICY ANALYST (BP,35.0,00,665,N/U
05162,FISCAL AND POLICY ANALYST (BP,35.0,00,665,N/U
05168,CHAUFFEUR-ATTENDANT (BKLYN BOR,40.0,00,993,N/U
05224,DEPUTY OPERATION SUPPORT MANAG,35.0,00,775,N/U
05230,RESEARCH AND LIAISON SPECIALIS,35.0,00,665,N/U
05230,RESEARCH AND LIAISON SPECIALIS,35.0,00,665,N/U
05234,CHAUFFEUR-ATTENDANT (BORO PRES,35.0,00,665,N/U
05234,CHAUFFEUR-ATTENDANT (BORO PRES,40.0,00,665,N/U
05277,RESEARCH PROJECTS COORDINATOR,35.0,00,993,N/U
05278,ASSISTANT TO THE DEPUTY MAYOR,35.0,00,775,N/U
0527A,RESEARCH PROJECTS COOR(MA)-MGR,35.0,00,883,N/U
05322,SENIOR RACKETS INVESTIGATOR (B,40.0,00,81,PBDA
05323,SUPERVISING RACKETS INVESTIGAT,40.0,00,81,PBDA
05329,SPECIAL ASSISTANT TO DA (QUEEN,35.0,00,681,N/U
05338,PRINCIPAL ACCOUNTANT INVESTIGA,35.0,00,679,N/U
05346,EMPLOYEE HEALTH BENEFITS PROGR,35.0,00,775,N/U
05357,DIRECTOR OF BUILDING MANAGEMEN,35.0,00,775,N/U
05363,STATISTICAL SECRETARY (OMB),35.0,01,128,DC37
05363,STATISTICAL SECRETARY (OMB),35.0,02,128,DC37
05384,SECRETARY (OFFICE OF THE MAYOR,35.0,00,993,N/U
05395,EXECUTIVE ADMINISTRATOR OF GRA,35.0,00,775,N/U
05423,"DIRECTOR, OFFICE OF OPERATIONS",35.0,00,775,N/U
05454,ASST DIR OF INTERGVNMENTAL REL,35.0,00,775,N/U
05481,PROJECT PLANNER (MA),35.0,00,993,N/U
05482,SR PROJECT PLANNER (MA),35.0,00,993,N/U
05487,ASSISTANT COMMISSIONER(ADMINIS,35.0,00,775,N/U
05492,"DIR OF ADMINISTRATION, WORKER'",35.0,00,775,N/U
05500,CONFIDENTIAL STRATEGY PLANNER,35.0,00,665,N/U
05600,CHIEF INFORMATION OFFICER (DVS,35.0,00,775,N/U
06004,EXECUTIVE ASSISTANT-MIDTOWN EN,35.0,00,993,N/U
06021,SECRETARY (OFFICE OF BORO PRES,35.0,00,993,N/U
06022,ASST PROJECT PLANNER (OFFICE O,35.0,00,993,N/U
06023,PROJECT PLANNER (OFFICE OF BOR,35.0,00,993,N/U
06024,CONFIDENTIAL ASSISTANT TO BORO,35.0,00,775,N/U
06070,RECREATION SPECIALIST (DEPT OF,35.0,00,130,DC37
06088,BUDGET ANALYST (OMB),35.0,01,665,N/U
06088,BUDGET ANALYST (OMB),35.0,02,665,N/U
0608A,BUDGET ANALYST (OMB)-MANAGERIA,35.0,00,775,N/U
06142,DIRECTOR OF CRISIS ASSISTANCE,35.0,00,775,N/U
06144,ASSISTANT LEGISLATIVE REPRESEN,35.0,00,775,N/U
06145,CHAUFFEUR-ATTENDANT (BORO PRES,35.0,00,993,N/U
06147,PUBLIC RELATIONS OFFICER (BORO,35.0,00,775,N/U
06165,SUPERVISOR OF NURSES (BOARD OF,35.0,00,76,UFT
06165,SUPERVISOR OF NURSES (BOARD OF,37.5,00,76,UFT
06179,DIRECTOR OF NEIGHBORHOOD PARK,35.0,00,775,N/U
06217,SENIOR OCCUPATIONAL THERAPIST,32.0,00,76,UFT
06217,SENIOR OCCUPATIONAL THERAPIST,35.0,00,76,UFT
06240,CASE MANAGEMENT NURSE (DOC),35.0,01,75,NYNA
06240,CASE MANAGEMENT NURSE (DOC),35.0,02,75,NYNA
06311,DIRECTOR OF AUDITS (OFFICE OF,35.0,00,775,N/U
06314,INCINERATOR FACILITY MANAGER (,35.0,00,775,N/U
06316,INVESTIGATOR(DISCP)(ONLY FOR P,35.0,01,3,DC37
06316,INVESTIGATOR(DISCP)(ONLY FOR P,35.0,02,3,DC37
06316,INVESTIGATOR(DISCP)(ONLY FOR P,35.0,03,3,DC37
06361,DEPUTY ASSISTANT COUNSEL (OLR),35.0,01,665,N/U
06361,DEPUTY ASSISTANT COUNSEL (OLR),35.0,02,665,N/U
06361,DEPUTY ASSISTANT COUNSEL (OLR),35.0,03,665,N/U
06361,DEPUTY ASSISTANT COUNSEL (OLR),35.0,04,665,N/U
06393,STAFF ASSISTANT (OFFICE OF THE,35.0,00,993,N/U
06401,DIRECTOR OF ADMINISTRATION (LA,35.0,00,775,N/U
06402,DEPUTY DIRECTOR OF ADMINISTRAT,35.0,00,775,N/U
06405,MAYORAL OFFICE ASSISTANT,35.0,00,993,N/U
06407,EXECUTIVE DIRECTOR OF FOOD SER,35.0,00,775,N/U
06423,MAYORAL PROGRAM COORDINATOR (M,35.0,00,993,N/U
06429,SECRETARY TO PUBLIC ADMINISTRA,35.0,00,993,N/U
06431,SPECIAL ASSISTANT TO THE BOROU,35.0,00,775,N/U
06433,DEPUTY COMMISSIONER (CDCSA),35.0,00,775,N/U
06449,SECRETARY OF COMMISSIONER (CDC,35.0,00,665,N/U
06458,DEPUTY EXECUTIVE DIRECTOR CAMP,35.0,00,775,N/U
06462,DEPUTY DIRECTOR OF ADMIN WORKE,35.0,00,775,N/U
06463,SECRETARY TO THE EXECUTIVE DIR,35.0,00,665,N/U
06470,DIRECTOR OF PUBLIC RELATIONS (,35.0,00,775,N/U
06489,DEPUTY COMMISSIONER FOR LAW EN,35.0,00,775,N/U
06490,DEP COMMISSIONER FOR COMMUNITY,35.0,00,775,N/U
06517,SENIOR STUDENT LEGAL SPECIALIS,35.0,00,19,IBT
06547,CONFIDENTIAL INVESTIGATOR (CON,35.0,01,993,N/U
06547,CONFIDENTIAL INVESTIGATOR (CON,35.0,02,993,N/U
06547,CONFIDENTIAL INVESTIGATOR (CON,35.0,03,993,N/U
06550,SPECIAL COMMISSIONER OF INVEST,35.0,00,779,N/U
06558,ASST DIRECTOR OF INTERGOVERMEN,35.0,00,775,N/U
06580,CHAUFFEUR-ATTENDANT (BOARD OF,40.0,00,403,N/U
06591,MEDICOLEGAL ANALYST (LAW DEPT),35.0,01,993,N/U
06591,MEDICOLEGAL ANALYST (LAW DEPT),35.0,02,993,N/U
06593,FOOD SERVICE ADMINISTRATOR (DC,35.0,00,121,IBT
06597,ASSISTANT RACKETS INVESTIGATOR,40.0,00,681,N/U
06601,ANALYST CFB AL 1 ONLY,35.0,01,128,DC37
06602,SYSTEMS ADMINISTRATOR-CAM FIN,35.0,01,129,DC37
06602,SYSTEMS ADMINISTRATOR-CAM FIN,35.0,02,129,DC37
06602,SYSTEMS ADMINISTRATOR-CAM FIN,35.0,03,129,DC37
06603,ADMIN ASST-CAMPAIGN FIN BOARD,35.0,01,128,DC37
06603,ADMIN ASST-CAMPAIGN FIN BOARD,35.0,02,128,DC37
06604,ATTORNEY-CAMPAIGN FIN BOARD,35.0,01,993,N/U
06604,ATTORNEY-CAMPAIGN FIN BOARD,35.0,02,993,N/U
0660A,ANALYST CFB AL 2&3 ONLY,35.0,02,180,OSA
0660A,ANALYST CFB AL 2&3 ONLY,35.0,03,180,OSA
06611,NURSE PRACTITIONER(DEPT HEALTH,35.0,01,130,DC37
06611,NURSE PRACTITIONER(DEPT HEALTH,35.0,02,130,DC37
06611,NURSE PRACTITIONER(DEPT HEALTH,35.0,03,130,DC37
06612,SECRETARY TO THE SPECIAL COMMI,35.0,00,403,N/U
06638,SECRETARY TO THE CHAIRPERSON (,35.0,00,665,N/U
06656,SPECIAL EXAMINER (PHYSICAL TES,35.0,00,993,N/U
06664,PLAYGROUND ASSOCIATE,35.0,00,130,DC37
06668,SPECIAL EXAMINER (DCAS),35.0,00,665,N/U
0667A,HEARING OFFICER (PVB - NOT EMP,1.0,00,660,N/U
06688,INVESTIGATOR (EMPLOYEE DISCIPL,35.0,01,3,DC37
06688,INVESTIGATOR (EMPLOYEE DISCIPL,35.0,02,3,DC37
06688,INVESTIGATOR (EMPLOYEE DISCIPL,35.0,03,3,DC37
06689,SPECIAL ASSISTANT (OFFICE OF T,35.0,00,993,N/U
0668A,Special Assistant (MA)-MGRL,35.0,00,883,N/U
06697,SECRETARY TO THE DEPUTY COMMIS,35.0,00,665,N/U
06707,DEPUTY COMMISSIONER FOR POLICY,35.0,00,775,N/U
06710,ASSISTANT BUDGET ANALYST (COMP,35.0,00,665,N/U
06711,BUDGET ANALYST (COMPTROLLER),35.0,00,180,OSA
06712,ASSISTANT BUDGET ANALYST (IBO),35.0,00,665,N/U
06713,BUDGET ANALYST (IBO),35.0,00,180,OSA
0671A,BUDGET ANALYST (IBO) ((MANAGER,35.0,00,775,N/U
06730,SECRETARY TO THE FIRST ASSISTA,35.0,00,665,N/U
06733,DEPUTY CHIEF RACKETS INVESTIGA,35.0,00,775,N/U
06738,SECRETARY TO THE FIRST DEPUTY,35.0,00,665,N/U
06745,SCHOOL BUSINESS MANAGER,35.0,01,414,CWA
06745,SCHOOL BUSINESS MANAGER,35.0,02,414,CWA
06752,NYCAPS PROCESS ANALYST,35.0,01,180,OSA
06752,NYCAPS PROCESS ANALYST,35.0,02,180,OSA
06753,MARINE ELECTRONICS TECHNICIAN,40.0,00,4,DC37
06763,FIRST DEPUTY COMMISSIONER (OEM,35.0,00,775,N/U
06764,DEPUTY COMMISSIONER (OEM),35.0,00,883,N/U
06765,EMERGENCY PREPAREDNESS MANAGER,35.0,00,775,N/U
06766,EMERGENCY PREPAREDNESS SPECIAL,35.0,01,665,N/U
06766,EMERGENCY PREPAREDNESS SPECIAL,35.0,02,665,N/U
06770,SECRETARY TO THE CHIEF ACTUARY,35.0,00,665,N/U
06776,FAMILY PUB HEALTH NURSE (HMH),35.0,00,130,DC37
06780,ASSOCIATE EXECUTIVE DIRECTOR (,35.0,00,775,N/U
06782,EXECUTIVE DIRECTOR OF MATERIAL,35.0,00,775,N/U
06784,EXECUTIVE ASST-DOMESTIC VIOLEN,35.0,00,665,N/U
06792,SECRETARY TO THE DEPUTY CHAIR,35.0,00,665,N/U
06793,CONFIDENTIAL AGENCY INVESTIGAT,35.0,00,775,N/U
06794,INVESTMENT TRUSTEE - DEFERRED,1.0,00,775,N/U
06795,IT AUTOMATION AND MONITORING E,35.0,00,129,DC37
06796,IT INFRASTRUCTURE ENGINEER,35.0,00,129,DC37
06797,IT PROJECT SPECIALIST,35.0,00,129,DC37
06798,IT SECURITY SPECIALIST,35.0,00,129,DC37
06799,IT SERVICE MANAGEMENT SPECIALI,35.0,00,129,DC37
06800,SENIOR IT ARCHITECT,35.0,00,129,DC37
06801,PUBLIC HEALTH/PREVENTIVE MEDIC,35.0,01,665,N/U
06801,PUBLIC HEALTH/PREVENTIVE MEDIC,35.0,02,665,N/U
06802,EXECUTIVE DIRECTOR (FDNY PENSI,35.0,00,883,N/U
06803,DEPUTY EXECUTIVE DIRECTOR (FDN,35.0,00,883,N/U
06804,EXECUTIVE PROGRAM SPECIALIST (,35.0,00,883,N/U
06808,DEPUTY DIRECTOR OF MEDICOLEGAL,35.0,00,772,N/U
06809,CHIEF OF STAFF - MAYOR'S OFFIC,35.0,00,775,N/U
0680A,PUBLIC HEALTH/PREVENTIVE MEDIC,35.0,00,665,N/U
06810,DIRECTOR OF IMMIGRANT AFFAIRS,35.0,00,775,N/U
06811,DIRECTOR OF OFFICE FOR PEOPLE,35.0,00,775,N/U
06812,COMMISSIONER OF DEPARTMENT OF,35.0,00,774,N/U
06813,COMMISS OF THE OFF TO END DOME,35.0,00,775,N/U
06814,CHIEF SERVICE OFFICER (MA),35.0,00,775,N/U
06815,SENIOR POLICY ADVISOR TO THE M,35.0,00,775,N/U
06816,DIRECTOR OF CRIMINAL JUSTICE (,35.0,00,772,N/U
06818,EXECUTIVE DIRECTOR ON COMMISSI,35.0,00,775,N/U
06819,SENIOR ADVISOR TO THE MAYOR (M,35.0,00,775,N/U
06820,DECEDENT PROPERTY AGENT (PANYC,35.0,00,3,DC37
06821,ASSISTANT COMMISSIONER (CULTUR,35.0,00,775,N/U
06822,ASSISTANT COMMISSIONER (DOITT),35.0,00,775,N/U
06824,Executive Program Specialist (,35.0,00,773,N/U
06825,Deputy Commissioner (CEC),35.0,00,773,N/U
06826,STRATEGIC INITIATIVE SPECIALIS,35.0,00,991,N/U
06827,Associate Commissioner (DOITT),35.0,00,772,N/U
06828,STRATEGIC INITIATIVE SPECIALIS,35.0,00,993,N/U
06830,CONFIDENTIAL STRATEGY PLANNER,35.0,00,665,N/U
06831,EXECUTIVE PROGRAM SPECIALIST (,35.0,00,883,N/U
06834,CONFIDENTIAL AGENCY INVESTIGAT,35.0,00,772,N/U
