Project ID,Project Name,Project Start Date,Address,Borough,Postcode,Community Board,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status
65390,81 - 95 LENOX AVENUE AKA CANAAN IV TOWERS,12/30/2021,95 LENOX AVENUE,Manhattan,10026.0,MN-10,MN11,Preservation,Non Prevailing Wage
67895,CLINTON TOWERS HOUSING CO INC.PLP.FY22,12/30/2021,540 WEST 55 STREET,Manhattan,10019.0,MN-04,MN15,Preservation,Non Prevailing Wage
69246,CARROLL-BURKE HDFC.PLP.FY22,12/30/2021,755 CROTONA PARK NORTH,Bronx,10457.0,BX-03,BX99,Preservation,Non Prevailing Wage
69246,CARROLL-BURKE HDFC.PLP.FY22,12/30/2021,797 CROTONA PARK NORTH,Bronx,10457.0,BX-03,BX99,Preservation,Non Prevailing Wage
69246,CARROLL-BURKE HDFC.PLP.FY22,12/30/2021,801 CROTONA PARK NORTH,Bronx,10457.0,BX-03,BX99,Preservation,Non Prevailing Wage
69246,CARROLL-BURKE HDFC.PLP.FY22,12/30/2021,857 CROTONA PARK NORTH,Bronx,10457.0,BX-03,BX99,Preservation,Non Prevailing Wage
69246,CARROLL-BURKE HDFC.PLP.FY22,12/30/2021,861 CROTONA PARK NORTH,Bronx,10457.0,BX-03,BX99,Preservation,Non Prevailing Wage
69246,CARROLL-BURKE HDFC.PLP.FY22,12/30/2021,887 CROTONA PARK NORTH,Bronx,10457.0,BX-03,BX99,Preservation,Non Prevailing Wage
69246,CARROLL-BURKE HDFC.PLP.FY22,12/30/2021,710 EAST 175 STREET,Bronx,10457.0,BX-06,BX17,Preservation,Non Prevailing Wage
69246,CARROLL-BURKE HDFC.PLP.FY22,12/30/2021,870 EAST 175 STREET,Bronx,10460.0,BX-06,BX17,Preservation,Non Prevailing Wage
69246,CARROLL-BURKE HDFC.PLP.FY22,12/30/2021,815 FAIRMOUNT PLACE,Bronx,10460.0,BX-06,BX17,Preservation,Non Prevailing Wage
69246,CARROLL-BURKE HDFC.PLP.FY22,12/30/2021,1811 WATERLOO PLACE,Bronx,10460.0,BX-06,BX17,Preservation,Non Prevailing Wage
71432,313 BEACH 42ND STREET,12/30/2021,313 BEACH 42 STREET,Queens,11691.0,QN-14,QN12,Preservation,Non Prevailing Wage
71643,114-11 133RD STREET,12/30/2021,114-11 133 AVENUE,Queens,11420.0,QN-10,QN55,Preservation,Non Prevailing Wage
69218,MHANY. MHANY CLUSTER. JOE NYC,12/29/2021,135 ALBANY AVENUE,Brooklyn,11213.0,BK-08,BK61,Preservation,Non Prevailing Wage
69218,MHANY. MHANY CLUSTER. JOE NYC,12/29/2021,1629 EASTERN PARKWAY EXTENSION,Brooklyn,11233.0,BK-16,BK79,Preservation,Non Prevailing Wage
69218,MHANY. MHANY CLUSTER. JOE NYC,12/29/2021,1180 PRESIDENT STREET,Brooklyn,11225.0,BK-09,BK63,Preservation,Non Prevailing Wage
70082,ROCKAWAY VILLAGE PHASE 4,12/29/2021,1605 VILLAGE LANE,Queens,,QN-00,,New Construction,Non Prevailing Wage
70082,ROCKAWAY VILLAGE PHASE 4,12/29/2021,1607 VILLAGE LANE,Queens,,QN-00,,New Construction,Non Prevailing Wage
70392,153-10 88TH AVE,12/29/2021,153-10 88 AVENUE,Queens,11432.0,QN-12,QN35,New Construction,Non Prevailing Wage
71900,EVERGREEN GARDENS (600621),12/29/2021,950 EVERGREEN AVENUE,Bronx,10473.0,BX-09,BX09,Preservation,Non Prevailing Wage
71900,EVERGREEN GARDENS (600621),12/29/2021,955 EVERGREEN AVENUE,Bronx,10473.0,BX-09,BX09,Preservation,Non Prevailing Wage
71911,CONFIDENTIAL,12/29/2021,---- ----,Staten Island,,SI-01,,Preservation,Non Prevailing Wage
71891,808 ELSMERE AVENUE,12/27/2021,808 ELSMERE PLACE,Bronx,10460.0,BX-06,BX17,New Construction,Non Prevailing Wage
71892,1318 SOUTHERN BLVD,12/27/2021,1318 SOUTHERN BOULEVARD,Bronx,10459.0,BX-03,BX75,New Construction,Non Prevailing Wage
71893,430 BELMONT AVENUE APARTMENTS,12/27/2021,360 VERMONT STREET,Brooklyn,11207.0,BK-05,BK85,New Construction,Non Prevailing Wage
71894,2083 DALY AVENUE,12/27/2021,2083 DALY AVENUE,Bronx,10460.0,BX-06,BX17,New Construction,Non Prevailing Wage
71914,CONFIDENTIAL,12/27/2021,---- ----,Queens,,QN-10,,Preservation,Non Prevailing Wage
70731,100 FLATBUSH AVENUE (PHASE 1),12/23/2021,100 FLATBUSH AVENUE,Brooklyn,11217.0,BK-02,BK38,New Construction,Non Prevailing Wage
71021,1018 EAST 163RD ST,12/23/2021,1018 EAST 163 STREET,Bronx,10459.0,BX-02,BX27,Preservation,Non Prevailing Wage
62229,LAMBERT REDEVELOPMENT-BUILDING 5AB,12/22/2021,2082 BOSTON ROAD,Bronx,10460.0,BX-06,BX17,New Construction,Non Prevailing Wage
63764,CONEY ISLAND PHASE 2,12/22/2021,1607 SURF AVENUE,Brooklyn,11224.0,BK-13,BK21,New Construction,Non Prevailing Wage
64689,NME III,12/22/2021,207 WEST 140 STREET,Manhattan,10030.0,MN-10,MN03,New Construction,Non Prevailing Wage
64689,NME III,12/22/2021,304 WEST 150 STREET,Manhattan,10039.0,MN-10,MN03,New Construction,Non Prevailing Wage
68108,LINDEN TERRACE BUILDING 3,12/22/2021,583 EMERALD STREET,Brooklyn,11208.0,BK-05,BK82,New Construction,Non Prevailing Wage
