DBN,School Name,School Type,"Total Parent Response Rate (%)",Total Teacher Response Rate (%),Total Student Response Rate (%),Total Academic Expectations Score,Total Communication Score,Total Engagement Score,Total Safety and Respect Score
01M015,P.S. 015 Roberto Clemente,ES,66,100,N/A,8.3,8.3,8.1,8.4
01M019,P.S. 019 Asher Levy,ES,96,97,N/A,8.7,8.8,8.5,8.6
01M020,P.S. 020 Anna Silver,ES,71,79,N/A,7.9,7.6,7.7,8.1
01M034,P.S. 034 Franklin D. Roosevelt,ES/MS,40,88,94,8.1,8.1,7.7,7.5
01M063,The STAR Academy – P.S.63,ES,70,100,N/A,8.0,7.7,7.4,8.2
01M064,P.S. 064 Robert Simon,ES,78,85,N/A,8.8,8.9,8.8,9.0
01M110,P.S. 110 Florence Nightingale,ES,86,94,N/A,7.3,7.0,7.0,7.8
01M134,P.S. 134 Henrietta Szold,ES,29,74,N/A,6.7,6.7,6.5,7.5
01M137,P.S. 137 John L. Bernstein,ES,74,79,N/A,8.1,7.7,7.4,7.7
01M140,P.S. 140 Nathan Straus,ES/MS,41,85,96,8.1,8.0,7.5,7.8
01M142,P.S. 142 Amalia Castro,ES,90,100,N/A,8.3,8.0,8.0,8.2
01M184,P.S. 184m Shuang Wen,ES/MS,65,68,100,7.4,6.9,6.6,7.5
01M188,P.S. 188 The Island School,ES/MS,59,61,81,9.3,9.4,9.3,9.3
01M292,Henry Street School for International Studies,MS/HS,48,94,74,8.1,8.3,7.9,7.9
01M301,"Technology, Arts, and Sciences Studio",MS,39,100,92,7.9,8.3,7.6,7.6
01M315,The East Village Community School,ES,64,86,N/A,8.6,8.7,8.8,8.7
01M332,University Neighborhood Middle School,MS,91,100,99,8.6,8.9,8.5,8.5
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",MS,53,71,97,7.7,7.5,7.2,7.4
01M361,The Children's Workshop School,ES,31,36,N/A,8.3,8.9,8.7,8.9
01M363,Neighborhood School,ES,62,96,N/A,8.1,8.0,8.3,8.6
01M364,Earth School,ES,58,87,N/A,9.0,9.0,9.0,9.1
01M378,School for Global Leaders,MS,71,96,93,8.6,7.9,7.8,8.4
01M448,University Neighborhood High School,HS,26,86,79,8.1,7.7,7.3,8.0
01M450,East Side Community School,MS/HS,33,92,75,8.7,8.8,8.5,8.6
01M458,Forsyth Satellite Academy,HST,20,92,70,8.0,7.8,7.6,7.9
01M509,Marta Valle High School,HS,10,75,46,6.9,6.3,6.4,6.8
01M515,Lower East Side Preparatory High School,HST,64,100,96,8.5,8.3,8.2,8.6
01M539,"New Explorations into Science, Technology and Math High School",ES/MS/HS,46,57,96,7.9,6.7,6.8,8.0
01M650,Cascades High School,HST,30,100,87,8.8,8.8,8.4,8.6
01M696,Bard High School Early College,HS,50,57,91,8.3,8.3,8.2,8.5
01M839,Tompkins Square Middle School,MS,40,69,98,8.4,8.0,7.8,8.3
02M001,P.S. 001 Alfred E. Smith,ES,57,78,N/A,7.6,6.5,7.0,7.2
02M002,P.S. 002 Meyer London,ES,95,80,N/A,8.0,7.8,7.6,8.2
02M003,P.S. 003 Charrette School,ES,74,94,N/A,8.9,9.0,9.0,8.9
02M006,P.S. 006 Lillie D. Blake,ES,65,88,N/A,8.8,8.3,8.5,8.8
02M011,P.S. 011 William T. Harris,ES,55,89,N/A,8.7,8.7,8.7,8.8
02M033,P.S. 033 Chelsea Prep,ES,83,92,N/A,9.0,8.7,8.9,9.0
02M040,P.S. 040 Augustus Saint-Gaudens,ES,41,63,N/A,8.2,8.6,8.5,8.8
02M041,P.S. 041 Greenwich Village,ES,73,96,N/A,9.0,9.1,9.0,9.2
02M042,P.S. 042 Benjamin Altman,ES,91,93,N/A,8.4,8.6,8.3,8.7
02M047,47 The American Sign Language and English Secondary School,HS,40,90,95,8.0,7.8,7.4,8.3
02M051,P.S. 051 Elias Howe,ES,81,96,N/A,8.7,8.8,8.5,8.8
