DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,2012-2013 OVERALL GRADE,2012-2013 OVERALL SCORE,2012-13 OVERALL PERCENTILE,2012-2013 PROGRESS CATEGORY SCORE,2012-2013 PROGRESS GRADE,2012-2013 PERFORMANCE CATEGORY SCORE,2012-2013PERFORMANCE GRADE,2012-2013 ENVIRONMENT CATEGORY SCORE,2012-2013 ENVIRONMENT GRADE,2012-2013 COLLEGE AND CAREER READINESS SCORE,2012-2013 COLLEGE AND CAREER READINESS GRADE,2012-2013 ADDITIONAL CREDIT,2011-12 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
01M015,1,P.S. 015 Roberto Clemente,Irene Sanchez,EMS,Elementary,C,48.7,39.18,30.3,B,6.1,D,7.9,B,.,.,4.4,C,C,C
01M019,1,P.S. 019 Asher Levy,Jacqueline Flanagan,EMS,Elementary,A,65.9,84.1,39.9,A,13.2,B,8.7,B,.,.,4.1,B,B,C
01M020,1,P.S. 020 Anna Silver,James Lee,EMS,Elementary,B,51.7,50.49,32.5,B,11.7,B,4.5,C,.,.,3,C,B,A
01M034,1,P.S. 034 Franklin D. Roosevelt,Rosemarie Gonzalez,EMS,K-8,A,73.5,90.24,40.9,A,18.6,A,8.7,B,.,.,5.3,A,C,B
01M063,1,P.S. 063 William McKinley,Darlene Cameron,EMS,Elementary,C,41.5,21.48,24.3,C,9.2,C,4.2,C,.,.,3.8,B,B,B
01M064,1,P.S. 064 Robert Simon,Marlon L. Hosang,EMS,Elementary,C,48.6,38.2,26.8,C,8.4,C,9.6,A,.,.,3.8,C,C,C
01M110,1,P.S. 110 Florence Nightingale,Karen Feuer,EMS,Elementary,A,74.2,93.61,49,A,19.8,A,3.3,C,.,.,2.1,D,C,D
01M134,1,P.S. 134 Henrietta Szold,Loretta Caputo,EMS,Elementary,C,44.7,29.18,29.1,B,10.6,C,2,D,.,.,3,C,C,B
01M137,1,P.S. 137 John L. Bernstein,Melissa Rodriguez,EMS,Elementary,C,40.1,17.54,25.7,C,5.2,D,3.4,C,.,.,5.8,C,F,C
01M140,1,P.S. 140 Nathan Straus,Esteban Barrientos,EMS,K-8,A,63.1,75,37.8,A,10.4,C,9.3,B,.,.,5.5,C,D,B
01M142,1,P.S. 142 Amalia Castro,Rhonda Levy,EMS,Elementary,C,47.9,36.72,23.7,C,13.7,B,7.8,B,.,.,2.7,B,C,B
01M184,1,P.S. 184m Shuang Wen,"Iris Chiu, I.A.",EMS,K-8,A,73.9,91.46,40,A,22.3,A,5.8,C,.,.,5.7,A,A,A
01M188,1,P.S. 188 The Island School,Mary Pree,EMS,K-8,B,57.8,56.1,32.9,B,9.8,C,11,A,.,.,4.1,A,A,C
01M292,1,Henry Street School for International Studies,Christine Loughlin,EMS,Middle,B,61.5,59.02,40,A,6,F,8.1,C,.,.,7.3,C,C,C
01M292,1,Henry Street School for International Studies,Christine Loughlin,HS,High School,D,42.3,7.05,18.2,D,7.9,C,10,B,2.8,D,3.43,C,C,D
01M301,1,"Technology, Arts, and Sciences Studio",George Morgan,EMS,Middle,B,66.1,71.35,42.6,A,10.7,C,8.4,C,.,.,4.4,B,B,C
01M315,1,The East Village Community School,Robin Williams,EMS,Elementary,A,60.2,75.08,36.6,A,11.7,B,8.5,B,.,.,3.4,B,C,C
01M332,1,University Neighborhood Middle School,Laura Peynado,EMS,Middle,A,80,92.7,52.3,A,12.2,B,11.9,A,.,.,3.6,B,C,B
01M345,1,"Collaborative Academy of Science, Technology, &",Judith De Los Santos,EMS,Middle,B,53,38.76,31.5,B,10.7,C,6.4,C,.,.,4.3,C,B,B
01M361,1,The Children's Workshop School,Maria Velez Clarke,EMS,Elementary,B,50.9,47.87,28.2,B,10,C,8,B,.,.,4.7,C,B,C
01M363,1,Neighborhood School,Milo Novelo,EMS,Elementary,C,36.8,10.49,22.1,C,7.4,C,4.9,C,.,.,2.4,D,C,C
01M364,1,Earth School,Alison Gail Hazut,EMS,Elementary,C,46.2,33.11,27.1,C,8,C,9.5,A,.,.,1.6,C,C,D
01M378,1,School for Global Leaders,Carry Chan,EMS,Middle,A,74.7,87.64,41.7,A,17.7,A,11.2,B,.,.,4.1,B,B,B
01M448,1,University Neighborhood High School,Elizabeth Collins,HS,High School,A,76.5,82.66,32.6,B,15.1,A,11,B,8,A,9.76,B,C,C
01M450,1,East Side Community School,Mark Federman,EMS,Middle,A,89,98.6,48.4,A,19.8,A,13.5,A,.,.,7.3,A,A,A
01M450,1,East Side Community School,Mark Federman,HS,High School,A,71,71.27,31.6,B,12.9,B,12.8,A,6.5,B,7.21,A,A,A
01M458,1,Forsyth Satellite Academy,Ingrid Roberts Haynes,HST,High School Transfer,D,45.5,.,27,B,1.9,D,7.4,D,2.7,C,6.45,C,,
01M509,1,Marta Valle High School,Mimi Fortunato,HS,High School,F,31.8,2.17,14.8,D,4.6,F,4.4,F,4.6,C,3.37,C,C,B
01M515,1,Lower East Side Preparatory High School,Martha Polin,HST,High School Transfer,A,85.6,.,36.9,A,17.1,A,11.2,B,10,A,10.4,A,A,A
01M539,1,"New Explorations into Science, Technology and Ma",Dr. Olga Livanis,EMS,K-8,A,80.5,98.17,47.2,A,24.3,A,5.2,C,.,.,3.8,A,A,A
01M539,1,"New Explorations into Science, Technology and Math High School",Dr. Olga Livanis,HS,High School,A,79.5,86.99,47.8,A,16.5,A,7,D,8.2,A,0.02,A,A,B
01M650,1,Cascades High School,Paul Rotondo,HST,High School Transfer,A,75.4,.,34,A,14.7,A,12.5,B,6.3,B,7.94,A,A,A
01M696,1,Bard High School Early College,Michael Lerner,HS,High School,A,71.1,71.54,35.9,B,15,A,10.7,B,9.4,A,0.13,B,B,B
01M839,1,Tompkins Square Middle School,Sonhando Estwick,EMS,Middle,A,70.5,80.06,30.3,B,21.9,A,12.4,A,.,.,5.9,A,B,A
02M001,2,P.S. 001 Alfred E. Smith,Amy Hom,EMS,Elementary,B,53.7,57.7,33.9,B,14.7,B,2.3,D,.,.,2.8,C,B,B
02M002,2,P.S. 002 Meyer London,Bessie Ng,EMS,Elementary,A,80.2,98.03,51.7,A,17.7,A,7,B,.,.,3.8,A,A,A
02M003,2,P.S. 003 Charrette School,Lisa Siegman,EMS,Elementary,A,66.5,85.08,37.6,A,15.9,A,8.4,B,.,.,4.5,C,C,B
02M006,2,P.S. 006 Lillie D. Blake,Lauren Fontana,EMS,Elementary,A,76.1,94.75,42.2,A,21.2,A,8.2,B,.,.,4.5,B,A,B
02M011,2,P.S. 011 William T. Harris,Robert Bender,EMS,Elementary,A,65.9,84.1,37.5,A,16.9,A,8.8,B,.,.,2.7,B,A,A
02M033,2,P.S. 033 Chelsea Prep,Linore Lindy,EMS,Elementary,A,66.6,85.41,34.4,B,18.5,A,11.5,A,.,.,2.2,A,B,A
02M040,2,P.S. 040 Augustus Saint-Gaudens,Susan Felder,EMS,Elementary,A,68.7,88.85,40.3,A,17.2,A,7,B,.,.,4.2,B,A,A
02M041,2,P.S. 041 Greenwich Village,Kelly Shannon,EMS,Elementary,A,64.3,81.31,28.9,B,19.2,A,12.1,A,.,.,4.1,B,A,B
02M042,2,P.S. 042 Benjamin Altman,Rosa Casiello O'day,EMS,Elementary,A,91.9,100,53.7,A,21.2,A,11.9,A,.,.,5.1,A,A,A
