from_path,from_table,from_column,to_path,to_label,to_column
school/,Schools_Progress_Report_2012-2013.csv,DBN,school/,oss.csv,DBN
school/,Schools_Progress_Report_2012-2013.csv,DBN,school/,esl.csv,DBN
school/,Schools_Progress_Report_2012-2013.csv,DBN,school/,ap.csv,DBN
school/,Schools_Progress_Report_2012-2013.csv,DBN,school/,disc.csv,DBN
school/,Schools_Progress_Report_2012-2013.csv,DBN,school/,sat.csv,DBN
school/,Schools_Progress_Report_2012-2013.csv,SCHOOL,school/,transfer.csv,School Type
school/,Schools_Progress_Report_2012-2013.csv,SCHOOL,school/,transfer.csv,School Name
school/,Schools_Progress_Report_2012-2013.csv,2012-2013 OVERALL SCORE,school/,transfer.csv,Overall Score
school/,Schools_Progress_Report_2012-2013.csv,2012-2013 OVERALL GRADE,school/,transfer.csv,Overall Grade
school/,Schools_Progress_Report_2012-2013.csv,2012-2013 PROGRESS GRADE,school/,transfer.csv,Progress Grade
school/,Schools_Progress_Report_2012-2013.csv,2012-2013PERFORMANCE GRADE,school/,transfer.csv,Performance Grade
school/,Schools_Progress_Report_2012-2013.csv,2012-2013 ENVIRONMENT GRADE,school/,transfer.csv,Environment Grade
school/,Schools_Progress_Report_2012-2013.csv,2012-2013 COLLEGE AND CAREER READINESS GRADE,school/,transfer.csv,College and Career Readiness Grade
school/,Schools_Progress_Report_2012-2013.csv,DBN,school/,2010_Gen_Ed_Survey_Data.csv,DBN
school/,Schools_Progress_Report_2012-2013.csv,PRINCIPAL,school/,2010_Gen_Ed_Survey_Data.csv,principal
school/,Schools_Progress_Report_2012-2013.csv,DBN,school/,transfer.csv,DBN
school/,Schools_Progress_Report_2012-2013.csv,PRINCIPAL,school/,transfer.csv,Principal
school/,Schools_Progress_Report_2012-2013.csv,DBN,school/,base.csv,DBN
school/,base.csv,School Name,school/,ap.csv,SchoolName
school/,base.csv,School Type,school/,transfer.csv,School Type
school/,base.csv,School Name,school/,transfer.csv,School Name
school/,base.csv,School Name,school/,sat.csv,School Name
school/,base.csv,DBN,school/,gender.csv,DBN
school/,base.csv,DBN,school/,s2tr.csv,DBN
school/,base.csv,DBN,school/,oss.csv,DBN
school/,base.csv,DBN,school/,esl.csv,DBN
school/,base.csv,DBN,school/,ap.csv,DBN
school/,base.csv,DBN,school/,pe.csv,DBN
school/,base.csv,DBN,school/,disc.csv,DBN
school/,base.csv,DBN,school/,qr.csv,DBN
school/,base.csv,DBN,school/,math.csv,DBN
school/,base.csv,DBN,school/,sat.csv,DBN
school/,base.csv,DBN,school/,transfer.csv,DBN
school/,base.csv,DBN,school/,yabc.csv,DBN
school/,base.csv,DBN,school/,crime.csv,DBN
school/,base.csv,DBN,school/,2010_Gen_Ed_Survey_Data.csv,DBN
school/,base.csv,DBN,school/,Schools_Progress_Report_2012-2013.csv,DBN
school/,2010_Gen_Ed_Survey_Data.csv,borough,nyc/,capital_projects2.csv,Borough
