school/ap.SchoolName,school/ap.AP Test Takers ,school/ap.Total Exams Taken,school/ap.Number of Exams with scores 3 4 or 5,DBN
TOTTENVILLE HS,396.0,687.0,206.0,31R455
World Academy for Total Community Health High Scho,22.0,22.0,,19K510
BRONX HS OF SCIENCE,1190.0,2435.0,2189.0,10X445
Gateway School for Environmental Research and Tech,,,,08X295
Multicultural High School,44.0,44.0,39.0,19K583
HS COMMUNICATION GRAPHIC ART,79.0,85.0,9.0,02M625
JHS 071 JUAN MOREL CAMPOS,16.0,16.0,12.0,14K071
COBBLE HILL SCH OF AMER STUDIE,25.0,36.0,,15K519
HILLCREST HS,241.0,362.0,50.0,28Q505
World Journalism Preparatory: A College Board Scho,65.0,87.0,18.0,25Q285
School for Community Research and Learning,9.0,9.0,,08X540
"High School for Construction Trades, Engineering a",91.0,109.0,21.0,27Q650
FORDHAM LDRSHP ACAD BUS & TECH,42.0,47.0,12.0,10X438
NEWCOMERS HS:ACAD AMER STD,119.0,163.0,140.0,30Q555
FREDERICK DOUGLASS ACADEMY III,26.0,36.0,,09X517
NEW UTRECHT HS,174.0,271.0,95.0,20K445
HARRY S TRUMAN HS,103.0,135.0,27.0,11X455
ACADEMY OF AMER. STUDIES HS,101.0,170.0,119.0,30Q575
SCIENCE SKILLS CENTER,52.0,59.0,,13K419
SUSAN E. WAGNER HS,279.0,408.0,175.0,31R460
FREEDOM ACADEMY H.S.,74.0,89.0,,13K509
Millennium Art Academy,35.0,55.0,,08X312
"Brooklyn Community High School of Communication, A",21.0,21.0,,13K412
New Explorers High School,18.0,18.0,,07X547
LOWER EASTSIDE PREP,24.0,26.0,24.0,01M515
MARBLE HILL HS FOR INT STUDIES,83.0,141.0,37.0,10X477
THOS A EDISON VHS,183.0,244.0,100.0,28Q620
PAUL ROBESON HS,50.0,51.0,,17K625
BROOKLYN STUDIO SCHOOL,39.0,43.0,13.0,21K690
"BRONX SCH FOR LAW, GOVT, JUST",45.0,55.0,27.0,09X505
PORT RICHMOND HS,194.0,304.0,76.0,31R445
EDWARD R MURROW HS,397.0,577.0,307.0,21K525
JACQUELINE K. ONASSIS HS,80.0,118.0,29.0,02M529
JOHN DEWEY H.S.,232.0,370.0,154.0,21K540
SAMUEL J. TILDEN HS,,,,18K415
Williamsburg Preparatory School,31.0,41.0,,14K561
"High School for Global Citizenship, The",20.0,34.0,,17K528
Pace High School,21.0,21.0,,02M298
