school/base.School Name,school/base.School Type,school/base.Total Parent Response Rate (%),school/base.Total Teacher Response Rate (%),school/base.Total Student Response Rate (%),school/base.class,DBN
P.S. 115 Alexander Humboldt,ES,79,85,,False,06M115
Bronx Charter School for Children,ES,70,44,,False,84X407
P.S. 177 The Marlboro,ES,92,96,,False,21K177
P.S. 150 Queens,ES,67,53,100.0,False,30Q150
P.S. 131 Abigail Adams,ES,66,100,,False,29Q131
VOYAGES Preparatory,HST,79,100,81.0,False,24Q744
Bronx Writing Academy,MS,35,83,77.0,True,09X323
P.S. 107 Thomas A Dooley,ES,62,68,,False,25Q107
Morris Academy for Collaborative Studies,HS,28,83,91.0,True,09X297
The Lexington Academy,ES,68,92,,False,04M072
"M.S. 267 Math, Science & Technology",MS,43,90,96.0,False,16K267
P.S. X015 Institute for Environmental Learning,ES/MS,71,100,99.0,False,10X015
P.S. 220 Edward Mandel,ES,58,89,,False,28Q220
P.S. 199X - The Shakespeare School,ES,66,90,,True,09X199
Multicultural High School,HS,11,93,74.0,True,19K583
Brooklyn Excelsior Charter School,ES/MS,35,97,96.0,True,84K731
Wings Academy,HS,38,92,80.0,True,12X684
P.S. 215 Lucretia Mott,ES,68,59,,True,27Q215
MS 142 John Philip Sousa,MS,8,68,69.0,True,11X142
Hebrew Language Academy Charter School,ES,86,100,,False,84K746
P.S. 135 Sheldon A. Brookner,ES,56,84,,True,18K135
P.S. 043 Jonas Bronck,ES,70,97,,False,07X043
J.H.S. 167 Robert F. Wagner,MS,64,62,94.0,True,02M167
P.S. 360,ES,84,95,100.0,False,10X360
J.H.S. 217 Robert A. Van Wyck,MS,41,96,96.0,False,28Q217
Brooklyn Arbor Elementary School,ECC,76,93,,False,14K414
P.S. 77 Lower Lab School,ES,86,95,,False,02M077
Quest to Learn,MS/HS,69,96,93.0,True,02M422
P.S. 189,ES,60,90,,False,06M189
P.S. 041 Crocheron,ES,70,100,,False,26Q041
P.S. 069 Journey Prep School,ES,63,68,,False,08X069
Leadership and Public Service High School,HS,12,68,50.0,True,02M425
P.S. 213 The Carl Ullman School,ES,52,77,,False,26Q213
Manhattan Village Academy,HS,53,78,99.0,False,02M439
"Celia Cruz Bronx High School of Music, The",HS,34,97,81.0,True,10X442
Icahn Charter School 3,ES,47,88,100.0,False,84X422
KIPP Academy Charter School,ES/MS,62,70,94.0,False,84X704
"Science Skills Center High School for Science, Technology and the Creative Arts",HS,20,81,78.0,True,13K419
Green School: An Academy for Environmental Careers,HS,28,38,52.0,True,14K454
Harry S Truman High School,HS,6,57,50.0,True,11X455
Brooklyn Technical High School,HS,35,89,91.0,True,13K430
P.S. 113 Isaac Chauncey,ES/MS,98,100,96.0,False,24Q113
P.S. 071 Forest,ES,78,68,,True,24Q071
Academy for Software Engineering,HS,54,100,94.0,False,02M546
P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,ECC,90,95,,False,20K748
P.S. 036 Saint Albans School,ES,86,97,,False,29Q036
J.H.S. 218 James P. Sinnott,MS,28,78,87.0,True,19K218
Achievement First Bushwick Charter School,ES/MS,57,53,86.0,False,84K538
P.S. 033 Timothy Dwight,ES,97,95,,True,10X033
PS 110,ECC,63,100,,False,24Q110
Academy for Environmental Leadership,HS,66,96,91.0,True,32K403
P.S. 279 Herman Schreiber,ES,54,79,,True,18K279
New World High School,HS,60,70,94.0,False,11X513
P.S. 103 Hector Fontanez,ES,52,86,,False,11X103
PS/MS 194,ES/MS,72,91,97.0,True,11X194
Challenge Preparatory Charter School,ECC,87,97,,False,84Q340
HILLSIDE ARTS & LETTERS ACADEMY,HS,45,100,86.0,False,28Q325
P.S. 188 Michael E. Berdy,ES,72,96,,False,21K188
P.S. 001 The Bergen,ES,38,64,,False,15K001
Brownsville Academy High School,HST,50,79,76.0,False,17K568
Irwin Altman Middle School 172,MS,75,49,98.0,True,26Q172
Bronx Compass High School,HS,27,78,60.0,False,08X561
P.S. 108 Captain Vincent G. Fowler,ES,91,100,,False,27Q108
I.S. 007 Elias Bernstein,MS,75,62,98.0,False,31R007
P.S. 161 Arthur Ashe School,ES,78,91,,False,28Q161
Democracy Prep Endurance Charter School,MS,93,100,99.0,False,84M065
The 51 Avenue Academy (The Path To Academic Excellence),ES,81,97,,False,24Q877
P.S. 032 Belmont,ES,90,97,,False,10X032
P.S. 030 Hernandez/Hughes,ES,83,100,,False,05M030
P.S. 125 Ralph Bunche,ES,67,96,,False,05M125
I.S. 068 Isaac Bildersee,MS,28,72,86.0,True,18K068
Gaynor McCown Expeditionary Learning School,HS,45,84,96.0,True,31R064
Learners and Leaders,ECC,87,69,,False,24Q305
M.S. 243 Center School,MS,92,100,99.0,False,03M243
P.S. 025 Eubie Blake School,ES,60,97,,True,16K025
J.H.S. 098 Herman Ridder,MS,58,97,89.0,True,12X098
P.S. 128 Audubon,ES,57,86,,False,06M128
P.S. 076 A. Philip Randolph,ES/MS,61,92,93.0,False,03M076
P.S. 193 Gil Hodges,ES,38,98,,False,22K193
Harlem Village Academy HS,HS,52,85,93.0,True,84M888
I.S. 285 Meyer Levin,MS,43,68,88.0,True,18K285
Sheepshead Bay High School,HS,5,73,72.0,True,22K495
I.S. 192 The Linden,MS,80,63,65.0,False,29Q192
P.S. 018 John Peter Zenger,ES,100,82,,True,07X018
Tag Young Scholars,ES/MS,88,100,99.0,False,04M012
Academy of Medical Technology: A College Board School,MS/HS,48,88,74.0,True,27Q309
P.S./M.S. 031 The William Lloyd Garrison,ES/MS,47,98,98.0,False,07X031
Democracy Prep Harlem Charter School,MS,56,93,94.0,True,84M481
M.S. 255 Salk School of Science,MS,53,92,99.0,False,02M255
Goldie Maple Academy,ES/MS,100,54,100.0,False,27Q333
New Visions Charter High School for Advanced Math and Science,HS,39,91,61.0,True,84X539
Family Life Academy Charter School,ES/MS,99,90,100.0,False,84X705
P.S. 023 Carter G. Woodson,ES,93,96,,False,14K023
P.S. 054 Hillside,ES,74,81,,False,28Q054
Brooklyn Studio Secondary School,MS/HS,22,66,94.0,True,21K690
P.S. 123,ES,59,94,,True,27Q123
P.S. 041 Francis White,ES/MS,24,63,97.0,True,23K041
J.H.S. 080 The Mosholu Parkway,MS,48,93,77.0,True,10X080
P.S. 101 The Verrazano,ES,95,85,,False,21K101
P.S. 20 P.O.George J. Werdan III,ES/MS,57,61,88.0,True,10X020
P.S. 90 Edna Cohen School,ES,76,69,,True,21K090
Park East High School,HS,81,100,90.0,False,04M495
Kappa III,MS,63,96,89.0,False,12X316
P.S. 325,ES,84,70,,True,06M325
P.S. 305 Dr. Peter Ray,ES,26,68,,True,13K305
P.S. 076 William Hallet,ES,28,93,,True,30Q076
Brooklyn Prospect Charter School,MS/HS,55,100,80.0,False,84K707
P.S. 119,ES,65,77,,False,08X119
One World Middle School at Edenwald,MS,65,100,99.0,False,11X529
P.S. 175 City Island,ES/MS,52,95,99.0,True,11X175
P.S. 094 David D. Porter,ES,78,77,,False,26Q094
M.S. 582,MS,39,100,98.0,True,14K582
William Cullen Bryant High School,HS,21,64,58.0,True,30Q445
East-West School of International Studies,MS/HS,33,67,97.0,True,25Q281
P.S. K771,D75,59,84,94.0,False,75K771
P.S. 69 Vincent D. Grippo School,ES,100,93,,False,20K069
Bedford Stuyvesant Preparatory High School,HST,34,100,95.0,False,13K575
P.S. 277 Gerritsen Beach,ES,92,100,,False,22K277
I.S. 303 Herbert S. Eisenberg,MS,95,95,98.0,True,21K303
Olympus Academy,HST,10,86,47.0,False,18K635
P.S. Q256,D75,45,96,81.0,False,75Q256
WATERSIDE CHILDREN'S STUDIO SCHOOL,ES,58,100,,False,27Q317
New Visions Charter High School for Advanced Math and Science II,HS,65,92,93.0,False,84X202
P.S. 188 Kingsbury,ES,55,63,,False,26Q188
PS/MS 11X498 - VAN NEST ACADEMY,ES/MS,62,97,89.0,False,11X498
Washington Heights Academy,ES,81,73,,False,06M366
The New School for Leadership and Journalism,MS,33,46,83.0,False,10X244
P.S. 031 William T. Davis,ES,69,80,,False,31R031
P.S. 181 Brooklyn,ES/MS,37,61,88.0,True,17K181
Green Dot New York Charter School,HS,50,97,90.0,False,84X393
P.S. 018 John G. Whittier,ES,77,87,,False,31R018
P.S./I.S. 295,ES/MS,89,83,98.0,True,29Q295
Park Slope Collegiate,MS/HS,20,81,72.0,True,15K464
P.S. 182 Samantha Smith,ES,87,95,,True,28Q182
I.S. 218 Salome Urena,MS,66,61,87.0,True,06M218
The Ethical Community Charter School (TECCS),ES,79,96,,True,84K734
Kings Collegiate Charter School,MS,81,69,91.0,False,84K608
P.S. 100 Isaac Clason,ES,42,78,,True,08X100
Bushwick Community High School,HST,19,96,57.0,True,32K564
P.S. 175 Henry H Garnet,ES,66,85,,True,05M175
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,ES,43,80,,False,19K677
Metropolitan Lighthouse Charter School,ES,87,100,,False,84X461
P.S. 019 The Curtis School,ES,65,66,,False,31R019
Amber Charter School,ES,68,93,,False,84M705
P.S. 397 Foster-Laurie,ES,72,97,,False,17K397
P.S. 069 Daniel D. Tompkins,ES,89,100,,False,31R069
VILLAGE ACADEMY,MS,71,97,89.0,False,27Q319
The Bilingual Bicultural School,ES,83,80,,False,04M182
P.S. 109,ES/MS,27,70,94.0,True,22K109
Jean Nuzzi Intermediate School,MS,27,93,88.0,True,29Q109
P.S. 153 Helen Keller,ES,63,100,,False,11X153
P.S. 059 The Community School of Technology,ES,100,98,,False,10X059
P.S. 198 Isador E. Ida Straus,ES,92,67,,True,02M198
P.S. Q993,D75,50,88,98.0,False,75Q993
George Washington Carver High School for the Sciences,HS,30,100,90.0,True,29Q272
New Day Academy,MS/HS,67,100,86.0,True,12X245
P.S. 176 Ovington,ES,95,78,,False,20K176
P.S. 127 Aerospace Science Magne,ES/MS,60,49,97.0,True,30Q127
J.H.S. 125 Henry Hudson,MS,36,88,87.0,True,08X125
P.S. 723,D75,18,79,72.0,False,75X723
P.S. M811 - Mickey Mantle School,D75,41,45,91.0,False,75M811
J.H.S. 062 Ditmas,MS,95,100,98.0,True,20K062
P.S. 070 Queens,ES,56,41,,True,30Q070
P.S. 206 Joseph F Lamb,ES/MS,49,83,99.0,True,22K206
I. S. 381,MS,40,85,99.0,True,22K381
P.S. 165 Ida Posner,ES/MS,35,77,90.0,True,23K165
Murry Bergtraum High School for Business Careers,HS,9,95,49.0,True,02M520
P.S. 156 Waverly,ES,70,100,,False,23K156
PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,MS,45,89,97.0,False,11X468
P.S. 306,ES,67,60,,True,10X306
West Bronx Academy for the Future,MS/HS,20,92,75.0,True,10X243
The 47 American Sign Language & English Lower School,ES/MS,30,84,94.0,True,02M347
P.S. 159 Isaac Pitkin,ES,53,95,,True,19K159
Holcombe L. Rucker School of Community Research,HS,78,92,74.0,True,08X332
Harlem Village Academy Leadership Charter School,ES/MS,72,100,98.0,False,84M335
MANHATTAN BUSINESS ACADEMY,HS,43,97,82.0,True,02M392
P.S. 041 New Dorp,ES,71,80,,True,31R041
Richmond Hill High School,HS,7,75,59.0,True,27Q475
Newtown High School,HS,17,67,74.0,False,24Q455
Renaissance Charter School,ES/MS/HS,63,76,99.0,True,84Q705
Academy for New Americans,MS,99,100,98.0,False,30Q235
M.S. 584,MS,36,95,91.0,False,16K584
Girls Preparatory Charter School of New York,ES/MS,85,98,98.0,False,84M330
I.S. X303 Leadership & Community Service,MS,77,100,93.0,False,09X303
P.S. 051 Bronx New School,ES,77,75,,False,10X051
Robert H. Goddard High School of Communication Arts and Technology,HS,52,86,88.0,False,27Q308
M.S. 326 - Writers Today & Leaders Tomorrow,MS,29,64,86.0,True,06M326
Aviation Career & Technical Education High School,HS,17,100,94.0,False,24Q610
Academic Leadership Charter School,ES,94,100,,False,84X491
Ralph R. McKee Career and Technical Education High School,HS,35,93,88.0,True,31R600
Bronx High School for the Visual Arts,HS,15,77,56.0,True,11X418
I.S. 059 Springfield Gardens,MS,44,95,95.0,True,29Q059
P.S. 044 Thomas C. Brown,ES,58,75,,False,31R044
P.S. 120 Carlos Tapia,ES,90,69,,False,14K120
Victory Collegiate High School,HS,41,67,50.0,True,18K576
P.S. 6 Corporal Allan F. Kivlehan School,ES,89,83,,False,31R006
International Community High School,HS,46,96,88.0,True,07X334
P.S. 108 Sal Abbracciamento,ES,77,100,,True,19K108
Baychester Middle School,MS,20,88,79.0,True,11X532
P.S. 171 Peter G. Van Alst,ES,48,67,,False,30Q171
P186X Walter J. Damrosch School,D75,23,43,69.0,False,75X186
Satellite West Middle School,MS,47,45,82.0,True,13K313
Wadleigh Secondary School for the Performing & Visual Arts,MS/HS,45,85,60.0,True,03M415
I.S. 181 Pablo Casals,MS,64,74,96.0,True,11X181
Success Academy Charter School - Upper West,ECC,60,91,,False,84M523
EMMA LAZARUS HIGH SCHOOL,HST,95,100,96.0,False,02M394
P.S. 118 Lorraine Hansberry,ES,34,78,,True,29Q118
The Opportunity Charter School,MS/HS,46,95,93.0,True,84M279
New Millennium Business Academy Middle School,MS,66,94,95.0,False,09X328
Yorkville Community School,ECC,56,92,,False,02M151
P.S. 050 Talfourd Lawn Elementary School,ES,69,96,,True,28Q050
Young Women's Leadership School,MS/HS,63,100,93.0,False,04M610
Stuyvesant High School,HS,49,94,96.0,True,02M475
P.S./I.S. 104 The Fort Hamilton School,ES/MS,98,89,92.0,False,20K104
P.S. 255 Barbara Reing School,ES,59,96,,False,22K255
Brooklyn School for Global Studies,MS/HS,14,90,75.0,True,15K429
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,HS,21,94,57.0,True,03M402
P.S. 156 Laurelton,ES/MS,68,89,92.0,True,29Q156
P.S. 095 Eastwood,ES,100,99,,False,29Q095
The Children's Workshop School,ES,31,36,,False,01M361
P.S. 110 Theodore Schoenfeld,ES,49,86,,True,09X110
Maspeth High School,HS,21,52,91.0,False,24Q585
M.S. 324 - Patria Mirabal,MS,95,97,99.0,False,06M324
The Gordon Parks School,ES/MS,53,76,100.0,True,29Q270
P.S. 132 Garret A. Morgan,ES,64,75,,True,09X132
P.S. 101 School in the Gardens,ES,90,100,100.0,True,28Q101
P.S. 017 Henry D. Woodworth,ES,57,76,,False,14K017
P.S. 001 Alfred E. Smith,ES,57,78,,True,02M001
P.S. 380 John Wayne Elementary,ES,100,100,,False,14K380
P.S. 009,D75,25,50,58.0,True,75Q009
Global Neighborhood Secondary School,MS,61,100,97.0,False,04M381
