school/gender.chool Name,school/gender.Grade,school/gender.Year,school/gender.Category,school/gender.Number Tested,school/gender.Mean Scale Score,school/gender.Level1_N,school/gender.Level1_%,school/gender.Level2_N,school/gender.Level2_%,school/gender.Level3_N,school/gender.Level3_%,school/gender.Level4_N,school/gender.Level4_%,school/gender.Level3+4_N,school/gender.Level3+4_%,DBN
PS 236 MILL BASIN,All Grades,2015,Female,125,325.0,8.0,6.4,42.0,33.6,40.0,32.0,35.0,28.0,75.0,60.0,22K236
COMMUNITY MATH & SCIENCE PREP,8,2013,Male,68,250.0,54.0,79.4,11.0,16.2,3.0,4.4,0.0,0.0,3.0,4.4,06M328
PS 133 WILLIAM A BUTLER,4,2015,Female,24,305.0,6.0,25.0,9.0,37.5,7.0,29.2,2.0,8.3,9.0,37.5,13K133
ANDRIES HUDDE,All Grades,2016,Female,399,306.0,57.0,14.3,195.0,48.9,120.0,30.1,27.0,6.8,147.0,36.8,22K240
IS 007 ELIAS BERNSTEIN,All Grades,2014,Male,573,314.0,70.0,12.2,221.0,38.6,190.0,33.2,92.0,16.1,282.0,49.2,31R007
PS 213 THE CARL ULLMAN SCHOOL,3,2015,Female,32,322.0,6.0,18.8,7.0,21.9,15.0,46.9,4.0,12.5,19.0,59.4,26Q213
PS 133 QUEENS,3,2013,Female,28,320.0,1.0,3.6,13.0,46.4,11.0,39.3,3.0,10.7,14.0,50.0,26Q133
PS 071 ROSE E SCALA,8,2017,Male,88,308.0,13.0,14.8,36.0,40.9,32.0,36.4,7.0,8.0,39.0,44.3,08X071
PS 063 AUTHOR S ACADEMY,5,2013,Male,35,301.0,9.0,25.7,18.0,51.4,7.0,20.0,1.0,2.9,8.0,22.9,09X063
PS 026 JESSE OWENS,5,2015,Female,10,299.0,2.0,20.0,7.0,70.0,1.0,10.0,0.0,0.0,1.0,10.0,16K026
PS 101 SCHOOL IN THE GARDENS,6,2014,Female,15,351.0,0.0,0.0,3.0,20.0,1.0,6.7,11.0,73.3,12.0,80.0,28Q101
PS 199 JESSIE ISADOR STRAUS,4,2015,Male,54,329.0,1.0,1.9,18.0,33.3,14.0,25.9,21.0,38.9,35.0,64.8,03M199
PS 229 EMANUEL KAPLAN,5,2016,Male,103,311.0,20.0,19.4,35.0,34.0,35.0,34.0,13.0,12.6,48.0,46.6,24Q229
MS 267 MATH SCIENCE & TECHNOLOGY,8,2015,Female,39,291.0,14.0,35.9,15.0,38.5,9.0,23.1,1.0,2.6,10.0,25.6,16K267
PS 018 EDWARD BUSH,4,2017,Male,14,298.0,4.0,28.6,5.0,35.7,5.0,35.7,0.0,0.0,5.0,35.7,14K018
EAGLE ACADEMY FOR YOUNG MEN II,7,2013,Male,72,287.0,39.0,54.2,23.0,31.9,10.0,13.9,0.0,0.0,10.0,13.9,23K644
PSMS 280 MOSHOLU PARKWAY,6,2015,Male,53,294.0,17.0,32.1,22.0,41.5,10.0,18.9,4.0,7.5,14.0,26.4,10X280
PS 241 EMMA L JOHNSTON,5,2014,Male,41,300.0,13.0,31.7,14.0,34.1,14.0,34.1,0.0,0.0,14.0,34.1,17K241
MS M245 THE COMPUTER SCHOOL,All Grades,2013,Female,218,318.0,16.0,7.3,84.0,38.5,86.0,39.4,32.0,14.7,118.0,54.1,03M245
PS 203 OAKLAND GARDENS,3,2015,Male,54,339.0,4.0,7.4,7.0,13.0,27.0,50.0,16.0,29.6,43.0,79.6,26Q203
BRIGHTER CHOICE COMMUNITY SCHOOL,All Grades,2016,Male,27,305.0,5.0,18.5,15.0,55.6,6.0,22.2,1.0,3.7,7.0,25.9,16K627
PS 020 ANNA SILVER,3,2016,Female,37,305.0,9.0,24.3,16.0,43.2,9.0,24.3,3.0,8.1,12.0,32.4,01M020
PS 164 QUEENS VALLEY,7,2016,Male,34,318.0,2.0,5.9,13.0,38.2,14.0,41.2,5.0,14.7,19.0,55.9,25Q164
PSIS 116 WILLIAM C HUGHLEY,5,2013,Male,27,283.0,15.0,55.6,9.0,33.3,3.0,11.1,0.0,0.0,3.0,11.1,29Q116
PS 102 JACQUES CARTIER,5,2015,Female,14,281.0,6.0,42.9,7.0,50.0,1.0,7.1,0.0,0.0,1.0,7.1,04M102
ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,7,2015,Male,39,279.0,25.0,64.1,11.0,28.2,3.0,7.7,0.0,0.0,3.0,7.7,08X376
