school/math.Grade,school/math.Year,school/math.Category,school/math.Number Tested,school/math.Mean Scale Score,school/math.Level 1 #,school/math.Level 1 %,school/math.Level 2 #,school/math.Level 2 %,school/math.Level 3 #,school/math.Level 3 %,school/math.Level 4 #,school/math.Level 4 %,school/math.Level 3+4 #,school/math.Level 3+4 %,DBN
All Grades,2008,All Students,327,,8.0,2.4,13.0,4.0,148.0,45.3,158.0,48.3,306.0,93.6,02M002
8,2007,All Students,38,654.0,3.0,7.9,12.0,31.6,20.0,52.6,3.0,7.9,23.0,60.5,06M311
7,2008,All Students,148,660.0,7.0,4.7,32.0,21.6,98.0,66.2,11.0,7.4,109.0,73.6,07X223
All Grades,2011,All Students,474,665.0,76.0,16.0,214.0,45.1,143.0,30.2,41.0,8.6,184.0,38.8,12X211
All Grades,2008,All Students,147,,0.0,0.0,3.0,2.0,91.0,61.9,53.0,36.1,144.0,98.0,27Q047
3,2011,All Students,12,674.0,2.0,16.7,6.0,50.0,4.0,33.3,0.0,0.0,4.0,33.3,75M138
5,2007,All Students,75,641.0,13.0,17.3,36.0,48.0,22.0,29.3,4.0,5.3,26.0,34.7,23K284
6,2007,All Students,340,650.0,47.0,13.8,114.0,33.5,151.0,44.4,28.0,8.2,179.0,52.6,10X045
8,2011,All Students,125,639.0,38.0,30.4,82.0,65.6,5.0,4.0,0.0,0.0,5.0,4.0,17K587
8,2007,All Students,107,638.0,17.0,15.9,55.0,51.4,34.0,31.8,1.0,0.9,35.0,32.7,10X308
All Grades,2009,All Students,908,,0.0,0.0,0.0,0.0,101.0,11.1,807.0,88.9,908.0,100.0,20K187
4,2007,All Students,65,651.0,12.0,18.5,21.0,32.3,27.0,41.5,5.0,7.7,32.0,49.2,17K316
3,2007,All Students,199,665.0,20.0,10.1,36.0,18.1,118.0,59.3,25.0,12.6,143.0,71.9,10X085
All Grades,2010,All Students,206,,0.0,0.0,66.0,32.0,98.0,47.6,42.0,20.4,140.0,68.0,27Q262
3,2010,All Students,134,701.0,6.0,4.5,39.0,29.1,46.0,34.3,43.0,32.1,89.0,66.4,28Q139
8,2011,All Students,398,668.0,54.0,13.6,164.0,41.2,124.0,31.2,56.0,14.1,180.0,45.2,29Q109
5,2011,All Students,86,662.0,8.0,9.3,58.0,67.4,18.0,20.9,2.0,2.3,20.0,23.3,18K272
All Grades,2007,All Students,461,,82.0,17.8,191.0,41.4,173.0,37.5,15.0,3.3,188.0,40.8,07X223
7,2011,All Students,78,659.0,17.0,21.8,36.0,46.2,22.0,28.2,3.0,3.8,25.0,32.1,23K327
All Grades,2008,All Students,213,,12.0,5.6,38.0,17.8,139.0,65.3,24.0,11.3,163.0,76.5,03M145
3,2011,All Students,108,687.0,12.0,11.1,37.0,34.3,40.0,37.0,19.0,17.6,59.0,54.6,10X291
8,2008,All Students,390,657.0,45.0,11.5,117.0,30.0,177.0,45.4,51.0,13.1,228.0,58.5,21K096
5,2009,All Students,96,672.0,1.0,1.0,16.0,16.7,66.0,68.8,13.0,13.5,79.0,82.3,11X087
All Grades,2006,All Students,427,,53.0,12.4,126.0,29.5,209.0,48.9,39.0,9.1,248.0,58.1,11X021
All Grades,2010,All Students,293,,72.0,24.6,152.0,51.9,58.0,19.8,11.0,3.8,69.0,23.5,08X367
All Grades,2011,All Students,565,709.0,0.0,0.0,5.0,0.9,179.0,31.7,381.0,67.4,560.0,99.1,27Q323
7,2011,All Students,470,688.0,17.0,3.6,87.0,18.5,158.0,33.6,208.0,44.3,366.0,77.9,20K259
6,2006,All Students,97,674.0,9.0,9.3,15.0,15.5,46.0,47.4,27.0,27.8,73.0,75.3,29Q208
4,2010,All Students,83,710.0,1.0,1.2,8.0,9.6,32.0,38.6,42.0,50.6,74.0,89.2,22K134
3,2011,All Students,15,681.0,1.0,6.7,8.0,53.3,6.0,40.0,0.0,0.0,6.0,40.0,16K628
All Grades,2008,All Students,125,,0.0,0.0,2.0,1.6,56.0,44.8,67.0,53.6,123.0,98.4,31R005
