school/oss.LOCATION NAME,school/oss.LOCATION CATEGORY,school/oss.ADMINISTRATIVE DISTRICT,school/oss.AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,school/oss.ASIAN STUDENTS With 2 or More Suspensions or Removals,school/oss.BLACK STUDENTS With 2 or More Suspensions or Removals,school/oss.HISPANIC STUDENTS With 2 or More Suspensions or Removals,school/oss.WHITE STUDENTS With 2 or More Suspensions or Removals,school/oss.MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,school/oss.UNKNOWN STUDENTS With 2 or More Suspensions or Removals,school/oss.TOTAL STUDENTS With 2 or More Suspensions or Removals,DBN
P.S. 335 Granville T. Woods,Elementary,16.0,*,*,*,*,*,*,*,*,16K335
"Archimedes Academy for Math, Science and Technolog",High school,8.0,*,*,10,17,*,*,*,28,08X367
P.S. K396,K-8,75.0,*,*,*,*,*,*,*,*,75K396
P.S. 059 Beekman Hill International,Elementary,2.0,*,*,*,*,*,*,*,*,02M059
Institute for Collaborative Education,Secondary School,2.0,*,*,*,*,*,*,*,*,02M407
P.S. 048 P.O. Michael J. Buczek,Elementary,6.0,*,*,*,*,*,*,*,6,06M048
P.S. 159,Elementary,26.0,*,*,*,*,*,*,*,*,26Q159
Alfred E. Smith Campus YABC,High school,7.0,*,*,*,*,*,*,*,*,07X456
Professional Performing Arts High School,Secondary School,2.0,*,*,*,*,*,*,*,*,02M408
Naples Street Elementary School,Elementary,31.0,*,*,*,*,*,*,*,*,31R009
Millennium High School,High school,2.0,*,*,*,*,*,*,*,*,02M418
P.S. 209,Early Childhood,10.0,*,*,*,*,*,*,*,*,10X209
P.S. X176,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75X176
P.S. X811,Secondary School,75.0,*,*,*,*,*,*,*,*,75X811
The Maurice Sendak Community School,Elementary,15.0,*,*,*,*,*,*,*,*,15K118
High School for Energy and Technology,High school,10.0,*,*,*,*,*,*,*,*,10X565
P.S. K134,Elementary,22.0,*,*,*,*,*,*,*,*,22K134
"I.S. X318 Math, Science & Technology Through Arts",Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,*,12X318
High School for Youth and Community Development at,High school,17.0,*,*,*,*,*,*,*,11,17K537
Restart Academy,Ungraded,79.0,*,*,*,*,*,*,*,*,79M973
P.S. 527 - East Side School for Social Action,Elementary,2.0,*,*,*,*,*,*,*,*,02M527
P.S. X088 - S. Silverstein Little Sparrow School,Elementary,9.0,*,*,*,*,*,*,*,*,09X088
P.S. 005 Dr. Ronald Mcnair,Elementary,16.0,*,*,*,*,*,*,*,*,16K005
P.S. 380 John Wayne Elementary,Elementary,14.0,*,*,*,*,*,*,*,*,14K380
P.S. 289 George V. Brower,Elementary,17.0,*,*,*,*,*,*,*,*,17K289
P.S. 048 Mapleton,Elementary,20.0,*,*,*,*,*,*,*,*,20K048
I.S. 181 Pablo Casals,Junior High-Intermediate-Middle,11.0,*,*,16,*,*,*,*,17,11X181
"School of Business, Finance and Entrepreneurship",Junior High-Intermediate-Middle,16.0,*,*,*,*,*,*,*,*,16K385
P.S. 188 Kingsbury,Elementary,26.0,*,*,*,*,*,*,*,*,26Q188
Fannie Lou Hamer Freedom High School,High school,12.0,*,*,14,15,*,*,*,30,12X682
Banana Kelly High School,High school,8.0,*,*,*,*,*,*,*,*,08X530
J.H.S. 292 Margaret S. Douglas,Junior High-Intermediate-Middle,19.0,*,*,8,*,*,*,*,10,19K292
P.S./M.S 042 R. Vernam,K-8,27.0,*,*,*,*,*,*,*,12,27Q042
Brooklyn High School for Leadership and Community,High school,13.0,*,*,*,*,*,*,*,*,13K616
Cypress Hills Collegiate Preparatory School,High school,19.0,*,*,*,*,*,*,*,6,19K659
J.H.S. 098 Herman Ridder,Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,21,12X098
P.S. 031 William T. Davis,Elementary,31.0,*,*,*,*,*,*,*,*,31R031
P.S. 138,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75M138
Academy of Medical Technology: A College Board Sch,Secondary School,27.0,*,*,8,*,*,*,*,14,27Q309
Community Voices Middle School,Junior High-Intermediate-Middle,29.0,*,*,*,*,*,*,*,6,29Q356
P.S. 321 William Penn,Elementary,15.0,*,*,*,*,*,*,*,*,15K321
Kingsbridge International High School,High school,10.0,*,*,*,*,*,*,*,*,10X268
J.H.S. 259 William Mckinley,Junior High-Intermediate-Middle,20.0,*,*,*,*,*,*,*,11,20K259
Herbert H. Lehman High School,High school,8.0,*,*,15,12,*,*,*,28,08X405
Coalition School for Social Change,High school,4.0,*,*,13,*,*,*,*,16,04M409
Central Park East High School,High school,4.0,*,*,*,*,*,*,*,*,04M555
Bronx Envision Academy,High school,12.0,*,*,8,*,*,*,*,13,12X511
P469X - The Bronx School for Continuous Learners,Elementary,75.0,*,*,*,*,*,*,*,*,75X469
P.S. 310 Marble Hill,Elementary,10.0,*,*,*,*,*,*,*,*,10X310
"P.S. 145, The Bloomingdale School",Elementary,3.0,*,*,*,*,*,*,*,*,03M145
P.S. 096,Elementary,27.0,*,*,*,*,*,*,*,*,27Q096
M.S. 180 Dr. Daniel Hale Williams,Junior High-Intermediate-Middle,11.0,*,*,11,*,*,*,*,12,11X180
Thurgood Marshall Academy for Learning and Social,Secondary School,5.0,*,*,7,*,*,*,*,11,05M670
Chelsea Career and Technical Education High School,High school,2.0,*,*,*,*,*,*,*,*,02M615
P.S./I.S. 137 Rachel Jean Mitchell,K-8,23.0,*,*,*,*,*,*,*,6,23K137
P.S. 107 John W. Kimball,Elementary,15.0,*,*,*,*,*,*,*,*,15K107
Newcomers High School,High school,30.0,*,*,*,*,*,*,*,*,30Q555
P.S. 166 Henry Gradstein,Elementary,30.0,*,*,*,*,*,*,*,*,30Q166
P.S. 223 Lyndon B. Johnson,Elementary,27.0,*,*,*,*,*,*,*,*,27Q223
Washington Heights Expeditionary Learning School,K-12 all grades,6.0,*,*,*,*,*,*,*,8,06M348
Home Schooling,Central-HQ-Citywide,3.0,*,*,*,*,*,*,*,*,03M444
John Bowne High School,High school,25.0,*,*,39,20,*,*,*,67,25Q425
Hamilton Heights School,Elementary,6.0,*,*,*,*,*,*,*,*,06M368
Liberation Diploma Plus,High school,21.0,*,*,*,*,*,*,*,*,21K728
P.S. 212 Midtown West,Elementary,2.0,*,*,*,*,*,*,*,*,02M212
P.S. 183 Dr. Richard R. Green,K-8,27.0,*,*,27,9,*,*,*,38,27Q183
J. M. Rapport School Career Development,High school,75.0,*,*,*,*,*,*,*,*,75X754
Abraham Lincoln High School,High school,21.0,*,*,26,*,*,*,*,32,21K410
P.S. 147 Isaac Remsen,Elementary,14.0,*,*,*,*,*,*,*,*,14K147
Brooklyn Bridge Academy,High school,18.0,*,*,*,*,*,*,*,*,18K578
Rockaway Park High School for Environmental Sustai,High school,27.0,*,*,11,*,*,*,*,16,27Q324
The Math & Science Exploratory School,Junior High-Intermediate-Middle,15.0,*,*,*,*,*,*,*,*,15K447
P.S. 106 Parkchester,Elementary,11.0,*,*,*,*,*,*,*,*,11X106
Bronx Center for Science and Mathematics,High school,9.0,*,*,*,*,*,*,*,*,09X260
Jamaica Evening High School M/,Ungraded,28.0,*,*,*,*,*,*,*,*,28Q903
"Business, Computer Applications & Entrepreneurship",High school,29.0,*,*,*,*,*,*,*,*,29Q496
P.S. 280,Elementary,30.0,*,*,*,*,*,*,*,*,30Q280
The Bilingual Bicultural School,Elementary,4.0,*,*,*,*,*,*,*,*,04M182
P.S. 39 Francis J. Murphy Jr.,Elementary,31.0,*,*,*,*,*,*,*,*,31R039
P.S./I.S. 187 Hudson Cliffs,K-8,6.0,*,*,*,*,*,*,*,*,06M187
P.S. 043,K-8,27.0,*,*,10,*,*,*,*,14,27Q043
I.S. 145 Joseph Pulitzer,Junior High-Intermediate-Middle,30.0,*,*,*,16,*,*,*,20,30Q145
Bronx International High School,High school,9.0,*,*,*,*,*,*,*,*,09X403
New Explorers High School,High school,7.0,*,*,*,7,*,*,*,12,07X547
P.S. 089 Bronx,K-8,11.0,*,*,*,*,*,*,*,*,11X089
"P.S. 279 Captain Manuel Rivera, Jr.",K-8,10.0,*,*,*,15,*,*,*,20,10X279
P.S./ I.S. 155 Nicholas Herkimer,K-8,23.0,*,*,*,*,*,*,*,*,23K155
P.S. 032 State Street,Elementary,25.0,*,*,*,*,*,*,*,*,25Q032
J.H.S. 190 Russell Sage,Junior High-Intermediate-Middle,28.0,*,*,*,*,*,*,*,34,28Q190
Curtis High School,High school,31.0,*,*,13,*,*,*,*,16,31R450
Robert H. Goddard High School of Communication Art,High school,27.0,*,*,*,*,*,*,*,8,27Q308
P.S. 373 - Brooklyn Transition Center,High school,75.0,*,*,*,*,*,*,*,*,75K373
P.S. 222 Katherine R. Snyder,Elementary,22.0,*,*,*,*,*,*,*,*,22K222
P.S. 046 Alley Pond,Elementary,26.0,*,*,*,*,*,*,*,*,26Q046
The Forward School,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,18,11X287
High School of World Cultures,High school,12.0,*,*,*,*,*,*,*,*,12X550
The Children's Lab School,Elementary,24.0,*,*,*,*,*,*,*,*,24Q343
Brooklyn International High School,High school,13.0,*,*,*,*,*,*,*,*,13K439
P.S. Q224,K-8,75.0,*,*,*,*,*,*,*,*,75Q224
Village Academy,Junior High-Intermediate-Middle,27.0,*,*,*,*,*,*,*,6,27Q319
P.S. 076 The Bennington School,Elementary,11.0,*,*,8,*,*,*,*,12,11X076
Staten Island Technical High School,High school,31.0,*,*,*,*,*,*,*,*,31R605
