Borough,Admin District,Geographical District,Location Code,DBN,School Level ,Student Enrollment,Full Time Licensed PE Teachers,F Status PE Teachers*,Itinerant PE Teachers*,Sum of F Status and Itinerant*,Total Part Time and Full Time PE Teachers*,Shared PE teachers with another school*,Ratio of Full Time Licensed PE Teachers to Students*
Manhattan,1,1,M015,01M015,Elementary                         ,146,1,0,0,0,1,0,1:146
Manhattan,1,1,M019,01M019,Elementary                         ,237,1,0,0,0,1,0,1:237
Manhattan,1,1,M020,01M020,Elementary                         ,459,1,0,0,0,1,0,1:459
Manhattan,1,1,M034,01M034,K-8                                ,314,1,0,0,0,1,0,1:314
Manhattan,1,1,M063,01M063,Elementary                         ,171,0,0,0,0,0,0,0
Manhattan,1,1,M064,01M064,Elementary                         ,218,1,0,0,0,1,0,1:218
Manhattan,1,1,M110,01M110,Elementary                         ,342,1,0,0,0,1,0,1:342
Manhattan,1,1,M134,01M134,Elementary                         ,302,1,0,0,0,1,0,1:302
Manhattan,1,1,M140,01M140,K-8                                ,342,1,0,0,0,1,0,1:342
Manhattan,1,1,M142,01M142,Elementary                         ,308,1,0,0,0,1,0,1:308
Manhattan,1,1,M184,01M184,K-8                                ,621,2,0,0,0,2,0,1:311
Manhattan,1,1,M188,01M188,K-8                                ,374,1,0,0,0,1,0,1:374
Manhattan,1,1,M292,01M292,High School                        ,132,2,0,0,0,2,0,1:66
Manhattan,1,1,M301,01M301,Junior High-Intermediate-Middle    ,119,1,0,0,0,1,0,1:119
Manhattan,1,1,M315,01M315,Elementary                         ,274,0,0,0,0,0,0,0
Manhattan,1,1,M332,01M332,Junior High-Intermediate-Middle    ,224,1,0,0,0,1,0,1:224
Manhattan,1,1,M361,01M361,Elementary                         ,249,0,0,0,0,0,0,0
Manhattan,1,1,M363,01M363,Elementary                         ,280,1,0,0,0,1,0,1:280
Manhattan,1,1,M364,01M364,Elementary                         ,287,0,0,0,0,0,0,0
Manhattan,1,1,M378,01M378,Junior High-Intermediate-Middle    ,275,2,0,0,0,2,0,1:138
Manhattan,1,1,M448,01M448,High School                        ,378,1,0,0,0,1,0,1:378
Manhattan,1,1,M450,01M450,Secondary School                   ,677,0,0,0,0,0,0,0
Manhattan,1,1,M458,01M458,High School                        ,104,1,0,0,0,1,0,1:104
Manhattan,1,1,M509,01M509,High School                        ,178,1,0,0,0,1,0,1:178
Manhattan,1,1,M515,01M515,High School                        ,419,1,0,0,0,1,0,1:419
Manhattan,1,1,M539,01M539,K-12 All Grades                    ,1734,6,0,0,0,6,0,1:289
Manhattan,1,1,M650,01M650,High School                        ,157,1,0,0,0,1,0,1:157
Manhattan,1,1,M696,01M696,High School                        ,544,3,0,0,0,3,0,1:181
Manhattan,1,1,M839,01M839,Junior High-Intermediate-Middle    ,367,1,0,0,0,1,0,1:367
Manhattan,2,2,M001,02M001,Elementary                         ,301,1,0,0,0,1,0,1:301
Manhattan,2,2,M002,02M002,Elementary                         ,547,0,0,0,0,0,0,0
Manhattan,2,2,M003,02M003,Elementary                         ,712,0,0,0,0,0,0,0
Manhattan,2,2,M006,02M006,Elementary                         ,634,1,0,0,0,1,0,1:634
Manhattan,2,2,M011,02M011,Elementary                         ,884,2,0,0,0,2,0,1:442
Manhattan,2,2,M033,02M033,Elementary                         ,571,1,0,0,0,1,0,1:571
Manhattan,2,2,M040,02M040,Elementary                         ,609,0,0,0,0,0,0,0
Manhattan,2,2,M041,02M041,Elementary                         ,650,0,0,0,0,0,0,0
Manhattan,2,2,M042,02M042,Elementary                         ,595,0,0,0,0,0,0,0
Manhattan,2,2,M047,02M047,High School                        ,173,2,0,0,0,2,0,1:87
Manhattan,2,2,M051,02M051,Elementary                         ,313,0,1,0,1,1,0,0
Manhattan,2,2,M059,02M059,Elementary                         ,554,0,0,0,0,0,0,0
Manhattan,2,2,M077,02M077,Elementary                         ,358,0,0,0,0,0,0,0
Manhattan,2,2,M089,02M089,Elementary                         ,366,0,0,1,1,1,1,0
Manhattan,2,2,M104,02M104,Junior High-Intermediate-Middle    ,1127,3,1,0,1,4,0,1:376
Manhattan,2,2,M111,02M111,Elementary                         ,269,1,0,0,0,1,0,1:269
Manhattan,2,2,M114,02M114,Junior High-Intermediate-Middle    ,427,1,0,0,0,1,0,1:427
Manhattan,2,2,M116,02M116,Elementary                         ,509,1,0,0,0,1,0,1:509
Manhattan,2,2,M124,02M124,Elementary                         ,703,0,0,0,0,0,0,0
Manhattan,2,2,M126,02M126,K-8                                ,729,1,0,0,0,1,0,1:729
Manhattan,2,2,M130,02M130,Elementary                         ,916,0,0,0,0,0,0,0
Manhattan,2,2,M131,02M131,Junior High-Intermediate-Middle    ,439,1,0,0,0,1,0,1:439
Manhattan,2,2,M135,02M135,High School                        ,292,2,1,0,1,3,1,1:146
Manhattan,2,2,M139,02M139,High School                        ,363,2,0,0,0,2,1,1:182
Manhattan,2,2,M150,02M150,Elementary                         ,157,0,0,0,0,0,0,0
Manhattan,2,2,M151,02M151,Elementary                         ,498,1,0,0,0,1,0,1:498
Manhattan,2,2,M158,02M158,Elementary                         ,673,1,0,0,0,1,0,1:673
Manhattan,2,2,M167,02M167,Junior High-Intermediate-Middle    ,1321,2,0,0,0,2,0,1:661
Manhattan,2,2,M177,02M177,Junior High-Intermediate-Middle    ,204,1,0,0,0,1,0,1:204
Manhattan,2,2,M183,02M183,Elementary                         ,521,0,0,0,0,0,0,0
Manhattan,2,2,M198,02M198,Elementary                         ,395,1,0,0,0,1,0,1:395
Manhattan,2,2,M212,02M212,Elementary                         ,336,1,0,0,0,1,0,1:336
Manhattan,2,2,M217,02M217,K-8                                ,527,1,0,0,0,1,0,1:527
Manhattan,2,2,M225,02M225,K-8                                ,268,0,0,0,0,0,0,0
Manhattan,2,2,M234,02M234,Elementary                         ,665,0,0,0,0,0,0,0
Manhattan,2,2,M255,02M255,Junior High-Intermediate-Middle    ,387,1,0,0,0,1,0,1:387
Manhattan,2,2,M260,02M260,Secondary School                   ,483,2,0,0,0,2,0,1:242
Manhattan,2,2,M267,02M267,Elementary                         ,372,1,0,0,0,1,0,1:372
Manhattan,2,2,M276,02M276,K-8                                ,822,2,0,0,0,2,0,1:411
Manhattan,2,2,M280,02M280,High School                        ,260,1,1,0,1,2,1,1:260
Manhattan,2,2,M281,02M281,Elementary                         ,139,0,1,0,1,1,0,0
Manhattan,2,2,M282,02M282,High School                        ,274,1,0,0,0,1,0,1:274
