school/qr.School Year,school/qr.Overall Rating,DBN
SY07-08,WD,10X225
SY07-08,P,13K020
SY09-10,P,13K093
SY07-08,P,13K313
SY 11-12,P,24Q013
SY06-07,P,10X696
SY10-11,P,05M670
SY06-07,P,18K114
SY06-07,WD,27Q137
SY10-11,D,13K313
SY07-08,WD,19K213
SY07-08,WD,19K404
SY07-08,WD,22K203
SY06-07,WD,21K253
SY 11-12,P,18K673
SY09-10,P,26Q415
SY06-07,P,05M195
SY09-10,P,11X514
SY07-08,WD,03M334
SY06-07,P,31R018
SY07-08,P,08X138
SY09-10,P,11X287
SY06-07,P,14K016
SY06-07,WD,28Q220
SY09-10,WD,01M378
SY10-11,D,12X691
SY05-06,U,12X286
SY 11-12,P,02M183
SY07-08,WD,21K100
SY 11-12,P,32K564
SY10-11,P,01M361
SY08-09,P,01M064
SY10-11,WD,17K006
SY 11-12,P,14K318
SY 11-12,D,22K278
SY07-08,WD,11X178
SY06-07,WD,06M153
SY09-10,UPF,08X295
SY06-07,WD,03M191
SY07-08,WD,20K164
SY08-09,U,18K567
SY06-07,WD,02M158
SY07-08,WD,14K196
SY07-08,P,12X006
SY06-07,P,75X010
SY 11-12,P,09X170
SY07-08,P,14K322
SY09-10,WD,12X388
SY07-08,WD,16K393
SY10-11,P,04M007
SY08-09,P,10X141
SY 11-12,D,03M404
SY06-07,WD,11X514
SY08-09,P,11X078
SY08-09,P,16K594
SY07-08,P,03M242
SY06-07,U,04M117
SY07-08,P,22K405
SY07-08,WD,10X024
SY06-07,U,07X065
SY07-08,P,10X246
SY 11-12,P,27Q650
SY08-09,P,09X132
SY08-09,UPF,19K504
SY06-07,P,15K497
SY08-09,P,27Q197
SY09-10,P,32K383
SY07-08,WD,25Q185
SY06-07,WD,25Q025
SY07-08,P,04M825
SY07-08,P,25Q024
SY07-08,P,10X206
SY06-07,WD,29Q118
SY07-08,P,14K071
SY06-07,WD,12X067
SY05-06,WD,26Q566
SY07-08,WD,13K133
SY10-11,WD,02M234
SY07-08,P,12X690
SY07-08,WD,22K326
SY 11-12,D,20K609
SY09-10,P,02M425
SY07-08,WD,02M600
SY07-08,WD,19K364
SY06-07,P,13K571
SY09-10,P,04M045
SY 11-12,D,28Q896
SY07-08,WD,08X519
SY09-10,P,17K587
SY07-08,WD,15K107
SY10-11,P,02M460
SY 11-12,D,03M149
SY07-08,P,11X415
SY06-07,WD,04M182
SY07-08,WD,24Q610
SY07-08,P,14K059
SY09-10,P,01M134
SY06-07,WD,31R038
SY07-08,WD,17K625
SY09-10,WD,16K021
SY06-07,P,29Q116
SY 11-12,D,06M048
SY06-07,P,75Q752
SY07-08,WD,06M278
SY06-07,U,16K304
SY07-08,P,09X117
SY09-10,P,13K509
