fk_table,fk_column,pk_table,pk_column
table_0_0.csv,Key_0_0,table_1_1.csv,Key_0_0
table_0_0.csv,Key_0_0,table_1_2.csv,Key_0_0
table_0_0.csv,Key_0_0,table_1_3.csv,Key_0_0
table_1_1.csv,Key_1_1,table_2_4.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_5.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_6.csv,Key_1_1
table_1_2.csv,Key_1_2,table_2_7.csv,Key_1_2
table_1_2.csv,Key_1_2,table_2_8.csv,Key_1_2
table_1_2.csv,Key_1_2,table_2_9.csv,Key_1_2
table_1_3.csv,Key_1_3,table_2_10.csv,Key_1_3
table_1_3.csv,Key_1_3,table_2_11.csv,Key_1_3
table_1_3.csv,Key_1_3,table_2_12.csv,Key_1_3
table_2_4.csv,Key_2_4,table_3_13.csv,Key_2_4
table_2_4.csv,Key_2_4,table_3_14.csv,Key_2_4
table_2_4.csv,Key_2_4,table_3_15.csv,Key_2_4
table_1_1.csv,Key_0_0,table_1_2.csv,Key_0_0
table_1_1.csv,Key_0_0,table_1_3.csv,Key_0_0
table_1_2.csv,Key_0_0,table_1_3.csv,Key_0_0
table_2_4.csv,Key_1_1,table_2_5.csv,Key_1_1
table_2_4.csv,Key_1_1,table_2_6.csv,Key_1_1
table_2_5.csv,Key_1_1,table_2_6.csv,Key_1_1
table_2_7.csv,Key_1_2,table_2_8.csv,Key_1_2
table_2_7.csv,Key_1_2,table_2_9.csv,Key_1_2
table_2_8.csv,Key_1_2,table_2_9.csv,Key_1_2
table_2_10.csv,Key_1_3,table_2_11.csv,Key_1_3
table_2_10.csv,Key_1_3,table_2_12.csv,Key_1_3
table_2_11.csv,Key_1_3,table_2_12.csv,Key_1_3
table_3_13.csv,Key_2_4,table_3_14.csv,Key_2_4
table_3_13.csv,Key_2_4,table_3_15.csv,Key_2_4
table_3_14.csv,Key_2_4,table_3_15.csv,Key_2_4
table_3_14.csv,Key_2_4,table_2_5.csv,Key_2_5
table_2_5.csv,Key_2_5,table_3_14.csv,Key_2_4
table_3_14.csv,Key_2_4,table_2_7.csv,Key_2_7
table_3_14.csv,Key_2_4,table_2_11.csv,Key_2_11
table_2_7.csv,Key_2_7,table_3_14.csv,Key_2_4
table_3_14.csv,Key_2_4,table_2_12.csv,Key_2_12
table_3_14.csv,Key_2_4,table_3_13.csv,Key_2_4
table_3_15.csv,Key_2_4,table_3_14.csv,Key_2_4
table_2_11.csv,Key_2_11,table_3_14.csv,Key_2_4
table_3_14.csv,Key_2_4,table_2_4.csv,Key_2_4
table_2_12.csv,Key_2_12,table_3_14.csv,Key_2_4
table_2_10.csv,Key_1_3,table_1_1.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_10.csv,Key_1_3
table_3_14.csv,V9,table_2_4.csv,V19
table_3_14.csv,Key_2_4,table_2_6.csv,Key_2_6
table_3_14.csv,Key_2_4,table_2_9.csv,Key_2_9
table_2_6.csv,Key_2_6,table_3_14.csv,Key_2_4
table_2_4.csv,V19,table_3_14.csv,V9
table_3_14.csv,Key_2_4,table_2_8.csv,Key_2_8
table_2_10.csv,Key_2_10,table_1_1.csv,Key_0_0
table_2_9.csv,Key_2_9,table_3_14.csv,Key_2_4
table_2_8.csv,Key_2_8,table_3_14.csv,Key_2_4
table_1_1.csv,Key_0_0,table_2_10.csv,Key_2_10
table_3_14.csv,V29,table_2_9.csv,V2
table_2_9.csv,V2,table_3_14.csv,V29
table_2_10.csv,Key_1_3,table_2_5.csv,Key_1_1
table_2_5.csv,Key_1_1,table_2_10.csv,Key_1_3
table_2_10.csv,Key_2_10,table_2_5.csv,Key_2_5
table_2_5.csv,Key_2_5,table_2_10.csv,Key_2_10
table_2_10.csv,V23,table_2_5.csv,V3
table_2_5.csv,V3,table_2_10.csv,V23
table_2_10.csv,V24,table_2_5.csv,V4
table_2_5.csv,V4,table_2_10.csv,V24
table_2_10.csv,Key_1_3,table_2_6.csv,Key_1_1
table_2_6.csv,Key_1_1,table_2_10.csv,Key_1_3
table_2_10.csv,Key_2_10,table_2_6.csv,Key_2_6
table_2_10.csv,Key_1_3,table_2_8.csv,Key_1_2
table_2_6.csv,Key_2_6,table_2_10.csv,Key_2_10
table_2_8.csv,Key_1_2,table_2_10.csv,Key_1_3
table_2_10.csv,Key_1_3,table_1_3.csv,Key_1_3
table_2_11.csv,Key_1_3,table_2_10.csv,Key_1_3
table_2_10.csv,Key_2_10,table_2_8.csv,Key_2_8
table_2_10.csv,Key_2_10,table_3_13.csv,Key_2_4
table_2_12.csv,Key_1_3,table_2_10.csv,Key_1_3
table_3_13.csv,Key_2_4,table_2_10.csv,Key_2_10
table_2_8.csv,Key_2_8,table_2_10.csv,Key_2_10
table_2_10.csv,Key_2_10,table_2_12.csv,Key_2_12
table_2_10.csv,Key_2_10,table_2_11.csv,Key_2_11
table_2_10.csv,Key_2_10,table_3_15.csv,Key_2_4
table_2_11.csv,Key_2_11,table_2_10.csv,Key_2_10
table_2_10.csv,Key_2_10,table_1_3.csv,Key_0_0
table_2_10.csv,Key_1_3,table_1_2.csv,Key_1_2
table_3_15.csv,Key_2_4,table_2_10.csv,Key_2_10
table_1_3.csv,Key_0_0,table_2_10.csv,Key_2_10
table_2_12.csv,Key_2_12,table_2_10.csv,Key_2_10
table_1_2.csv,Key_1_2,table_2_10.csv,Key_1_3
table_2_10.csv,Key_1_3,table_2_4.csv,Key_1_1
table_2_10.csv,Key_2_10,table_1_2.csv,Key_0_0
table_2_4.csv,Key_1_1,table_2_10.csv,Key_1_3
table_1_2.csv,Key_0_0,table_2_10.csv,Key_2_10
table_1_1.csv,Key_1_1,table_2_8.csv,Key_1_2
table_2_8.csv,Key_1_2,table_1_1.csv,Key_1_1
