steel/table_1_2.V26,steel/table_1_2.V25,steel/table_1_2.Key_1_2,Key_0_0
0.0362,-0.2,1129,1505
0.0294,-0.2857,682,717
-0.1879,-0.6514,521,743
-0.0416,-0.3214,1477,1395
-0.2096,0.6471,1347,636
-0.1895,-0.5987,313,898
-0.097,-0.2135,524,1923
-0.1925,-0.5924,1699,294
-0.0071,-0.4,982,758
-0.1923,-0.6082,928,872
-0.2813,0.25,1206,1300
-0.2325,0.9,1561,1695
-0.1228,0.6667,1200,1487
-0.1773,-0.6331,1885,1008
-0.1603,0.5641,964,1616
-0.1512,-0.9592,1842,1581
-0.1014,0.7333,1301,1190
-0.0995,-0.2778,760,265
-0.0976,0.1875,938,1416
-0.0547,0.1818,218,1030
-0.0377,-0.5652,93,1893
-0.1847,-0.6497,704,1262
-0.1849,-0.2308,1497,699
-0.0496,0.1177,249,1588
-0.1458,0.3125,776,1657
-0.097,0.5,1233,187
-0.0156,0.48,305,1251
-0.1317,0.4615,298,1811
-0.0195,-0.2083,1931,386
-0.1196,0.1818,120,764
-0.168,0.9241,1445,918
-0.0402,-0.9315,1226,751
0.0317,-0.6727,770,803
-0.0843,0.2064,496,347
-0.0397,0.0,306,128
-0.1979,0.3333,214,183
-0.0816,0.2,1126,585
-0.2395,0.6517,477,1238
-0.1247,-0.0909,1623,1348
-0.0767,-0.0105,263,557
-0.0626,-0.991,1298,1393
-0.1477,0.5714,649,525
-0.3586,0.5263,274,545
-0.5216,0.2353,1517,741
0.3315,0.0,1064,882
-0.393,0.3846,1446,1817
-0.0217,-0.1765,1416,292
-0.1059,0.1294,668,1064
-0.1704,-0.6131,1023,581
-0.148,-0.6842,679,791
0.0257,-0.6563,11,1532
-0.0577,-0.7108,185,868
-0.165,0.0454,857,1845
-0.2421,0.55,991,997
-0.122,0.5,986,280
-0.3068,0.6531,794,953
-0.1309,0.142,157,1859
-0.1019,0.7419,963,1789
-0.1109,-0.1429,729,1028
-0.2715,0.52,1817,642
-0.4918,0.45,393,568
-0.244,0.3333,1262,171
-0.1144,0.0946,1707,361
-0.19,0.1,616,1361
-0.2743,0.3077,793,1511
-0.0891,0.7037,657,897
-0.1336,0.0,1630,202
-0.1578,0.0625,205,1584
-0.0907,0.6667,131,204
0.0261,-0.8965,1280,1266
-0.2476,0.4839,530,297
0.0325,-0.4167,191,1917
-0.0358,0.0556,1189,1272
-0.0965,0.45,538,1358
-0.0838,-0.1732,1073,865
0.3498,0.1111,1624,89
-0.1078,0.25,1762,589
-0.1906,-0.618,987,483
-0.0778,-0.6,537,1089
-0.1317,0.2857,1254,9
-0.0161,0.7727,1605,1087
-0.3081,0.4412,128,1719
-0.1885,-0.6471,85,1841
-0.0666,-0.92,1748,248
-0.1986,0.7324,813,1731
-0.3298,0.9419,281,1315
0.0031,-0.4038,1928,1889
-0.1772,0.0,582,1324
-0.1323,-0.2308,1121,474
-0.1436,0.4211,714,380
-0.1903,0.0909,256,720
-0.1926,-0.6185,1450,1305
-0.2625,0.6667,866,1635
0.0007,0.0,627,1618
-0.0436,-0.5789,852,320
-0.222,0.0625,1310,1294
-0.1487,0.8864,1208,1143
-0.1883,0.6274,992,879
-0.045,-0.4828,1698,594
-0.0283,0.1667,971,1024
-0.1112,0.2727,1053,994
-0.3112,0.1,30,614
-0.2372,0.7381,1318,1815
-0.1101,0.0,1365,859
-0.2114,0.5,1092,688
-0.0035,-0.8,1636,1045
-0.0481,0.0,1209,217
-0.1282,0.2917,739,262
-0.1019,-0.0263,1610,667
0.0229,-0.0588,557,105
-0.0291,-0.1818,1117,818
-0.074,0.6458,1414,1911
-0.2097,0.3,461,1882
-0.1986,-0.2,1457,227
0.0091,-0.95,439,1525
-0.0493,-0.425,1807,1870
-0.0622,0.8087,1816,597
-0.2769,0.0,340,710
-0.1028,0.0833,160,1500
-0.0753,0.8726,37,1592
0.0243,-0.7895,197,802
-0.0959,-0.0714,474,1643
-0.4207,0.9032,258,1839
-0.1225,0.2,955,163
-0.0904,-0.8561,1621,1491
-0.1709,0.0,1736,579
-0.0087,-0.2,1000,1716
-0.1785,-0.5664,1402,1785
-0.2037,0.8,1152,1113
-0.0639,-0.2143,598,655
-0.2213,0.5238,440,360
-0.2081,0.8361,1405,99
-0.0957,0.25,199,34
-0.0416,0.5294,1616,1847
-0.1269,0.5357,223,1799
-0.0709,0.8214,1305,1329
-0.1072,0.1151,337,1429
-0.0251,-0.2903,1266,613
-0.1811,-0.3333,371,1422
-0.1144,-0.4,899,1529
-0.1435,0.3182,152,1638
-0.1135,0.6333,973,166
-0.1166,0.1053,932,1302
-0.1887,-0.6026,1606,1501
-0.1522,0.4545,648,1448
-0.16,0.6,1778,1791
-0.1147,0.625,272,462
-0.0698,0.4688,927,1447
-0.1801,-0.375,559,144
-0.2309,-0.6149,1112,316
-0.0993,0.0714,1735,1019
0.0075,0.3333,609,680
-0.1099,0.0606,1696,1576
-0.0983,0.0,24,1598
0.0176,0.3333,1222,311
-0.0056,-0.24,407,1665
-0.1181,-0.3846,1693,1226
-0.11,0.0,221,1317
-0.192,0.625,1401,1186
-0.0999,0.3333,1341,223
-0.0589,0.0088,1192,60
0.0337,-0.4,1737,1035
-0.0124,-0.3793,140,567
-0.1397,0.6557,652,1843
-0.1525,0.65,1007,1732
-0.0874,0.4667,262,1239
-0.1171,-0.9086,613,66
-0.1421,-0.0938,242,995
-0.1567,0.35,690,1777
-0.1046,0.8764,153,1599
-0.2035,0.8197,190,875
-0.0222,0.0843,56,73
-0.1807,0.1,479,1902
0.0175,-0.2,631,1309
-0.1143,-0.2963,542,58
0.0287,-0.3333,303,543
-0.1865,-0.6165,1784,228
-0.0705,-0.6486,1364,1020
0.0014,0.1579,736,290
-0.1243,0.4762,1612,993
-0.146,0.3548,1904,1046
-0.0473,-0.3333,1674,1125
-0.02,-0.3158,980,1286
0.0315,-0.7826,1656,1609
-0.1969,-0.6286,420,1380
0.0016,-0.5714,1392,1591
-0.4856,0.6333,1361,482
-0.1489,0.2609,449,1091
0.0313,0.1429,572,961
-0.0981,0.5789,1814,549
-0.0366,0.1818,1456,32
-0.1148,-0.0769,1051,1535
-0.0104,-0.8,1936,828
0.031,-0.4,585,295
-0.1535,-0.6357,1398,562
-0.1415,0.7954,51,946
-0.2,0.6486,1705,862
0.1044,-0.5714,1604,1353
