Key_1_2,V27,V32,Key_2_7
831,0.5822,0,1055
215,0.2984,0,532
1200,0.215,0,73
1372,0.5212,0,622
1632,1.0,0,317
879,0.9874,0,1321
181,1.0,0,468
574,0.3359,0,1851
334,0.5593,0,714
1472,1.0,0,1798
1761,0.8612,0,629
316,0.9048,0,1212
431,0.9093,0,1786
836,0.8299,0,1436
901,0.9888,0,888
1208,1.0,0,1755
1399,1.0,0,1587
212,0.9918,0,115
564,0.2998,0,794
162,0.5362,0,1589
1363,0.6173,0,1153
456,0.4317,0,589
647,0.2942,0,1817
849,0.6422,0,1084
733,0.4913,0,1415
1780,0.3464,0,836
516,0.8355,0,320
478,0.215,0,1773
1389,1.0,0,1301
898,0.7822,0,724
1150,0.3834,0,1152
1181,0.9691,0,978
1380,0.2901,0,691
1799,0.463,0,1748
80,0.9994,0,564
560,0.8061,0,874
1891,0.7512,0,924
634,0.9381,0,866
1706,0.7659,0,1554
1756,0.4564,0,401
1415,0.8299,0,1927
167,0.7037,0,945
1501,0.5162,0,1781
1152,0.7889,0,147
926,0.2901,0,1467
1278,0.7161,0,269
494,0.1965,0,1453
359,0.2083,0,1026
188,0.2583,0,1815
705,0.1822,0,738
822,0.1965,0,798
202,0.944,0,1069
1808,0.4025,0,86
1444,0.3977,0,733
473,0.5063,0,1024
1827,0.4025,0,504
1758,0.1832,0,498
884,0.5951,0,659
1104,0.2018,0,1916
954,0.1954,0,188
1468,0.1753,0,981
1870,0.1822,0,1677
691,0.2051,0,1265
396,0.1892,0,800
1376,0.2051,0,681
893,0.8299,0,1565
100,0.2792,0,901
452,0.1832,0,1636
172,0.2195,0,155
1352,0.1773,0,646
997,0.257,0,1418
923,0.417,0,1783
1778,0.2792,0,1530
1681,0.215,0,344
533,0.2018,0,1630
1107,0.1499,0,1130
96,0.4613,0,422
570,0.3464,0,284
720,1.0,0,55
1096,1.0,0,1528
1568,1.0,0,267
1773,0.2482,0,78
409,0.1622,0,802
666,1.0,0,441
1175,0.3241,0,0
178,0.2583,0,749
76,0.2532,0,1140
828,0.633,0,999
1320,0.6514,0,1885
268,0.8682,0,796
974,0.9236,0,764
786,0.997,0,1816
698,0.9779,0,1298
1837,0.4729,0,1501
541,0.1687,0,1048
996,0.6221,0,636
544,0.3479,0,1527
1613,0.4979,0,83
1068,0.2686,0,985
179,0.2384,0,569
245,0.1892,0,1137
440,0.3509,0,1921
246,0.6453,0,1419
881,0.998,0,264
1174,0.9491,0,558
328,0.266,0,1917
1072,1.0,0,1316
223,0.6015,0,534
785,0.4763,0,1466
488,0.2699,0,1836
732,0.5822,0,455
1509,0.7347,0,771
1781,0.417,0,1386
1488,0.4763,0,425
505,0.7933,0,1758
222,0.7776,0,108
565,0.3509,0,1327
1582,0.8299,0,1853
1035,0.3068,0,209
1594,0.9985,0,367
1132,0.9992,0,608
1588,0.8705,0,1266
1586,0.5999,0,16
1711,0.5951,0,1750
1521,0.3601,0,1145
1504,0.9708,0,283
74,0.9993,0,1583
1203,0.633,0,1020
966,0.9997,0,431
301,0.4613,0,1809
851,0.6514,0,122
751,0.9998,0,984
1291,0.9349,0,202
1930,0.7659,0,1926
515,0.3125,0,1848
784,1.0,0,312
1768,0.1954,0,338
543,0.3882,0,1403
1217,0.4187,0,729
1906,0.2288,0,1407
1299,1.0,0,1857
1561,0.4138,0,1579
325,0.5642,0,1871
150,0.2583,0,693
947,0.2532,0,831
1836,1.0,0,567
368,0.9294,0,1022
1397,0.6995,0,682
190,0.9212,0,1149
1286,0.6142,0,1644
942,0.3725,0,692
90,0.3212,0,783
711,0.3882,0,756
1086,0.5626,0,1571
853,0.7833,0,1103
279,0.3241,0,487
112,0.3329,0,133
1123,0.3197,0,1411
283,0.4399,0,285
1182,0.1773,0,1671
904,0.6574,0,1240
1383,0.9216,0,336
499,0.2432,0,873
1269,0.2901,0,699
1454,1.0,0,885
1506,1.0,0,1938
1498,0.9998,0,1552
855,0.94,0,406
427,0.9747,0,250
1066,0.6868,0,559
393,0.3663,0,1364
123,0.7933,0,1182
1272,0.2105,0,1197
873,0.215,0,607
1744,0.2359,0,598
128,0.9082,0,1924
187,0.2583,0,370
1576,0.2532,0,1827
601,0.3977,0,476
1934,0.5029,0,653
1922,0.2583,0,13
842,0.2051,0,1328
729,0.2901,0,1408
875,1.0,0,894
249,1.0,0,1256
1093,0.9474,0,1123
448,0.2018,0,301
1516,0.2739,0,110
777,0.1892,0,1070
1549,0.9639,0,1464
22,0.3494,0,318
103,0.23,0,106
1347,0.2083,0,1231
1494,0.5162,0,1313
1170,0.3977,0,1741
1462,0.9997,0,222
81,0.4465,0,1459
569,0.9818,0,196
1310,0.3977,0,1629
1117,0.2051,0,1686
1375,0.2532,0,1833
20,0.9999,0,180
1882,1.0,0,1713
1367,1.0,0,309
620,0.9996,0,1143
1512,1.0,0,1613
1901,1.0,0,595
788,1.0,0,908
1381,0.9917,0,1733
1555,1.0,0,33
1647,1.0,0,1883
1929,1.0,0,1940
1225,0.9963,0,1208
1354,1.0,0,71
1587,1.0,0,722
1695,0.9984,0,903
645,0.9999,0,917
643,1.0,0,797
1662,0.9974,0,499
1207,0.9814,0,1039
1070,0.9999,0,1828
1764,0.2288,0,1111
1089,1.0,0,1225
1729,0.8756,0,1236
1439,0.3945,0,747
752,0.4729,0,1189
1007,0.2532,0,1079
91,1.0,0,104
1037,0.4713,0,1770
1536,0.7933,0,1830
1114,0.2532,0,1398
1569,0.1965,0,1382
1404,0.2061,0,1397
1880,0.7598,0,696
1649,0.1965,0,1293
234,0.385,0,1658
1601,0.1892,0,843
580,0.204,0,666
825,0.9997,0,832
1473,0.9685,0,1912
1151,0.2051,0,1193
1350,0.4399,0,599
913,0.3479,0,1492
1003,0.2018,0,259
1233,0.6453,0,1198
532,0.2384,0,1599
163,0.9747,0,1825
1475,0.8299,0,875
493,0.23,0,818
98,0.2712,0,255
1623,0.2173,0,74
1091,0.2712,0,616
1199,0.9998,0,127
183,0.8123,0,323
1395,0.2432,0,1481
918,0.4729,0,1496
1894,0.5903,0,1558
87,0.5096,0,641
593,0.4465,0,1049
380,0.9998,0,80
1614,0.6868,0,1922
220,1.0,0,150
1287,0.2901,0,1564
421,0.6268,0,597
854,0.7161,0,1250
992,0.9884,0,793
48,0.6648,0,539
699,0.2901,0,778
387,0.2583,0,423
422,1.0,0,208
122,0.2288,0,195
1497,0.2408,0,1591
951,0.4729,0,933
306,0.9979,0,445
598,0.2712,0,174
186,0.6453,0,1304
1369,0.9848,0,1154
512,0.43,0,590
289,0.2432,0,1247
442,0.2408,0,1863
1603,0.286,0,238
528,0.1954,0,864
453,0.2928,0,1928
1434,0.2061,0,1337
1133,0.2116,0,624
511,0.2173,0,1616
980,0.4089,0,333
329,0.3068,0,1092
68,0.929,0,428
1739,0.8563,0,865
239,0.5903,0,1847
703,0.2173,0,1500
1262,0.3601,0,1508
755,0.2051,0,460
15,0.6079,0,129
513,0.2928,0,1314
394,0.6236,0,507
596,0.2195,0,1673
1290,0.5362,0,159
681,0.2051,0,1680
793,0.2253,0,1606
710,0.4138,0,207
1523,0.2914,0,1648
50,0.3241,0,881
906,0.3419,0,819
107,1.0,0,630
1642,0.3359,0,886
1646,1.0,0,839
716,0.2288,0,1703
652,0.9985,0,421
1517,0.3678,0,1354
1401,0.3601,0,958
769,0.463,0,732
1789,0.1954,0,125
476,0.5096,0,1785
1675,0.2583,0,502
14,0.999,0,525
1314,0.1954,0,577
735,0.4514,0,1553
349,0.2792,0,1442
1615,0.3419,0,1915
1903,0.8894,0,665
1430,0.3241,0,1423
1201,1.0,0,644
656,0.5362,0,345
1285,0.2288,0,1426
388,0.5329,0,271
1188,0.1965,0,787
518,0.2083,0,1385
820,0.1892,0,621
912,0.8153,0,968
193,0.4963,0,112
584,0.9955,0,1879
171,0.3787,0,863
1928,0.9998,0,337
469,0.556,0,1772
1916,0.5951,0,368
1025,0.9985,0,1139
1529,0.4729,0,1469
1301,0.3977,0,1138
288,1.0,0,1890
765,0.4399,0,1837
1694,1.0,0,1611
1542,0.3359,0,1041
509,0.4089,0,226
1161,0.374,0,1333
217,1.0,0,610
684,0.8901,0,102
1722,0.2173,0,848
659,0.1934,0,12
1654,0.215,0,501
1333,0.1934,0,1472
23,0.9863,0,161
1855,0.1954,0,153
1734,0.3285,0,63
1687,1.0,0,1795
484,0.2469,0,390
639,0.3329,0,508
1313,0.2914,0,1622
677,0.2018,0,1264
1639,0.1852,0,190
1194,0.1934,0,1696
917,0.204,0,1688
228,0.1822,0,1114
1078,0.1773,0,850
1393,0.9093,0,1771
1204,0.3068,0,1752
1806,0.257,0,1510
169,0.2253,0,1511
845,0.2061,0,858
231,0.2173,0,52
1624,0.1773,0,895
58,0.2051,0,838
1159,0.2173,0,1628
361,0.215,0,1870
1716,0.1753,0,852
1173,0.1715,0,1635
1530,0.1773,0,40
260,0.2051,0,234
1449,0.2173,0,1018
1809,0.2432,0,717
1064,0.1696,0,77
323,1.0,0,1430
89,1.0,0,1932
1087,0.417,0,286
1889,0.4779,0,1188
1316,0.4219,0,1369
989,0.5212,0,1010
1067,0.4089,0,229
1378,0.9831,0,60
808,0.9685,0,1038
502,1.0,0,1462
253,1.0,0,675
863,1.0,0,1370
1183,1.0,0,1286
590,1.0,0,940
204,1.0,0,154
960,1.0,0,1292
1095,1.0,0,99
182,1.0,0,407
686,1.0,0,447
1421,1.0,0,1723
177,1.0,0,827
914,1.0,0,1824
1486,1.0,0,366
1192,1.0,0,1393
266,1.0,0,26
953,1.0,0,658
185,1.0,0,1330
257,1.0,0,399
1812,1.0,0,130
1788,1.0,0,1205
1033,1.0,0,503
263,1.0,0,47
1180,1.0,0,310
496,1.0,0,1474
1508,1.0,0,1790
60,1.0,0,413
309,1.0,0,1445
170,1.0,0,224
804,0.3494,0,90
1419,0.9437,0,760
1073,1.0,0,824
1205,1.0,0,1662
384,1.0,0,580
1416,0.3945,0,703
965,1.0,0,1805
1843,1.0,0,418
159,1.0,0,1238
1923,1.0,0,1907
241,1.0,0,111
833,1.0,0,1440
1731,1.0,0,1667
1645,1.0,0,1019
1237,1.0,0,1207
1505,1.0,0,1229
576,0.9999,0,432
896,1.0,0,1181
1308,1.0,0,417
1103,1.0,0,918
1436,1.0,0,1821
444,1.0,0,1697
1708,1.0,0,712
887,1.0,0,752
556,1.0,0,1308
1765,1.0,0,1076
1725,1.0,0,1432
1191,1.0,0,1876
1029,0.9848,0,420
1551,0.9966,0,1136
524,1.0,0,770
1577,1.0,0,253
810,0.9995,0,416
1631,1.0,0,856
259,1.0,0,685
577,1.0,0,397
815,1.0,0,178
1119,1.0,0,319
1153,1.0,0,1524
655,1.0,0,1765
1050,1.0,0,730
934,1.0,0,676
803,1.0,0,296
1685,1.0,0,1296
935,1.0,0,49
1610,1.0,0,1269
830,1.0,0,156
5,1.0,0,450
101,1.0,0,907
446,1.0,0,219
626,1.0,0,235
44,1.0,0,1888
43,1.0,0,1324
441,1.0,0,1260
284,1.0,0,983
39,1.0,0,1241
1327,1.0,0,1259
155,1.0,0,1555
160,1.0,0,369
1831,1.0,0,825
459,1.0,0,812
1735,1.0,0,708
211,1.0,0,172
495,1.0,0,471
7,1.0,0,880
668,1.0,0,1471
938,1.0,0,814
458,1.0,0,391
1034,1.0,0,1675
1261,1.0,0,294
383,1.0,0,1180
1753,1.0,0,41
683,1.0,0,1007
929,1.0,0,1734
273,1.0,0,134
175,1.0,0,331
1001,1.0,0,1315
337,1.0,0,593
1871,1.0,0,1132
149,1.0,0,349
581,1.0,0,745
57,1.0,0,1011
1377,1.0,0,94
952,1.0,0,1769
1751,1.0,0,1052
933,1.0,0,816
1696,1.0,0,618
1277,1.0,0,661
621,1.0,0,251
837,1.0,0,1013
1212,1.0,0,101
696,1.0,0,1177
1560,1.0,0,1513
1892,1.0,0,1221
1854,1.0,0,1487
1537,1.0,0,158
708,1.0,0,376
1939,1.0,0,46
455,1.0,0,1017
161,1.0,0,1258
1779,1.0,0,586
1715,1.0,0,8
1447,1.0,0,536
402,1.0,0,1789
1345,1.0,0,67
1242,1.0,0,386
1707,1.0,0,288
157,1.0,0,1228
310,1.0,0,613
1304,1.0,0,321
1609,1.0,0,954
1179,1.0,0,728
1402,1.0,0,205
1346,0.9491,0,57
1477,0.8223,0,1322
1412,1.0,0,638
633,1.0,0,823
1861,1.0,0,1831
443,1.0,0,1610
1366,1.0,0,840
400,1.0,0,95
146,0.3012,0,96
344,1.0,0,801
1527,1.0,0,24
1248,1.0,0,1764
1774,1.0,0,929
490,1.0,0,1085
416,1.0,0,19
603,1.0,0,1490
1769,1.0,0,357
1776,1.0,0,965
1520,1.0,0,1588
1297,1.0,0,1759
42,1.0,0,1297
1483,1.0,0,927
413,1.0,0,1148
1425,1.0,0,1450
1784,1.0,0,1893
1655,1.0,0,1306
1884,1.0,0,1929
486,1.0,0,1834
85,1.0,0,878
1010,1.0,0,313
1760,1.0,0,650
1215,1.0,0,815
1724,1.0,0,1390
1912,1.0,0,29
852,0.8848,0,837
1081,1.0,0,913
1481,1.0,0,1539
723,1.0,0,1312
1702,0.7966,0,1410
144,0.8082,0,1318
886,1.0,0,1722
1502,1.0,0,1779
313,1.0,0,997
1606,1.0,0,481
550,1.0,0,1082
1336,1.0,0,164
510,1.0,0,1461
116,1.0,0,456
1303,1.0,0,765
1699,1.0,0,1005
386,1.0,0,557
1821,1.0,0,293
56,1.0,0,1356
1802,1.0,0,131
721,1.0,0,663
1813,1.0,0,1685
1490,1.0,0,304
614,1.0,0,1800
1112,1.0,0,898
761,1.0,0,1375
903,1.0,0,1034
1665,1.0,0,378
322,1.0,0,469
72,1.0,0,1506
1052,1.0,0,988
672,1.0,0,1344
750,1.0,0,1377
154,1.0,0,27
360,1.0,0,871
928,1.0,0,256
1786,1.0,0,1129
1661,1.0,0,715
757,1.0,0,626
1558,1.0,0,186
900,1.0,0,1541
1374,1.0,0,1109
1408,1.0,0,1287
465,1.0,0,1683
525,1.0,0,734
600,1.0,0,684
1057,1.0,0,1303
817,1.0,0,1223
595,1.0,0,1289
1413,1.0,0,872
1432,1.0,0,1300
1193,1.0,0,1135
987,1.0,0,1460
1783,1.0,0,1627
397,0.119,0,1288
549,1.0,0,809
1845,1.0,0,1058
806,1.0,0,546
318,1.0,0,788
1611,1.0,0,1661
1221,1.0,0,1756
1450,1.0,0,640
1240,1.0,0,50
230,1.0,0,977
1720,1.0,0,116
127,1.0,0,1753
