Key_2_4,V9,V29
59,76,0
730,84,0
305,99,0
1315,99,0
1637,37,0
1525,64,0
195,23,0
820,124,0
1429,53,0
350,53,0
1558,76,0
1642,97,0
1214,102,0
1353,62,0
517,36,0
489,50,0
212,11,0
746,79,0
1236,92,0
1630,96,0
688,87,0
237,101,0
1732,107,0
473,92,0
1843,123,0
566,77,0
1584,75,0
294,97,0
1065,33,0
1089,51,0
1710,99,0
875,47,0
1618,80,0
1091,70,0
806,15,0
1324,55,0
676,55,0
170,77,0
1390,73,0
1104,79,0
402,90,0
70,65,0
330,66,0
638,88,0
1424,96,0
908,67,0
1200,85,0
627,91,0
860,67,0
868,95,0
46,100,0
1006,51,0
342,72,0
420,69,0
988,95,0
933,88,0
1272,120,0
1496,85,0
1093,94,0
1004,99,0
987,81,0
898,100,0
1335,84,0
1593,87,0
1527,99,0
1826,77,0
964,84,0
1368,95,0
569,73,0
1568,71,0
1419,77,0
335,81,0
331,99,0
1677,58,0
841,62,0
1246,80,0
210,90,0
387,101,0
461,64,0
1876,16,0
1435,47,0
219,97,0
1500,89,0
582,21,0
1114,55,0
1910,94,0
1731,106,0
209,78,0
1387,92,0
1888,68,0
138,63,0
112,44,0
1698,72,0
1877,49,0
1231,87,0
1268,91,0
1493,103,0
779,99,0
1674,100,0
1483,95,0
835,111,0
1563,89,0
502,49,0
194,66,0
1283,46,0
1822,71,0
1684,19,0
282,89,0
997,87,0
7,84,0
1131,84,0
1329,68,0
369,23,0
1726,90,0
1588,30,0
1569,45,0
427,38,0
1808,80,0
1145,89,0
1788,88,0
1471,91,0
75,86,0
167,90,0
567,64,0
367,94,0
1495,77,0
1705,62,0
1260,77,0
507,68,0
1244,74,0
339,85,0
893,63,0
535,62,0
393,81,0
1226,84,0
991,30,0
1040,106,0
1766,80,0
937,79,0
1147,110,0
605,28,0
1854,65,0
1539,66,0
1402,89,0
827,84,0
208,37,0
1188,49,0
540,68,0
176,78,0
1084,75,0
1193,102,0
450,99,0
1013,97,0
257,91,0
1597,106,0
1518,120,0
47,103,0
141,101,0
647,116,1
661,108,1
321,100,1
537,71,1
1643,99,1
169,109,1
360,80,1
1095,96,1
1245,104,1
1917,92,1
604,79,1
680,98,1
359,46,1
1897,47,1
124,86,1
262,109,1
1437,97,1
1207,78,1
1720,105,1
1140,98,1
1881,106,1
1741,89,1
1396,70,1
1068,36,1
1678,104,1
249,94,1
1033,93,1
996,84,1
843,85,1
1473,109,1
1498,101,1
1894,33,1
79,95,1
885,95,1
1926,90,1
1122,105,1
723,97,1
1520,77,1
608,40,1
831,97,1
1063,87,1
1445,113,1
1346,97,1
1607,51,1
252,22,1
1884,29,1
1707,43,1
24,102,1
553,82,1
1464,95,1
994,96,1
1751,43,1
874,40,1
839,95,1
584,90,1
1594,82,1
764,44,1
932,105,1
812,89,1
590,78,1
832,90,1
499,110,1
536,94,1
1443,113,1
314,81,1
495,86,1
778,114,1
1856,102,1
1629,98,1
222,95,1
1827,96,1
1685,52,1
669,98,1
12,102,1
1450,109,1
740,42,1
1668,102,1
1421,111,1
630,51,1
1000,81,1
1699,96,1
897,105,1
916,95,1
1172,93,1
1372,93,1
148,41,1
66,104,1
88,103,1
1575,95,1
398,80,1
766,95,1
1051,89,1
1407,102,1
955,89,1
445,73,1
1107,104,1
1167,102,1
191,90,1
1100,103,1
1549,92,1
549,96,1
270,49,1
1179,99,1
494,70,1
171,100,1
1874,117,1
698,105,1
1916,91,1
336,100,1
815,111,1
332,104,1
1370,106,1
459,102,1
1382,96,1
466,90,1
1014,110,1
1009,112,1
1138,86,1
1263,80,1
406,84,1
1409,95,1
873,76,1
645,116,1
1651,96,1
761,41,1
708,99,1
1789,111,1
1657,112,1
274,115,1
280,89,1
1159,86,1
1783,85,1
533,88,1
488,89,1
1163,84,1
967,75,1
600,84,1
19,109,1
780,86,1
1694,79,1
1572,72,1
715,91,1
992,81,1
1666,93,1
918,112,1
1021,90,1
386,87,1
592,48,1
1591,90,1
1356,85,1
1229,81,1
726,89,1
1908,47,1
1153,91,1
900,108,1
8,48,1
1449,85,1
1354,84,1
338,76,1
1840,90,1
1124,90,1
265,105,1
401,104,1
1517,81,1
1758,41,1
523,81,1
562,80,1
56,43,1
1274,80,1
123,81,1
1025,92,1
881,105,1
962,119,1
1085,120,1
559,119,1
37,119,1
681,120,1
159,122,1
919,122,1
1189,122,1
1446,87,1
48,105,1
1022,93,1
146,118,1
1485,101,1
13,107,1
1641,106,1
621,109,1
1020,78,1
1638,96,1
904,168,0
769,178,0
1530,168,0
269,157,0
986,77,0
15,195,0
763,172,0
1103,68,0
31,196,0
558,192,0
1673,195,0
993,163,0
1212,178,0
721,164,0
968,178,0
17,177,0
58,143,0
1832,48,0
564,118,0
1010,123,0
69,128,0
1935,141,0
594,139,0
538,161,0
388,150,0
253,134,0
127,148,0
707,161,0
662,159,0
1216,161,0
616,156,0
789,148,0
224,128,0
1046,158,0
1336,49,0
318,6,0
631,36,0
704,33,0
511,68,0
87,43,0
1813,61,0
1220,70,0
1680,54,0
395,0,0
471,24,0
340,21,0
807,23,0
720,22,0
93,18,0
1264,25,0
1081,27,0
179,21,0
586,24,0
