Key_2_4,V14,V30,V33
59,80,0,0
730,80,0,0
305,100,0,0
1315,290,0,0
1637,185,0,0
1525,40,0,0
195,150,0,0
820,150,0,0
1429,150,0,0
350,150,0,0
1558,150,0,0
1642,150,0,0
1214,150,0,0
1353,150,0,0
517,150,0,0
489,150,0,0
212,150,0,0
746,150,0,0
1236,150,0,0
1630,200,0,0
688,200,0,0
237,200,0,0
1732,200,0,0
473,200,0,0
1843,200,0,0
566,40,0,0
1584,40,0,0
294,40,0,0
1065,40,0,0
1089,40,0,0
1710,40,0,0
875,40,0,0
1618,40,0,0
1091,50,0,0
806,50,0,0
1324,50,0,0
676,70,0,0
170,70,0,0
1390,40,0,0
1104,250,0,0
402,200,0,0
70,70,0,0
330,40,0,0
638,40,0,0
1424,60,0,0
908,60,0,0
1200,60,0,0
627,60,0,0
860,60,0,0
868,60,0,0
46,60,0,0
1006,60,0,0
342,60,0,0
420,69,0,0
988,69,0,0
933,69,0,0
1272,69,0,0
1496,100,0,0
1093,100,0,0
1004,100,0,0
987,100,0,0
898,120,0,0
1335,120,0,0
1593,100,0,0
1527,100,0,0
1826,100,0,0
964,100,0,0
1368,100,0,0
569,100,0,0
1568,100,0,0
1419,100,0,0
335,100,0,0
331,100,0,0
1677,211,0,0
841,211,0,0
1246,143,0,0
210,143,0,0
387,80,0,0
461,40,0,0
1876,40,0,0
1435,40,0,0
219,40,0,0
1500,60,0,0
582,60,0,0
1114,200,0,0
1910,220,0,0
1731,220,0,0
209,40,0,0
1387,40,0,0
1888,40,0,0
138,40,0,0
112,40,0,0
1698,40,0,0
1877,100,0,0
1231,100,0,0
1268,40,0,0
1493,70,0,0
779,70,0,0
1674,70,0,0
1483,70,0,0
835,70,0,0
1563,70,0,0
502,120,0,0
194,175,0,0
1283,125,0,0
1822,125,0,0
1684,125,0,0
282,125,0,0
997,125,0,0
7,40,0,0
1131,50,0,0
1329,50,0,0
369,90,0,0
1726,90,0,0
1588,90,0,0
1569,90,0,0
427,90,0,0
1808,90,0,0
1145,90,0,0
1788,90,0,0
1471,90,0,0
75,90,0,0
167,90,0,0
567,90,0,0
367,90,0,0
1495,90,0,0
1705,90,0,0
1260,90,0,0
507,90,0,0
1244,90,0,0
339,90,0,0
893,90,0,0
535,90,0,0
393,90,0,0
1226,70,0,0
991,70,0,0
1040,40,0,0
1766,40,0,0
937,60,0,0
1147,60,0,0
605,80,0,0
1854,100,0,0
1539,40,0,0
1402,40,0,0
827,40,0,0
208,40,0,0
1188,40,0,0
540,40,0,0
176,40,0,0
1084,40,0,0
1193,70,0,0
450,70,0,0
1013,70,0,0
257,70,0,0
1597,70,0,0
1518,70,0,0
47,70,0,0
141,70,0,0
647,100,0,0
661,70,0,0
321,70,0,0
537,70,0,0
1643,70,0,0
169,70,0,0
360,70,0,0
1095,70,0,0
1245,70,0,0
1917,70,0,0
604,70,0,0
680,70,0,0
359,70,0,0
1897,70,0,0
124,70,0,0
262,70,0,0
1437,70,0,0
1207,70,0,0
1720,70,0,0
1140,70,0,0
1881,70,0,0
1741,70,0,0
1396,70,0,0
1068,70,0,0
1678,70,0,0
249,70,0,0
1033,70,0,0
996,70,0,0
843,70,0,0
1473,70,0,0
1498,70,0,0
1894,70,0,0
79,70,0,0
885,70,0,0
1926,70,0,0
1122,70,0,0
723,70,0,0
1520,70,0,0
608,70,0,0
831,70,0,0
1063,70,0,0
1445,70,0,0
1346,70,0,0
1607,70,0,0
252,70,0,0
1884,70,0,0
1707,70,0,0
24,70,0,0
553,70,0,0
1464,70,0,0
994,70,0,0
1751,70,0,0
874,70,0,0
839,70,0,0
584,70,0,0
1594,70,0,0
764,70,0,0
932,70,0,0
812,70,0,0
590,70,0,0
832,70,0,0
499,70,0,0
536,70,0,0
1443,70,0,0
314,70,0,0
495,70,0,0
778,70,0,0
1856,70,0,0
1629,70,0,0
222,70,0,0
1827,70,0,0
1685,70,0,0
669,70,0,0
12,70,0,0
1450,70,0,0
740,70,0,0
1668,70,0,0
1421,70,0,0
630,70,0,0
1000,70,0,0
1699,70,0,0
897,70,0,0
916,70,0,0
1172,70,0,0
1372,70,0,0
148,70,0,0
66,70,0,0
88,70,0,0
1575,70,0,0
398,70,0,0
766,70,0,0
1051,70,0,0
1407,70,0,0
955,70,0,0
445,70,0,0
1107,70,0,0
1167,70,0,0
191,70,0,0
1100,70,0,0
1549,70,0,0
549,70,0,0
270,70,0,0
1179,70,0,0
494,70,0,0
171,70,0,0
1874,70,0,0
698,70,0,0
1916,70,0,0
336,70,0,0
815,70,0,0
332,70,0,0
1370,70,0,0
459,70,0,0
1382,70,0,0
466,70,0,0
1014,70,0,0
1009,70,0,0
1138,70,0,0
1263,70,0,0
406,70,0,0
1409,70,0,0
873,70,0,0
645,70,0,0
1651,70,0,0
761,70,0,0
708,70,0,0
1789,70,0,0
1657,70,0,0
274,70,0,0
280,70,0,0
1159,70,0,0
1783,70,0,0
533,70,0,0
488,70,0,0
1163,70,0,0
967,70,0,0
600,70,0,0
19,70,0,0
780,70,0,0
1694,70,0,0
1572,70,0,0
715,70,0,0
992,70,0,0
1666,70,0,0
918,70,0,0
1021,70,0,0
386,70,0,0
592,70,0,0
1591,70,0,0
1356,70,0,0
1229,70,0,0
726,70,0,0
1908,70,0,0
1153,70,0,0
900,70,0,0
8,70,0,0
1449,70,0,0
1354,70,0,0
338,70,0,0
1840,70,0,0
1124,70,0,0
265,70,0,0
401,70,0,0
1517,70,0,0
1758,70,0,0
523,70,0,0
562,70,0,0
56,70,0,0
1274,70,0,0
123,70,0,0
1025,70,0,0
881,100,0,0
962,40,0,0
1085,40,0,0
559,40,0,0
37,40,0,0
681,40,0,0
159,40,0,0
919,40,0,0
1189,40,0,0
1446,175,0,0
48,175,0,0
1022,175,0,0
146,175,0,0
1485,175,0,0
13,175,0,0
1641,175,0,0
621,175,0,0
1020,175,0,0
1638,175,0,0
904,40,1,0
769,40,1,0
1530,40,1,0
269,40,1,0
986,40,1,0
15,40,1,0
763,40,1,0
1103,40,1,0
31,40,1,0
558,40,1,0
1673,40,1,0
993,40,1,0
1212,40,1,0
721,40,1,0
968,40,1,0
17,40,1,0
58,40,1,0
1832,40,1,0
564,40,1,0
1010,40,1,0
69,40,1,0
1935,40,1,0
594,40,1,0
538,40,1,0
388,40,1,0
253,40,1,0
127,40,1,0
707,40,1,0
662,40,1,0
1216,40,1,0
616,40,1,0
789,40,1,0
224,40,1,0
1046,40,1,0
1336,40,1,0
318,40,1,0
631,40,1,0
704,40,1,0
511,40,1,0
87,40,1,0
1813,40,1,0
1220,40,1,0
1680,80,1,0
395,40,1,0
471,40,1,0
340,40,1,0
807,40,1,0
720,40,1,0
93,40,1,0
1264,40,1,0
1081,40,1,0
179,40,1,0
586,40,1,0
1060,40,1,0
232,40,1,0
64,40,1,0
1809,40,1,0
389,40,1,0
1524,40,1,0
128,40,1,0
1841,40,1,0
1553,40,1,0
90,40,1,0
1102,40,1,0
1265,40,1,0
1416,40,1,0
1798,40,1,0
773,40,1,0
310,40,1,0
862,40,1,0
443,40,1,0
275,40,1,0
989,40,1,0
848,40,1,0
362,40,1,0
1048,40,1,0
1858,40,1,0
32,40,1,0
1386,40,1,0
990,40,1,0
1224,40,1,0
84,40,1,0
545,40,1,0
22,40,1,0
622,40,1,0
1845,40,1,0
1934,40,1,0
1580,40,1,0
460,40,1,0
947,40,1,0
60,40,1,0
49,40,1,0
130,40,1,0
1810,40,1,0
565,40,1,0
713,40,1,0
1181,40,1,0
759,40,1,0
1601,40,1,0
1659,40,1,0
1316,40,1,0
656,40,1,0
1197,40,1,0
551,40,1,0
1846,40,1,0
1358,40,1,0
1538,40,1,0
1024,40,1,0
1774,40,1,0
196,40,1,0
1079,40,1,0
200,40,1,0
1702,40,1,0
1646,40,1,0
193,40,1,0
642,40,1,0
1728,40,1,0
685,40,1,0
1352,40,1,0
1327,40,1,0
1096,40,1,0
1790,40,1,0
1869,40,1,0
805,40,1,0
1722,40,1,0
543,40,1,0
126,40,1,0
65,40,1,0
1522,40,1,0
1938,40,1,0
800,40,1,0
1011,40,1,0
83,40,1,0
458,40,1,0
1126,40,1,0
1756,40,1,0
1357,40,1,0
542,40,1,0
1439,40,1,0
23,40,1,0
1118,40,1,0
390,40,1,0
879,40,1,0
1398,40,1,0
226,40,1,0
1203,40,1,0
1514,40,1,0
1535,40,1,0
852,40,1,0
1185,40,1,0
38,40,1,0
1576,40,1,0
1777,40,1,0
1503,40,1,0
814,40,1,0
154,40,1,0
1176,40,1,0
1136,40,1,0
164,40,1,0
653,40,1,0
1873,40,1,0
1287,40,1,0
236,40,1,0
493,40,1,0
291,40,1,0
1499,40,1,0
632,40,1,0
1712,40,1,0
1600,40,1,0
1180,40,1,0
403,40,1,0
97,40,1,0
487,40,1,0
610,40,1,0
230,40,1,0
1217,40,1,0
404,40,1,0
1125,40,1,0
1306,40,1,0
304,40,1,0
1624,40,1,0
701,40,1,0
1804,40,1,0
974,40,1,0
457,40,1,0
77,40,1,0
684,40,1,0
105,40,1,0
524,40,1,0
192,40,1,0
1317,40,1,0
858,40,1,0
1512,40,1,0
71,40,1,0
429,40,1,0
731,40,1,0
1482,40,1,0
1294,40,1,0
939,40,1,0
717,40,1,0
1667,40,1,0
1824,40,1,0
601,40,1,0
374,40,1,0
144,40,1,0
358,40,1,0
1924,40,1,0
1007,40,1,0
158,40,1,0
1620,40,1,0
1152,40,1,0
751,40,1,0
1486,40,1,0
1023,40,1,0
1838,40,1,0
1723,40,1,0
1120,40,1,0
654,40,1,0
1775,40,1,0
1195,40,1,0
1477,40,1,0
341,40,1,0
300,40,1,0
1374,40,1,0
895,40,1,0
1818,40,1,0
483,40,1,0
1865,40,1,0
944,40,1,0
1256,40,1,0
259,40,1,0
1177,40,1,0
1175,40,1,0
1348,40,1,0
10,40,1,0
620,40,1,0
762,40,1,0
1183,40,1,0
520,40,1,0
1417,40,1,0
673,40,1,0
1215,40,1,0
951,40,1,0
438,40,1,0
699,40,1,0
909,40,1,0
129,40,1,0
430,40,1,0
575,40,1,0
410,40,1,0
1920,40,1,0
958,40,1,0
1381,40,1,0
290,40,1,0
599,40,1,0
1599,40,1,0
1721,40,1,0
1606,40,1,0
813,40,1,0
1036,40,1,0
1582,40,1,0
207,40,1,0
1578,40,1,0
587,40,1,0
91,40,1,0
1729,40,1,0
86,40,1,0
454,40,1,0
1305,40,1,0
1807,40,1,0
293,40,1,0
67,40,1,0
1892,40,1,0
541,40,1,0
50,40,1,0
1440,40,1,0
1278,40,1,0
223,40,1,0
894,40,1,0
353,40,1,0
1566,40,1,0
1872,40,1,0
1108,40,1,0
663,40,1,0
774,40,1,0
1252,40,1,0
413,40,1,0
903,40,1,0
1105,40,1,0
1817,40,1,0
1768,40,1,0
1635,40,1,0
62,40,1,0
1609,40,1,0
1670,40,1,0
1647,40,1,0
1504,40,1,0
952,40,1,0
825,40,1,0
578,40,1,0
1202,40,1,0
510,40,1,0
1533,40,1,0
156,40,1,0
1928,40,1,0
576,40,1,0
890,40,1,0
1913,40,1,0
1338,40,1,0
1830,40,1,0
1631,40,1,0
313,40,1,0
1219,40,1,0
624,40,1,0
867,40,1,0
697,40,1,0
1034,40,1,0
1284,40,1,0
634,40,1,0
602,40,1,0
0,40,1,0
242,40,1,0
463,40,1,0
392,40,1,0
455,40,1,0
1476,40,1,0
598,40,1,0
906,40,1,0
1491,40,1,0
525,40,1,0
1362,40,1,0
1828,40,1,0
722,40,1,0
725,40,1,0
1247,40,1,0
1451,40,1,0
1882,40,1,0
1461,40,1,0
1196,40,1,0
1143,40,1,0
1541,40,1,0
136,40,1,0
1101,40,1,0
1042,40,1,0
1886,40,1,0
971,40,1,0
613,40,1,0
901,40,1,0
1201,40,1,0
132,40,1,0
1413,40,1,0
1444,40,1,0
1802,40,1,0
1232,40,1,0
181,40,1,0
1785,40,1,0
125,40,1,0
853,40,1,0
1857,40,1,0
1662,40,1,0
383,40,1,0
691,40,1,0
655,40,1,0
1853,40,1,0
327,40,1,0
1438,40,1,0
1690,40,1,0
1339,40,1,0
668,40,1,0
121,40,1,0
693,40,1,0
57,40,1,0
1739,40,1,0
1002,40,1,0
1073,40,1,0
1087,50,1,0
1044,50,1,0
803,50,1,0
1740,40,1,0
1062,40,1,0
1361,40,1,0
716,40,1,0
648,40,1,0
703,40,1,0
1286,40,1,0
522,40,1,0
163,40,1,0
1542,40,1,0
1507,40,1,0
1277,40,1,0
273,40,1,0
1113,100,0,0
1508,50,0,0
529,50,0,0
1275,50,0,0
1258,50,0,0
748,50,0,0
271,50,0,0
1297,50,0,0
1686,50,0,0
1719,50,0,0
1831,50,0,0
1373,50,0,0
1579,50,0,0
248,50,0,0
886,50,0,0
233,50,0,0
946,50,0,0
1759,50,0,0
596,50,0,0
1555,50,0,0
1744,50,0,0
1057,50,0,0
1628,50,0,0
705,50,0,0
260,50,0,0
737,50,0,0
1703,50,0,0
651,50,0,0
54,50,0,0
53,50,0,0
1123,50,0,0
1184,50,0,0
74,50,0,0
1059,50,0,0
312,50,0,0
361,50,0,0
221,50,0,0
1709,50,0,0
649,50,0,0
1540,50,0,0
1376,50,0,0
546,50,0,0
808,50,0,0
1208,50,0,0
1254,50,0,0
984,50,0,0
1754,50,0,0
1929,50,0,0
650,50,0,0
892,50,0,0
1781,50,0,0
611,50,0,0
914,50,0,0
1400,50,0,0
284,50,0,0
1820,50,0,0
1300,50,0,0
422,50,0,0
372,50,0,0
81,50,0,0
250,50,0,0
478,50,0,0
407,50,0,0
26,50,0,0
945,50,0,0
1016,50,0,0
1669,50,0,0
40,50,0,0
633,50,0,0
1028,50,0,0
948,50,0,0
744,50,0,0
409,120,0,0
1653,120,0,0
982,120,0,0
431,120,0,0
1112,120,0,0
804,120,0,0
772,50,0,0
1039,40,0,0
1531,40,0,0
1867,40,0,0
1117,40,0,0
515,40,0,0
378,40,0,0
1325,40,0,0
346,40,0,0
475,40,0,0
857,40,0,0
1743,40,0,0
364,40,0,0
1261,69,0,0
1334,69,0,0
1129,69,0,0
925,69,0,0
659,69,0,0
1717,69,0,0
878,69,0,0
1715,69,0,0
55,143,0,0
1075,100,0,0
501,100,0,0
1321,100,0,0
1155,100,0,0
591,100,0,0
1242,100,0,0
1161,100,0,0
1223,100,0,0
544,100,0,0
51,100,0,0
381,100,0,0
1801,100,0,0
561,100,0,0
1086,100,0,0
1243,100,0,0
635,100,0,0
859,100,0,0
175,100,0,0
1902,100,0,0
1915,100,0,0
847,100,0,0
552,100,0,0
1282,100,0,0
452,100,0,0
414,100,0,0
924,100,0,0
444,100,0,0
1328,100,0,1
1526,80,0,1
636,120,0,1
1347,290,0,1
1923,185,0,1
1319,200,0,1
671,200,0,1
1773,50,0,1
133,50,0,1
1099,50,0,1
1360,70,0,1
929,40,0,1
28,40,0,1
107,50,0,1
1556,70,0,1
678,70,0,1
791,70,0,1
770,50,0,1
1041,50,0,1
143,50,0,1
822,50,0,1
203,50,0,1
884,80,0,1
1049,80,0,1
1911,60,0,1
29,60,0,1
643,60,0,1
1636,60,0,1
1762,60,0,1
258,60,0,1
966,60,0,1
279,60,0,1
865,60,0,1
82,60,0,1
1610,60,0,1
842,60,0,1
1933,60,0,1
119,60,0,1
1664,60,0,1
1228,60,0,1
1098,60,0,1
1311,60,0,1
785,60,0,1
157,60,0,1
1760,60,0,1
135,60,0,1
370,60,0,1
1313,60,0,1
1478,60,0,1
917,60,0,1
433,60,0,1
979,60,0,1
162,60,0,1
215,60,0,1
819,60,0,1
817,60,0,1
1903,60,0,1
1204,60,0,1
911,60,0,1
1323,60,0,1
104,60,0,1
1405,60,0,1
626,60,0,1
640,60,0,1
44,60,0,1
863,60,0,1
1388,60,0,1
912,60,0,1
424,60,0,1
1868,60,0,1
1577,60,0,1
355,60,0,1
288,60,0,1
1469,60,0,1
147,60,0,1
733,60,0,1
1786,60,0,1
1350,60,0,1
934,60,0,1
1904,60,0,1
1784,60,0,1
1302,60,0,1
736,70,0,1
1693,70,0,1
1414,70,0,1
469,70,0,1
690,70,0,1
618,70,0,1
1342,70,0,1
239,70,0,1
695,70,0,1
1115,70,0,1
1747,70,0,1
639,70,0,1
1515,70,0,1
1513,70,0,1
1879,70,0,1
468,70,0,1
1682,70,0,1
755,70,0,1
385,70,0,1
956,40,0,1
377,40,0,1
100,40,0,1
1150,40,0,1
1157,40,0,1
168,40,0,1
1615,40,0,1
1605,40,0,1
783,40,0,1
1080,40,0,1
334,40,0,1
1027,40,0,1
1585,40,0,1
942,40,0,1
595,40,0,1
1418,40,0,1
1665,40,0,1
1565,40,0,1
1561,69,0,1
1621,69,0,1
1289,69,0,1
235,69,0,1
788,69,0,1
1532,69,0,1
474,69,0,1
765,69,0,1
1455,69,0,1
887,69,0,1
178,69,0,1
1767,69,0,1
1852,150,0,1
298,100,0,1
1415,100,0,1
96,100,0,1
1019,100,0,1
896,100,0,1
1683,100,0,1
833,100,0,1
1811,100,0,1
1164,100,0,1
548,100,0,1
625,100,0,1
1883,100,0,1
771,100,0,1
738,100,0,1
116,100,0,1
287,100,0,1
1330,100,0,1
1343,120,0,1
786,100,0,1
197,80,0,1
532,80,0,1
1617,80,0,1
1158,80,0,1
777,80,0,1
1656,80,0,1
1711,80,0,1
816,80,0,1
1847,80,0,1
1076,80,0,1
9,80,0,1
1611,80,0,1
299,80,0,1
1332,80,0,1
560,80,0,1
1146,80,0,1
481,80,0,1
954,211,0,1
1839,211,0,1
1816,143,0,1
356,143,0,1
246,60,0,1
1128,100,0,1
1604,100,0,1
1796,100,0,1
1406,100,0,1
111,70,0,1
1349,70,0,1
1622,70,0,1
68,70,0,1
995,70,0,1
1880,70,0,1
405,70,0,1
1922,70,0,1
581,70,0,1
969,70,0,1
500,70,0,1
512,70,0,1
1375,70,0,1
425,70,0,1
617,70,0,1
428,70,0,1
700,70,0,1
1602,70,0,1
711,70,0,1
1270,70,0,1
1787,70,0,1
437,85,0,1
380,85,0,1
834,85,0,1
1914,85,0,1
1812,80,0,1
1271,80,0,1
660,80,0,1
426,80,0,1
527,80,0,1
492,80,0,1
245,40,0,1
504,40,0,1
1307,40,0,1
1110,50,0,1
465,50,0,1
854,50,0,1
672,50,0,1
750,40,0,1
734,40,0,1
1488,40,0,1
1301,40,0,1
869,40,0,1
1273,40,0,1
792,40,0,1
