Key_1_3,entropy_ElectronAffinity,wtd_range_Valence,entropy_Density,wtd_range_ThermalConductivity,range_atomic_mass,Key_2_10
19001,1.15968659338134,1.08571428571429,1.03312880053102,57.1276685714286,122.90607,11948
15086,1.42799655342352,1.12857142857143,1.31444218462105,51.4133828571429,122.90607,12751
4691,1.15968659338134,1.11428571428571,1.03312880053102,57.1276685714286,122.90607,3472
989,1.15968659338134,1.1,1.03312880053102,57.1276685714286,122.90607,1157
11241,1.15968659338134,1.05714285714286,1.03312880053102,57.1276685714286,122.90607,12473
12728,1.15968659338134,1.0,1.03312880053102,57.1276685714286,122.90607,14470
16569,1.15968659338134,0.857142857142857,1.03312880053102,57.1276685714286,122.90607,15062
16009,1.09667176877521,1.11428571428571,0.995982779568411,57.1276685714286,122.90607,12231
13711,1.09667176877521,1.1,0.995982779568411,57.1276685714286,122.90607,5474
1766,1.09667176877521,1.08571428571429,0.995982779568411,57.1276685714286,122.90607,5618
11389,1.09667176877521,1.05714285714286,0.995982779568411,57.1276685714286,122.90607,2913
4802,1.18353408859616,1.05714285714286,1.27883321462228,39.9848114285714,184.5906,9370
16562,1.42799655342352,1.13571428571429,1.31444218462105,54.2705257142857,122.90607,7397
11906,1.42799655342352,1.12857142857143,1.31444218462105,51.4133828571429,122.90607,15202
6054,1.42799655342352,1.11428571428571,1.31444218462105,42.8419542857143,122.90607,20777
13208,1.42799655342352,1.11428571428571,1.31444218462105,30.6990971428571,122.90607,5621
9227,1.15814359700469,1.0,1.21828823769393,92.29338,121.3276,20207
21108,1.15968659338134,1.1,1.03312880053102,57.1276685714286,122.90607,20471
2108,1.09667176877521,1.1,0.995982779568411,57.1276685714286,122.90607,6622
7666,1.09667176877521,1.12857142857143,0.995982779568411,57.1276685714286,122.90607,4912
15053,1.09667176877521,1.11428571428571,0.995982779568411,57.1276685714286,122.90607,15242
9205,1.09667176877521,1.07857142857143,0.995982779568411,57.1276685714286,122.90607,16425
4315,1.09667176877521,1.07142857142857,0.995982779568411,57.1276685714286,122.90607,7884
5894,1.09667176877521,1.05714285714286,0.995982779568411,57.1276685714286,122.90607,11815
15003,1.09667176877521,1.04285714285714,0.995982779568411,57.1276685714286,122.90607,13973
19650,1.09667176877521,1.02857142857143,0.995982779568411,57.1276685714286,122.90607,505
18058,1.09667176877521,1.09285714285714,0.995982779568411,57.1276685714286,122.90607,8916
