yprop/table_0_0.oz252,yprop/table_0_0.oz6,yprop/table_0_0.oz5,yprop/table_0_0.oz133,yprop/table_0_0.oz9,Key_0_0
0.944354,0.114286,0.0,0.266667,0.136364,7056
0.999639,0.0,0.266667,0.0,0.0,5130
0.909937,0.028571,0.0,0.0,0.0,1141
0.903342,0.0,0.0,0.0,0.0,4332
0.898916,0.028571,0.133333,0.0,0.0,7577
0.906594,0.0,0.066667,0.0,0.181818,5911
0.89458,0.028571,0.133333,0.0,0.0,6240
0.922313,0.0,0.133333,0.0,0.0,6950
0.931346,0.0,0.0,0.0,0.090909,4212
0.898103,0.0,0.0,0.0,0.272727,1000
0.914544,0.028571,0.066667,0.0,0.0,6200
0.918248,0.142857,0.133333,0.0,0.0,7806
0.965673,0.0,0.066667,0.0,0.0,1181
0.910298,0.142857,0.466667,0.066667,0.0,4777
0.92701,0.428571,0.066667,0.0,0.0,2034
0.927191,0.4,0.133333,0.0,0.0,8520
0.912376,0.0,0.066667,0.0,0.0,8300
0.908943,0.0,0.066667,0.0,0.090909,1253
0.903071,0.0,0.0,0.066667,0.0,4012
0.891689,0.0,0.133333,0.133333,0.0,3757
0.912195,0.0,0.0,0.133333,0.090909,8535
0.914363,0.0,0.333333,0.066667,0.0,2298
0.895032,0.0,0.0,0.066667,0.0,1531
0.911201,0.028571,0.066667,0.2,0.0,8302
0.909846,0.0,0.133333,0.0,0.045455,7277
0.903433,0.0,0.0,0.0,0.0,6020
0.990876,0.0,0.066667,0.066667,0.0,2962
0.897832,0.028571,0.133333,0.0,0.0,6348
0.908401,0.028571,0.066667,0.066667,0.045455,7045
0.91888,0.0,0.133333,0.266667,0.0,3419
0.934417,0.0,0.066667,0.0,0.045455,3520
0.910388,0.057143,0.133333,0.0,0.0,7827
0.933153,0.0,0.0,0.0,0.0,1068
0.998013,0.0,0.0,0.0,0.0,7040
0.909124,0.057143,0.133333,0.066667,0.0,7142
0.914453,0.0,0.066667,0.0,0.0,6735
0.89449,0.0,0.0,0.0,0.0,891
0.893044,0.0,0.0,0.0,0.181818,1242
0.923216,0.0,0.0,0.0,0.045455,6076
0.910117,0.028571,0.2,0.2,0.0,3579
0.909846,0.114286,0.0,0.0,0.0,1163
0.906504,0.0,0.0,0.0,0.090909,2076
0.904788,0.142857,0.2,0.0,0.0,1379
0.922493,0.0,0.066667,0.0,0.0,870
0.900632,0.085714,0.333333,0.0,0.0,5865
0.904155,0.057143,0.0,0.0,0.0,7342
0.972719,0.142857,0.133333,0.0,0.0,3518
0.914905,0.028571,0.2,0.066667,0.0,7248
0.874164,0.0,0.066667,0.0,0.0,616
0.99178,0.0,0.666667,0.4,0.318182,6422
0.912556,0.0,0.0,0.133333,0.0,5165
0.92439,0.028571,0.066667,0.266667,0.045455,3717
0.907949,0.0,0.066667,0.0,0.0,5998
0.915086,0.0,0.2,0.066667,0.045455,2187
0.915266,0.0,0.0,0.0,0.0,7836
0.909666,0.028571,0.2,0.0,0.0,6379
0.917977,0.0,0.066667,0.0,0.0,5824
0.93776,0.028571,0.066667,0.0,0.0,8253
0.897561,0.114286,0.333333,0.066667,0.045455,6067
0.903704,0.057143,0.066667,0.0,0.0,1925
0.907769,0.0,0.0,0.0,0.545455,3104
0.908762,0.0,0.133333,0.066667,0.318182,6870
0.887986,0.0,0.0,0.0,0.090909,2444
0.913911,0.0,0.066667,0.0,0.0,5184
0.905059,0.057143,0.066667,0.0,0.181818,8272
0.906504,0.0,0.066667,0.0,0.0,4010
0.863505,0.142857,0.266667,0.2,0.090909,1561
0.947787,0.0,0.0,0.0,0.0,1567
0.931617,0.028571,0.533333,0.2,0.318182,1111
