yprop/table_1_3.oz173,yprop/table_1_3.oz131,yprop/table_1_3.oz178,yprop/table_1_3.oz177,yprop/table_1_3.Key_1_3,Key_0_0
0.0,0.05,0.333333,0.166667,5750,7056
0.0,0.0,0.0,0.0,4647,5130
0.083333,0.0,0.0,0.0,6168,1141
0.0,0.0,0.0,0.0,5731,4332
0.083333,0.05,0.0,0.083333,1995,7577
0.0,0.2,0.0,0.0,1564,5911
0.0,0.05,0.0,0.0,3156,6240
0.0,0.0,0.0,0.0,3512,6950
0.083333,0.1,0.0,0.0,5916,4212
0.083333,0.0,0.0,0.166667,5251,1000
0.0,0.05,0.0,0.0,6927,6200
0.0,0.1,0.0,0.083333,2895,7806
0.0,0.0,0.0,0.0,83,1181
0.0,0.05,0.0,0.611111,3931,4777
0.0,0.05,0.0,0.055556,4924,2034
0.0,0.1,0.0,0.0,8662,8520
0.083333,0.0,0.0,0.0,7087,8300
0.0,0.1,0.0,0.0,4107,1253
0.0,0.0,0.0,0.0,6216,4012
0.0,0.0,0.0,0.083333,8087,3757
0.333333,0.0,0.0,0.0,4743,8535
0.0,0.0,0.0,0.0,3139,2298
0.0,0.0,0.0,0.0,5484,1531
0.083333,0.05,0.0,0.0,8853,8302
0.166667,0.0,0.0,0.166667,6246,7277
0.0,0.0,0.0,0.0,1323,6020
0.0,0.0,0.0,0.0,5887,2962
0.0,0.05,0.0,0.166667,6263,6348
0.0,0.05,0.0,0.055556,3982,7045
0.083333,0.0,0.0,0.083333,1486,3419
0.0,0.05,0.0,0.0,3658,3520
0.0,0.05,0.0,0.083333,4923,7827
0.0,0.0,0.0,0.0,3654,1068
0.0,0.0,0.0,0.0,3003,7040
0.0,0.05,0.0,0.055556,87,7142
0.0,0.0,0.0,0.0,5193,6735
0.0,0.0,0.0,0.0,6041,891
0.0,0.0,0.0,0.055556,6445,1242
0.0,0.0,0.0,0.0,6436,6076
0.083333,0.05,0.0,0.0,6343,3579
0.0,0.15,0.166667,0.0,248,1163
0.0,0.0,0.0,0.0,8501,2076
0.0,0.0,0.0,0.0,8606,1379
0.0,0.0,0.0,0.0,2370,870
0.0,0.15,0.0,0.0,4483,5865
0.0,0.1,0.0,0.0,4643,7342
0.0,0.0,0.0,0.0,3373,3518
0.0,0.05,0.0,0.25,3252,7248
0.0,0.0,0.0,0.083333,1169,616
0.0,0.05,1.0,0.166667,6710,6422
0.0,0.0,0.0,0.0,5611,5165
0.166667,0.1,0.0,0.0,6852,3717
0.0,0.0,0.0,0.0,748,5998
0.0,0.0,0.166667,0.0,7597,2187
0.166667,0.0,0.0,0.0,1137,7836
0.0,0.05,0.0,0.083333,5085,6379
0.0,0.0,0.0,0.083333,7404,5824
0.0,0.05,0.0,0.0,8382,8253
0.083333,0.05,0.166667,0.027778,4018,6067
0.0,0.05,0.0,0.055556,3388,1925
0.0,0.1,0.0,0.111111,7720,3104
0.083333,0.0,0.0,0.111111,534,6870
0.0,0.1,0.0,0.0,936,2444
0.166667,0.0,0.0,0.0,5159,5184
0.166667,0.25,0.0,0.083333,8282,8272
0.0,0.0,0.0,0.0,4595,4010
0.0,0.2,0.0,0.305556,3722,1561
0.0,0.0,0.0,0.0,4851,1567
0.0,0.0,0.0,0.25,4148,1111
0.0,0.1,0.0,0.0,3834,5803
0.083333,0.05,1.0,0.0,1691,8342
0.0,0.2,0.0,0.111111,2032,7991
0.0,0.0,0.0,0.0,6951,7766
0.0,0.0,0.0,0.0,1961,4737
0.0,0.05,0.0,0.027778,5325,6902
0.0,0.05,0.416667,0.0,5650,4263
0.0,0.0,0.0,0.0,2860,7107
0.0,0.0,0.0,0.083333,1963,817
0.0,0.0,0.0,0.055556,6497,5461
0.083333,0.05,0.0,0.0,4189,2009
0.0,0.1,0.083333,0.0,1024,8583
0.0,0.0,0.0,0.083333,2145,3304
0.0,0.0,0.0,0.0,7780,7791
0.0,0.05,0.0,0.222222,340,6816
0.0,0.05,0.0,0.0,8802,5763
0.0,0.05,0.0,0.0,218,6244
0.0,0.05,0.0,0.083333,5837,165
0.0,0.0,0.0,0.222222,6700,3812
0.0,0.05,0.0,0.0,338,8328
0.0,0.05,0.0,0.083333,163,1490
0.0,0.0,0.0,0.0,4694,3567
0.0,0.0,0.0,0.083333,6215,7515
0.0,0.05,0.0,0.0,6674,1554
0.0,0.0,0.0,0.0,5038,5805
0.0,0.0,0.0,0.0,6402,7328
0.0,0.25,0.0,0.166667,1172,2087
0.083333,0.0,0.0,0.0,634,8144
0.0,0.0,0.0,0.166667,5968,2080
0.0,0.25,0.166667,0.25,5537,8381
0.0,0.2,0.0,0.0,4085,1198
0.0,0.0,0.0,0.0,1017,288
0.0,0.0,0.0,0.0,5385,2316
0.0,0.0,0.0,0.0,1291,3476
0.0,0.05,0.0,0.0,5936,576
0.0,0.0,0.0,0.0,4076,7317
0.0,0.15,0.0,0.5,7275,1551
0.0,0.1,0.166667,0.0,8719,4673
0.0,0.05,0.0,0.0,5134,4998
0.0,0.2,0.0,0.277778,4494,8488
0.0,0.0,0.0,0.0,885,3947
0.0,0.0,0.0,0.0,5431,6136
0.0,0.0,0.0,0.0,103,7235
0.0,0.0,0.0,0.0,8645,827
0.0,0.0,0.0,0.0,5290,678
0.083333,0.15,0.166667,0.055556,7321,1968
0.0,0.0,0.0,0.0,7558,7191
0.0,0.0,0.0,0.222222,5361,6482
0.0,0.05,0.0,0.111111,8440,4204
0.0,0.0,0.0,0.0,557,1588
0.0,0.0,0.0,0.0,1545,1565
0.0,0.2,0.0,0.222222,4666,1230
