Key_1_1,oz4,oz125,oz171,oz128
3516,0.99643,0.107143,0.0,0.0
8259,0.99735,0.035714,0.0,0.0
7554,0.976971,0.071429,0.0,0.0
6334,0.996741,0.035714,0.1125,0.0
85,0.997016,0.071429,0.0,0.0
5892,0.997407,0.107143,0.0,0.0
4105,0.996325,0.071429,0.125,0.0
6539,0.996325,0.071429,0.0,0.0
1400,0.996741,0.071429,0.0,0.0
6670,0.996741,0.107143,0.0,0.0
8746,0.997017,0.321429,0.0,0.0
6054,0.996601,0.107143,0.1625,0.058824
3054,0.996534,0.178571,0.0,0.0
2179,0.996325,0.178571,0.15,0.235294
417,0.997158,0.071429,0.075,0.0
8806,0.996325,0.107143,0.05,0.0
6583,0.996325,0.071429,0.025,0.0
663,0.997158,0.071429,0.0,0.0
6729,0.996325,0.0,0.075,0.058824
2888,0.996741,0.107143,0.0,0.0
5600,0.996741,0.142857,0.0,0.0
6361,0.996325,0.321429,0.0,0.0
486,0.996281,0.25,0.0,0.0
7525,0.997017,0.035714,0.0,0.0
1349,0.996741,0.071429,0.05,0.0
7138,0.997158,0.071429,0.075,0.0
897,0.997158,0.142857,0.0,0.0
7069,0.996325,0.178571,0.0,0.058824
397,0.996741,0.178571,0.0,0.058824
6614,0.996325,0.214286,0.0,0.0
5126,0.997231,0.142857,0.0,0.0
5700,0.996741,0.107143,0.0,0.0
8403,0.996709,0.214286,0.0,0.0
1154,0.997158,0.142857,0.0,0.0
3833,0.996988,0.035714,0.0,0.0
6230,0.996325,0.142857,0.0,0.0
5664,0.996746,0.071429,0.0375,0.0
4364,0.996746,0.035714,0.0375,0.0
886,0.996325,0.071429,0.1875,0.0
1163,0.996741,0.071429,0.15,0.0
8139,0.997163,0.178571,0.0,0.0
4780,0.996686,0.071429,0.0,0.058824
3121,0.997017,0.071429,0.0,0.117647
5655,0.996325,0.071429,0.0625,0.0
1499,0.996325,0.107143,0.0375,0.0
3857,0.996686,0.071429,0.0,0.058824
8120,0.996741,0.107143,0.0,0.117647
3967,0.996325,0.107143,0.225,0.0
209,0.996325,0.071429,0.0875,0.058824
2699,0.996656,0.107143,0.0875,0.058824
4338,0.997073,0.035714,0.0,0.0
1279,0.997093,0.035714,0.0,0.0
2209,0.996741,0.142857,0.0,0.0
3282,0.996656,0.142857,0.0,0.0
5641,0.996325,0.214286,0.0,0.0
7183,0.996656,0.142857,0.0,0.0
8695,0.996325,0.071429,0.0,0.0
4456,0.996269,0.107143,0.0,0.0
1474,0.997158,0.178571,0.0625,0.0
4660,0.996656,0.142857,0.0,0.0
6166,0.996741,0.107143,0.0,0.0
8062,0.99669,0.142857,0.0,0.0
3665,0.996807,0.142857,0.0,0.0
945,0.996807,0.142857,0.0,0.0
2685,0.996661,0.071429,0.0,0.0
981,0.996325,0.142857,0.0,0.0
3275,0.996325,0.107143,0.1875,0.0
4185,0.996325,0.142857,0.1125,0.058824
8275,0.997078,0.107143,0.0,0.0
7287,0.996043,0.25,0.0,0.0
837,0.996269,0.035714,0.1125,0.058824
