Key_1_2,oz248,oz246,oz249,oz151,oz13,oz251
4984,0.647,0.597176,0.176438,0.285714,0.272727,0.53708
8334,0.944,0.666353,0.183086,0.0,0.227273,0.603374
7743,0.583,0.497255,0.134016,0.0,0.045455,0.338043
7067,0.6,0.440314,0.120501,0.071429,0.181818,0.544481
3114,0.938,0.627451,0.149819,0.0,0.090909,0.552606
8658,0.947,0.666353,0.187659,0.0,0.227273,0.524246
4835,0.0,0.156863,0.139989,0.0,0.0,0.532319
4905,0.0,0.156863,0.099387,0.0,0.0,0.461937
1756,0.545,0.470588,0.107075,0.071429,0.090909,0.49423
4828,0.6,0.470588,0.096402,0.071429,0.045455,0.483051
6811,0.588,0.580392,0.134812,0.285714,0.181818,0.48745
3803,0.5,0.542588,0.195134,0.071429,0.090909,0.586555
4330,0.667,0.542588,0.092383,0.0,0.090909,0.39616
6394,0.0,0.313725,0.194987,0.0,0.0,0.467215
2883,0.667,0.612863,0.196209,0.142857,0.181818,0.585261
3113,0.0,0.156863,0.115075,0.0,0.0,0.477928
5606,0.0,0.156863,0.090331,0.0,0.0,0.462661
6842,0.4,0.612863,0.392877,0.0,0.090909,0.656265
3229,0.0,0.156863,0.119575,0.0,0.0,0.541841
799,0.6,0.470588,0.107998,0.071429,0.045455,0.483051
7192,0.5,0.470588,0.122608,0.071429,0.045455,0.378202
4129,0.0,0.313725,0.08978,0.0,0.0,0.212907
6186,0.182,0.364235,0.088568,0.0,0.045455,0.314082
4235,0.789,0.627451,0.202876,0.142857,0.272727,0.631579
6827,0.5,0.470588,0.122684,0.0,0.045455,0.538063
7439,0.706,0.580392,0.1738,0.142857,0.181818,0.572427
6163,0.571,0.612863,0.21985,0.0,0.090909,0.51964
3977,0.0,0.313725,0.09807,0.0,0.0,0.385551
729,0.316,0.521098,0.156998,0.0,0.045455,0.461833
3718,0.0,0.248627,0.089573,0.0,0.0,0.295296
7168,0.929,0.597176,0.125026,0.071429,0.136364,0.520778
4770,0.375,0.470588,0.171168,0.0,0.045455,0.538529
2421,0.667,0.580392,0.115483,0.0,0.181818,0.418827
2502,0.632,0.597176,0.169768,0.142857,0.090909,0.54624
5550,0.778,0.627451,0.184562,0.0,0.227273,0.603426
454,0.0,0.0,0.112339,0.0,0.0,0.366092
5390,0.75,0.440314,0.08255,0.0,0.090909,0.45407
2056,0.667,0.440314,0.09778,0.0,0.136364,0.514206
190,0.0,0.156863,0.102257,0.0,0.0,0.521192
2678,0.4,0.470588,0.166204,0.0,0.045455,0.581742
3882,0.545,0.612863,0.205457,0.0,0.090909,0.466698
8193,0.571,0.542588,0.146083,0.142857,0.136364,0.558557
2844,0.833,0.641098,0.186768,0.071429,0.090909,0.596543
5304,0.0,0.0,0.063905,0.0,0.0,0.43161
3164,0.0,0.248627,0.089713,0.0,0.0,0.455105
1620,0.615,0.542588,0.13976,0.071429,0.090909,0.537494
5151,0.375,0.521098,0.169081,0.142857,0.136364,0.5155
2617,0.0,0.156863,0.308561,0.0,0.0,0.639445
3907,0.0,0.156863,0.074162,0.0,0.0,0.485639
5682,0.412,0.497255,0.183054,0.071429,0.090909,0.577654
6398,0.765,0.612863,0.186322,0.0,0.136364,0.597371
2720,0.846,0.562353,0.132298,0.142857,0.181818,0.577861
8411,0.545,0.497255,0.090696,0.071429,0.045455,0.394763
823,0.636,0.497255,0.09266,0.071429,0.090909,0.408115
7022,0.0,0.248627,0.046397,0.0,0.0,0.250116
2859,0.636,0.497255,0.09266,0.071429,0.090909,0.408115
3886,0.0,0.248627,0.049009,0.0,0.0,0.440253
665,0.333,0.313725,0.043472,0.0,0.0,0.396108
7648,0.4,0.597176,0.374366,0.285714,0.181818,0.60001
5521,0.538,0.521098,0.150649,0.0,0.045455,0.428143
3455,0.545,0.470588,0.128479,0.071429,0.045455,0.438286
5258,0.667,0.521098,0.126589,0.0,0.045455,0.37815
4824,0.636,0.497255,0.093054,0.0,0.136364,0.383843
6683,0.636,0.497255,0.101185,0.0,0.136364,0.364281
7351,0.778,0.497255,0.084638,0.0,0.045455,0.444444
4145,0.0,0.248627,0.163518,0.0,0.0,0.389277
1618,0.0,0.0,0.161323,0.0,0.0,0.505149
7597,0.0,0.248627,0.090795,0.0,0.0,0.455312
2653,0.722,0.612863,0.181301,0.0,0.090909,0.509134
7259,0.429,0.521098,0.090235,0.142857,0.181818,0.296641
834,0.222,0.313725,0.093621,0.071429,0.090909,0.519174
4470,0.0,0.0,0.146143,0.0,0.0,0.579465
5264,0.0,0.156863,0.070613,0.0,0.0,0.48921
198,0.0,0.156863,0.102257,0.0,0.0,0.521192
7951,0.813,0.597176,0.138551,0.071429,0.227273,0.440304
6841,0.667,0.440314,0.095183,0.0,0.045455,0.514206
7447,0.0,0.248627,0.090353,0.0,0.0,0.416033
2376,0.0,0.248627,0.145125,0.0,0.0,0.513378
6548,0.125,0.364235,0.154917,0.0,0.0,0.433835
7605,0.0,0.156863,0.132212,0.0,0.0,0.511308
4350,0.0,0.156863,0.07482,0.0,0.0,0.443616
7992,0.667,0.542588,0.11049,0.0,0.045455,0.501216
3186,0.583,0.497255,0.12446,0.214286,0.181818,0.532371
3544,0.583,0.497255,0.12705,0.0,0.181818,0.549708
5805,0.0,0.156863,0.051924,0.0,0.0,0.336387
1206,0.429,0.470588,0.137634,0.142857,0.090909,0.537649
6282,0.4,0.470588,0.155846,0.285714,0.181818,0.50991
4710,0.4,0.497255,0.149036,0.142857,0.090909,0.497335
5543,0.0,0.156863,0.15801,0.0,0.0,0.571961
1894,0.0,0.248627,0.09006,0.0,0.0,0.436837
5499,0.0,0.0,0.187929,0.0,0.0,0.576153
7776,0.778,0.627451,0.16257,0.071429,0.272727,0.571702
3796,0.737,0.627451,0.161046,0.142857,0.272727,0.528438
7185,0.0,0.313725,0.082076,0.0,0.0,0.408322
6632,0.6,0.440314,0.107925,0.0,0.045455,0.530611
3690,0.545,0.470588,0.125268,0.0,0.045455,0.541634
3959,0.0,0.156863,0.134808,0.0,0.0,0.571961
6074,0.8,0.497255,0.086117,0.142857,0.090909,0.479636
7821,0.0,0.0,0.085185,0.0,0.0,0.326036
7198,0.81,0.666353,0.205416,0.142857,0.318182,0.569063
919,0.727,0.497255,0.093163,0.0,0.136364,0.325778
5557,0.615,0.497255,0.124708,0.0,0.181818,0.345288
627,0.563,0.542588,0.165523,0.071429,0.181818,0.455261
7544,0.444,0.40549,0.0758,0.0,0.090909,0.288258
1307,0.667,0.497255,0.109125,0.0,0.181818,0.346789
8361,0.7,0.612863,0.175646,0.0,0.227273,0.457693
1071,0.462,0.470588,0.095836,0.0,0.136364,0.363608
3435,0.571,0.497255,0.139703,0.0,0.136364,0.380841
5408,0.5,0.497255,0.098646,0.0,0.045455,0.474667
4538,0.0,0.156863,0.105042,0.0,0.0,0.47917
7147,0.429,0.470588,0.157695,0.071429,0.045455,0.560575
6494,0.846,0.562353,0.130115,0.142857,0.181818,0.517207
4893,0.833,0.627451,0.16889,0.214286,0.181818,0.550743
2957,0.882,0.627451,0.167907,0.214286,0.181818,0.594007
4676,0.667,0.440314,0.073589,0.214286,0.136364,0.431403
5124,0.615,0.521098,0.119769,0.0,0.136364,0.402525
8316,0.727,0.521098,0.079915,0.0,0.136364,0.364695
154,0.5,0.542588,0.147069,0.071429,0.090909,0.412307
5685,0.615,0.521098,0.11083,0.071429,0.090909,0.403405
8788,0.0,0.313725,0.340991,0.0,0.0,0.625731
1211,0.0,0.0,0.354496,0.0,0.0,0.705377
1090,0.0,0.248627,0.258953,0.0,0.0,0.649433
1880,0.714,0.688941,0.285331,0.214286,0.363636,0.576049
431,0.7,0.612863,0.199898,0.0,0.227273,0.477462
7140,0.667,0.612863,0.215554,0.0,0.227273,0.491073
6010,0.3,0.364235,0.098623,0.0,0.136364,0.351188
3144,0.0,0.497255,0.426325,0.0,0.0,0.40946
4551,0.471,0.542588,0.163986,0.214286,0.136364,0.47446
953,0.636,0.497255,0.109771,0.071429,0.090909,0.505822
1349,0.167,0.364235,0.118783,0.0,0.0,0.483983
6788,0.833,0.627451,0.183665,0.214286,0.227273,0.536873
5708,0.0,0.156863,0.158631,0.0,0.0,0.586503
4205,0.889,0.641098,0.183802,0.0,0.227273,0.595353
731,0.5,0.364235,0.056421,0.0,0.0,0.417534
5989,0.5,0.470588,0.128396,0.0,0.045455,0.517052
7697,0.545,0.470588,0.098849,0.071429,0.045455,0.455571
847,0.545,0.440314,0.109067,0.285714,0.181818,0.540496
6063,0.813,0.597176,0.141297,0.142857,0.181818,0.5096
5945,0.824,0.627451,0.164304,0.071429,0.181818,0.549397
1105,0.75,0.440314,0.082464,0.0,0.090909,0.412307
6873,1.0,0.709647,0.211805,0.071429,0.318182,0.591523
5276,0.905,0.688941,0.207147,0.0,0.227273,0.621539
3044,0.0,0.156863,0.050734,0.0,0.0,0.380169
4703,0.0,0.0,0.07778,0.0,0.0,0.387621
5452,0.364,0.497255,0.185024,0.142857,0.090909,0.380686
3760,0.895,0.677961,0.195551,0.0,0.090909,0.58081
2094,0.0,0.248627,0.146726,0.0,0.0,0.562853
7844,0.813,0.612863,0.142888,0.0,0.090909,0.51845
1550,0.214,0.440314,0.108638,0.0,0.136364,0.363401
5581,1.0,0.627451,0.160934,0.0,0.090909,0.664493
2990,0.692,0.542588,0.13303,0.142857,0.136364,0.588159
4276,0.667,0.612863,0.178188,0.0,0.136364,0.549138
2311,0.5,0.497255,0.094493,0.0,0.090909,0.333696
7420,0.0,0.156863,0.056367,0.0,0.0,0.44491
4173,0.75,0.580392,0.157402,0.142857,0.136364,0.558764
1126,0.545,0.470588,0.114006,0.142857,0.090909,0.469441
5217,0.882,0.627451,0.177205,0.071429,0.136364,0.638979
2953,0.0,0.0,0.128934,0.0,0.0,0.459815
775,0.545,0.440314,0.12592,0.071429,0.090909,0.498887
1559,0.871,0.769725,0.299781,0.0,0.454545,0.6972
940,0.5,0.497255,0.119776,0.071429,0.090909,0.472132
6258,0.316,0.497255,0.211481,0.071429,0.045455,0.561766
800,0.0,0.248627,0.132832,0.0,0.0,0.430368
8088,0.421,0.542588,0.172152,0.0,0.136364,0.449827
2744,0.0,0.156863,0.065617,0.0,0.0,0.445117
7997,0.5,0.440314,0.109981,0.142857,0.090909,0.469492
8451,0.375,0.440314,0.185998,0.142857,0.136364,0.585779
3752,0.5,0.470588,0.12229,0.0,0.045455,0.538063
3454,0.882,0.627451,0.183465,0.142857,0.181818,0.638979
4617,0.353,0.440314,0.20861,0.071429,0.090909,0.528696
1813,0.467,0.497255,0.149106,0.142857,0.181818,0.507478
6880,0.619,0.627451,0.204044,0.071429,0.136364,0.575791
7856,0.4,0.497255,0.138961,0.0,0.045455,0.491849
2017,0.813,0.597176,0.155607,0.214286,0.227273,0.56544
2794,0.0,0.248627,0.086334,0.0,0.0,0.437044
5512,0.517,0.627451,0.258062,0.142857,0.090909,0.347306
6108,0.941,0.641098,0.167506,0.071429,0.227273,0.595974
2611,0.0,0.156863,0.041563,0.0,0.0,0.448481
4931,0.667,0.440314,0.113736,0.0,0.045455,0.566837
734,0.905,0.688941,0.20203,0.0,0.227273,0.565699
3826,0.0,0.156863,0.07517,0.0,0.0,0.443616
133,0.615,0.521098,0.116151,0.142857,0.090909,0.511981
795,0.889,0.654118,0.193533,0.071429,0.136364,0.645966
7164,0.462,0.440314,0.13835,0.214286,0.136364,0.557419
6739,0.0,0.156863,0.19057,0.0,0.0,0.58169
6756,0.0,0.248627,0.059479,0.0,0.0,0.418517
1747,0.333,0.440314,0.122025,0.0,0.0,0.458314
2870,0.462,0.440314,0.110184,0.0,0.0,0.478238
8737,0.706,0.612863,0.180165,0.142857,0.136364,0.57165
8748,0.545,0.497255,0.103877,0.071429,0.090909,0.485846
8467,0.846,0.562353,0.111114,0.0,0.181818,0.500233
3311,0.727,0.497255,0.111725,0.142857,0.136364,0.497904
7144,0.545,0.470588,0.097382,0.071429,0.045455,0.417482
4217,0.031,0.440314,0.60502,0.071429,0.090909,0.469699
496,0.0,0.156863,0.134048,0.0,0.0,0.56839
7224,0.394,0.612863,0.304959,0.285714,0.272727,0.361228
4926,0.0,0.248627,0.257938,0.0,0.0,0.612897
8659,0.5,0.440314,0.152298,0.0,0.181818,0.628577
3981,0.75,0.440314,0.078098,0.142857,0.090909,0.52466
2855,0.667,0.440314,0.093389,0.214286,0.136364,0.555814
3252,0.4,0.470588,0.157759,0.214286,0.136364,0.608084
2784,0.5,0.440314,0.12306,0.142857,0.090909,0.528438
7261,0.75,0.542588,0.10803,0.071429,0.090909,0.471562
7562,0.25,0.521098,0.308386,0.0,0.181818,0.668219
355,0.0,0.156863,0.31608,0.0,0.0,0.730373
3573,0.667,0.497255,0.112043,0.0,0.136364,0.521348
6915,0.0,0.248627,0.107394,0.0,0.0,0.472597
99,0.833,0.627451,0.172422,0.071429,0.227273,0.604047
3584,0.929,0.597176,0.12621,0.071429,0.136364,0.506909
