credit/table_1_2.own_telephone,credit/table_1_2.existing_credits,credit/table_1_2.other_payment_plans,credit/table_1_2.Key_1_2,Key_0_0
yes,2.0,none,998,15
none,1.0,none,374,363
none,1.0,none,938,509
yes,2.0,bank,126,633
none,1.0,none,394,84
none,2.0,none,524,908
yes,1.0,none,933,964
none,1.0,none,285,673
none,1.0,none,286,40
yes,2.0,none,620,307
yes,4.0,none,37,827
yes,1.0,none,616,512
yes,2.0,bank,712,231
none,2.0,stores,443,178
none,1.0,none,839,458
none,2.0,none,603,767
none,1.0,none,148,271
none,1.0,none,651,631
none,1.0,none,625,29
none,1.0,none,10,900
none,1.0,none,275,642
none,1.0,none,469,771
none,1.0,none,458,734
none,1.0,none,723,164
yes,1.0,none,166,131
none,1.0,none,509,281
none,2.0,none,75,548
yes,1.0,none,262,97
yes,1.0,none,911,600
yes,1.0,none,825,403
none,1.0,none,197,758
yes,1.0,none,414,100
none,1.0,none,894,858
none,2.0,bank,741,657
none,1.0,none,265,25
none,1.0,stores,896,407
none,1.0,none,52,922
yes,2.0,bank,478,163
yes,1.0,none,247,117
none,2.0,bank,904,235
none,1.0,none,268,607
none,2.0,none,6,198
none,1.0,none,615,502
none,1.0,none,552,902
none,1.0,stores,54,351
yes,1.0,none,287,752
none,1.0,none,461,416
none,1.0,none,605,564
none,1.0,none,313,423
none,1.0,none,704,798
none,1.0,none,717,486
none,1.0,bank,558,371
yes,1.0,bank,613,805
yes,2.0,none,17,127
none,2.0,none,322,143
none,1.0,none,256,384
none,2.0,none,710,396
none,1.0,none,172,689
none,1.0,none,418,923
yes,1.0,none,910,925
none,1.0,none,772,750
yes,1.0,bank,980,36
none,1.0,none,941,795
none,2.0,none,589,596
yes,2.0,none,380,625
none,2.0,none,868,261
yes,2.0,none,924,517
yes,1.0,none,706,722
none,1.0,bank,215,762
yes,1.0,none,289,45
none,2.0,none,77,389
none,2.0,none,36,794
yes,1.0,bank,449,667
yes,2.0,none,93,815
none,1.0,none,440,253
none,2.0,none,917,811
yes,2.0,none,297,777
yes,1.0,none,635,233
yes,1.0,stores,796,266
none,1.0,bank,883,784
none,1.0,none,834,58
none,2.0,none,424,518
none,1.0,none,713,436
yes,1.0,none,473,931
yes,1.0,none,164,331
yes,1.0,none,339,676
none,1.0,none,798,341
none,2.0,stores,590,469
yes,1.0,none,703,444
yes,3.0,none,795,938
yes,1.0,none,851,505
yes,1.0,none,7,630
none,1.0,none,956,796
yes,2.0,stores,239,791
yes,2.0,stores,866,903
yes,2.0,none,555,765
none,2.0,stores,119,496
none,1.0,none,74,137
yes,1.0,none,436,723
none,1.0,none,482,605
yes,2.0,none,398,425
yes,1.0,none,939,814
yes,2.0,none,178,801
none,2.0,none,33,527
yes,2.0,none,257,822
none,2.0,none,82,275
none,2.0,bank,311,77
none,1.0,none,142,333
none,1.0,bank,406,262
none,1.0,none,123,930
yes,1.0,stores,125,743
none,2.0,none,135,186
none,2.0,bank,400,92
none,2.0,none,438,50
yes,1.0,none,769,988
yes,1.0,none,477,763
none,1.0,none,62,620
yes,1.0,none,270,735
none,1.0,none,240,864
yes,2.0,stores,862,346
none,1.0,none,277,782
none,2.0,none,975,578
none,2.0,bank,642,754
yes,2.0,none,369,338
none,1.0,none,336,18
yes,1.0,none,821,287
none,1.0,none,543,497
yes,1.0,none,99,880
none,1.0,none,92,609
none,2.0,bank,876,54
none,2.0,stores,355,976
none,1.0,stores,667,669
none,1.0,none,200,207
none,1.0,none,375,835
yes,2.0,none,234,941
none,1.0,none,214,565
none,1.0,none,410,604
none,1.0,bank,130,32
yes,2.0,none,899,329
none,1.0,none,535,516
none,1.0,bank,888,473
none,1.0,none,608,66
yes,1.0,none,636,690
none,2.0,none,316,78
none,1.0,none,882,870
none,1.0,none,362,185
yes,2.0,none,624,655
yes,1.0,none,399,26
none,1.0,none,999,660
yes,2.0,none,878,958
yes,2.0,stores,522,400
yes,1.0,none,540,316
yes,1.0,stores,210,897
none,1.0,none,696,952
yes,1.0,none,368,506
yes,1.0,stores,219,299
yes,1.0,none,222,621
yes,1.0,bank,537,86
yes,1.0,none,501,810
yes,1.0,none,686,449
none,2.0,none,724,21
none,2.0,bank,784,247
yes,2.0,none,34,470
yes,1.0,none,949,434
none,1.0,none,376,970
none,1.0,none,173,8
none,2.0,bank,687,91
none,1.0,none,952,409
none,1.0,bank,720,115
yes,2.0,none,86,708
yes,2.0,none,100,542
none,1.0,none,430,622
none,1.0,none,235,857
none,1.0,none,237,728
none,1.0,none,371,770
none,2.0,bank,136,315
none,1.0,none,538,757
none,2.0,bank,711,288
none,2.0,none,300,569
none,1.0,none,662,200
none,2.0,none,699,741
none,1.0,none,47,415
none,2.0,none,721,246
none,3.0,none,928,93
none,1.0,bank,192,37
yes,1.0,none,734,962
none,1.0,none,53,691
none,2.0,bank,568,312
none,2.0,none,742,433
none,3.0,bank,681,499
none,2.0,none,665,585
yes,1.0,none,833,99
none,2.0,none,850,961
yes,1.0,none,447,553
yes,1.0,none,983,428
yes,1.0,none,746,256
yes,1.0,none,309,866
yes,2.0,bank,503,909
yes,2.0,none,508,451
none,1.0,none,51,419
none,2.0,none,937,373
none,2.0,bank,744,19
none,1.0,stores,224,738
yes,2.0,none,365,522
none,1.0,none,666,223
yes,1.0,none,50,685
none,1.0,none,765,597
none,1.0,none,57,48
yes,2.0,none,484,860
yes,1.0,none,684,854
none,1.0,none,748,447
none,2.0,none,547,249
yes,1.0,none,151,332
none,2.0,none,425,492
yes,2.0,none,357,850
yes,2.0,bank,515,874
none,2.0,bank,276,635
none,2.0,none,637,650
yes,1.0,none,4,785
none,1.0,none,242,442
yes,1.0,none,396,915
none,2.0,none,354,49
none,2.0,none,822,44
yes,2.0,none,510,568
yes,2.0,none,199,663
none,1.0,none,533,158
yes,1.0,none,378,665
yes,2.0,none,607,523
none,1.0,none,133,157
yes,1.0,none,528,65
yes,1.0,none,923,637
none,1.0,none,498,435
yes,1.0,none,919,573
none,2.0,none,813,950
none,1.0,none,66,533
yes,1.0,none,344,679
none,2.0,none,364,426
none,1.0,none,521,250
yes,1.0,none,308,154
yes,1.0,bank,523,525
yes,2.0,none,264,833
yes,1.0,none,532,14
none,1.0,none,562,355
yes,4.0,none,752,561
none,2.0,none,21,576
none,1.0,none,24,109
none,2.0,none,995,508
none,1.0,none,343,368
yes,2.0,bank,385,392
none,1.0,none,333,352
none,1.0,bank,483,472
none,1.0,none,803,465
none,1.0,none,487,474
yes,1.0,bank,310,973
none,1.0,none,571,709
yes,1.0,none,495,437
none,1.0,none,434,985
none,1.0,none,827,118
none,1.0,none,960,532
yes,2.0,stores,295,394
yes,1.0,none,386,133
yes,2.0,stores,920,955
none,2.0,bank,640,318
none,2.0,none,71,265
yes,1.0,none,890,993
yes,1.0,none,577,849
none,1.0,none,736,385
yes,2.0,none,329,478
none,2.0,none,695,997
yes,1.0,none,14,218
yes,3.0,none,429,753
none,1.0,bank,105,420
none,1.0,none,610,594
none,2.0,none,622,996
none,1.0,none,120,740
yes,1.0,none,913,22
yes,1.0,none,139,554
yes,2.0,none,280,967
yes,1.0,stores,46,404
yes,1.0,none,3,806
none,1.0,none,103,321
yes,1.0,none,701,848
none,1.0,none,511,330
none,1.0,none,85,498
yes,1.0,none,314,636
none,2.0,none,726,282
yes,1.0,none,973,906
none,1.0,none,65,490
none,1.0,none,149,476
none,2.0,none,340,768
yes,1.0,bank,415,292
yes,3.0,none,238,145
none,3.0,none,806,713
none,1.0,none,914,177
none,2.0,none,675,152
yes,2.0,none,572,575
yes,1.0,none,530,193
none,1.0,none,320,67
yes,2.0,none,481,935
none,2.0,none,853,926
none,1.0,none,115,327
none,2.0,none,719,30
yes,1.0,none,162,852
none,1.0,bank,384,360
none,1.0,none,43,882
none,2.0,none,231,324
yes,2.0,none,152,587
none,1.0,none,363,116
none,2.0,stores,631,119
none,1.0,none,260,712
none,1.0,none,629,639
none,1.0,bank,348,649
yes,1.0,none,783,999
none,1.0,none,269,701
none,2.0,none,966,755
yes,1.0,none,593,314
none,2.0,bank,101,297
none,2.0,none,223,213
none,1.0,none,551,949
none,2.0,none,563,5
yes,1.0,none,812,515
yes,1.0,stores,182,779
yes,1.0,none,947,242
yes,2.0,none,241,289
yes,2.0,bank,203,62
none,1.0,bank,489,730
yes,1.0,none,132,489
none,1.0,none,435,136
none,1.0,none,621,180
none,2.0,none,743,166
none,1.0,bank,689,837
yes,1.0,stores,111,7
none,1.0,bank,820,831
yes,1.0,none,559,727
yes,3.0,bank,587,337
none,1.0,none,556,800
none,1.0,none,740,842
none,2.0,none,479,55
none,1.0,none,20,110
yes,1.0,none,150,584
none,1.0,none,671,181
yes,1.0,none,193,108
yes,1.0,none,290,984
yes,1.0,none,529,225
none,2.0,none,294,71
none,3.0,none,630,390
yes,1.0,none,360,339
yes,2.0,none,141,907
yes,2.0,none,705,199
none,1.0,none,979,551
yes,1.0,none,516,216
yes,1.0,none,545,711
none,2.0,none,467,804
none,2.0,stores,171,95
yes,2.0,stores,691,868
none,1.0,none,332,197
none,1.0,none,284,989
yes,1.0,none,254,891
none,1.0,none,546,151
none,2.0,none,962,618
yes,2.0,none,465,70
none,1.0,none,948,951
none,1.0,none,476,123
none,2.0,none,844,35
none,3.0,bank,606,159
none,1.0,bank,83,301
yes,1.0,none,731,678
none,1.0,bank,370,563
none,1.0,none,456,167
none,2.0,none,359,878
none,2.0,none,903,672
none,1.0,none,826,511
none,1.0,none,634,855
none,1.0,bank,209,418
yes,2.0,none,542,134
yes,3.0,stores,885,978
none,1.0,none,349,391
yes,1.0,none,346,128
none,2.0,none,361,294
none,1.0,none,30,454
none,2.0,none,860,797
yes,1.0,none,217,802
none,2.0,none,116,702
none,1.0,none,382,277
yes,1.0,bank,49,365
none,1.0,none,678,74
yes,1.0,none,236,821
none,2.0,none,165,841
yes,1.0,none,129,319
yes,1.0,bank,243,977
yes,1.0,none,373,323
none,1.0,none,872,971
none,1.0,stores,419,61
none,2.0,none,732,707
yes,1.0,none,500,179
yes,1.0,none,854,645
yes,1.0,none,457,552
none,1.0,bank,408,464
yes,1.0,none,702,828
yes,1.0,stores,298,257
none,3.0,bank,307,140
none,1.0,none,818,819
yes,1.0,none,992,459
none,1.0,none,104,877
yes,1.0,stores,39,214
none,1.0,none,968,583
yes,3.0,none,179,0
yes,1.0,none,68,440
none,1.0,none,471,895
yes,1.0,none,954,559
none,2.0,none,31,424
yes,1.0,none,870,132
none,2.0,none,296,135
yes,1.0,none,317,641
none,1.0,none,514,744
yes,1.0,none,745,417
none,1.0,none,175,914
yes,2.0,none,774,267
none,2.0,none,567,209
none,2.0,none,553,173
none,1.0,none,347,304
none,1.0,bank,446,890
yes,2.0,none,249,380
