Key_1_1,property_magnitude,installment_commitment,foreign_worker
860,real estate,4.0,yes
884,real estate,2.0,yes
142,real estate,2.0,yes
398,life insurance,2.0,yes
668,no known property,3.0,yes
121,no known property,2.0,yes
369,life insurance,3.0,yes
228,car,2.0,yes
547,real estate,2.0,yes
463,car,4.0,yes
43,car,3.0,yes
265,life insurance,3.0,yes
477,car,1.0,yes
382,car,4.0,yes
826,car,2.0,yes
231,car,4.0,yes
77,life insurance,4.0,yes
851,car,2.0,yes
914,no known property,4.0,yes
710,car,3.0,yes
493,car,4.0,yes
25,real estate,2.0,yes
854,real estate,1.0,no
41,life insurance,3.0,yes
624,car,2.0,no
245,real estate,1.0,yes
403,car,4.0,yes
431,real estate,3.0,yes
316,real estate,3.0,yes
522,no known property,3.0,yes
585,real estate,3.0,yes
126,car,2.0,yes
571,car,2.0,yes
348,no known property,4.0,yes
882,life insurance,4.0,yes
179,life insurance,4.0,yes
924,no known property,1.0,yes
110,real estate,4.0,yes
983,car,2.0,yes
82,real estate,4.0,yes
725,car,4.0,yes
119,car,3.0,yes
16,real estate,2.0,yes
984,car,1.0,yes
341,no known property,4.0,yes
427,car,4.0,yes
520,car,4.0,yes
214,life insurance,1.0,yes
99,life insurance,1.0,yes
100,real estate,4.0,yes
942,life insurance,4.0,yes
324,car,1.0,yes
731,car,3.0,yes
419,life insurance,2.0,yes
219,no known property,4.0,yes
821,real estate,1.0,yes
342,no known property,2.0,yes
441,car,2.0,yes
69,car,3.0,yes
676,no known property,4.0,yes
230,real estate,2.0,yes
86,real estate,4.0,yes
237,no known property,4.0,yes
154,car,2.0,yes
838,life insurance,4.0,yes
686,life insurance,4.0,yes
10,car,2.0,yes
201,real estate,4.0,yes
694,no known property,4.0,yes
397,car,4.0,yes
958,life insurance,1.0,yes
244,life insurance,4.0,yes
736,no known property,3.0,yes
784,real estate,2.0,yes
537,no known property,4.0,yes
746,no known property,4.0,yes
58,car,4.0,yes
908,life insurance,2.0,yes
598,life insurance,2.0,yes
421,life insurance,2.0,yes
975,car,1.0,yes
365,life insurance,4.0,yes
413,life insurance,3.0,yes
617,real estate,4.0,yes
34,real estate,3.0,yes
825,real estate,4.0,yes
487,life insurance,4.0,yes
272,no known property,1.0,yes
929,car,4.0,yes
404,real estate,4.0,yes
845,real estate,4.0,yes
409,real estate,4.0,yes
156,life insurance,4.0,yes
915,no known property,4.0,yes
180,real estate,4.0,yes
236,no known property,3.0,yes
597,car,4.0,yes
519,car,4.0,yes
185,real estate,4.0,yes
580,life insurance,3.0,yes
302,real estate,4.0,yes
182,car,4.0,yes
576,real estate,3.0,yes
928,car,4.0,yes
705,car,2.0,yes
643,car,2.0,yes
745,no known property,2.0,yes
268,car,2.0,yes
781,life insurance,1.0,no
726,real estate,1.0,yes
469,car,1.0,yes
818,life insurance,4.0,yes
273,real estate,3.0,yes
724,real estate,4.0,yes
534,real estate,3.0,yes
395,real estate,4.0,yes
373,car,4.0,yes
240,real estate,2.0,no
262,car,1.0,yes
379,car,3.0,yes
227,real estate,3.0,yes
175,car,4.0,yes
251,real estate,3.0,yes
149,no known property,4.0,yes
997,real estate,4.0,yes
465,life insurance,4.0,yes
390,real estate,4.0,yes
830,car,4.0,yes
488,car,4.0,yes
354,real estate,3.0,yes
400,car,1.0,yes
359,life insurance,4.0,yes
629,life insurance,2.0,yes
241,no known property,4.0,yes
131,real estate,2.0,yes
165,real estate,4.0,yes
40,car,2.0,yes
78,real estate,4.0,yes
944,real estate,4.0,yes
30,car,2.0,yes
426,real estate,2.0,no
956,no known property,4.0,yes
23,car,3.0,yes
579,car,2.0,yes
813,life insurance,4.0,yes
425,car,4.0,yes
595,no known property,1.0,yes
499,car,4.0,yes
87,life insurance,3.0,yes
377,car,4.0,yes
836,no known property,2.0,yes
839,life insurance,1.0,no
807,car,4.0,yes
712,no known property,2.0,yes
938,car,4.0,yes
293,car,2.0,yes
584,real estate,3.0,no
691,car,4.0,yes
85,car,2.0,yes
689,real estate,1.0,yes
501,real estate,3.0,yes
147,life insurance,4.0,yes
664,life insurance,4.0,yes
155,no known property,2.0,yes
558,life insurance,4.0,yes
589,car,1.0,yes
220,car,4.0,yes
570,real estate,4.0,yes
177,life insurance,2.0,yes
146,real estate,4.0,yes
166,car,4.0,yes
972,real estate,4.0,yes
313,life insurance,3.0,yes
738,real estate,4.0,no
849,life insurance,2.0,yes
128,real estate,4.0,yes
257,car,2.0,yes
505,car,4.0,yes
991,car,4.0,yes
423,real estate,4.0,yes
187,car,1.0,yes
136,real estate,2.0,yes
656,life insurance,4.0,yes
917,real estate,4.0,yes
772,car,4.0,yes
340,life insurance,4.0,yes
730,no known property,2.0,yes
841,car,2.0,yes
697,life insurance,4.0,yes
329,car,1.0,yes
903,life insurance,2.0,yes
514,no known property,4.0,yes
459,car,4.0,yes
659,real estate,2.0,yes
384,life insurance,4.0,yes
275,car,2.0,yes
351,car,1.0,yes
269,car,4.0,yes
276,no known property,4.0,yes
408,no known property,4.0,yes
207,car,4.0,yes
70,real estate,4.0,yes
124,car,3.0,yes
899,life insurance,4.0,yes
770,real estate,4.0,yes
451,no known property,3.0,yes
921,real estate,4.0,yes
587,life insurance,4.0,yes
243,car,2.0,yes
52,life insurance,3.0,no
284,real estate,1.0,yes
582,real estate,2.0,yes
892,life insurance,2.0,yes
370,real estate,4.0,yes
695,car,4.0,yes
680,life insurance,1.0,yes
503,life insurance,3.0,yes
314,real estate,2.0,yes
111,real estate,2.0,yes
45,car,2.0,yes
118,real estate,4.0,yes
49,life insurance,4.0,yes
671,real estate,4.0,yes
492,real estate,4.0,yes
559,car,3.0,yes
775,car,4.0,yes
205,no known property,1.0,yes
1,no known property,4.0,yes
672,car,4.0,yes
844,no known property,4.0,yes
833,car,4.0,yes
817,no known property,2.0,yes
965,no known property,3.0,yes
801,real estate,4.0,yes
823,real estate,2.0,yes
735,car,4.0,yes
723,life insurance,1.0,yes
252,car,4.0,yes
209,life insurance,4.0,yes
708,life insurance,1.0,yes
512,car,4.0,yes
954,life insurance,3.0,yes
343,no known property,3.0,yes
73,real estate,3.0,yes
470,real estate,4.0,yes
134,real estate,4.0,yes
196,real estate,4.0,yes
552,no known property,4.0,no
84,real estate,2.0,yes
498,real estate,3.0,yes
472,real estate,3.0,yes
480,car,1.0,yes
858,no known property,4.0,yes
277,life insurance,2.0,yes
509,car,2.0,yes
800,real estate,1.0,yes
847,real estate,4.0,yes
877,no known property,4.0,yes
601,car,1.0,yes
489,real estate,4.0,yes
703,real estate,2.0,yes
31,car,4.0,yes
330,no known property,2.0,yes
990,no known property,2.0,yes
455,real estate,3.0,no
508,car,4.0,yes
923,real estate,4.0,yes
274,car,4.0,yes
33,life insurance,1.0,no
417,car,4.0,yes
578,life insurance,4.0,no
684,car,3.0,yes
432,no known property,4.0,yes
415,real estate,4.0,yes
72,no known property,1.0,yes
756,real estate,1.0,yes
37,car,2.0,yes
897,life insurance,2.0,yes
874,life insurance,1.0,yes
757,car,4.0,yes
447,no known property,3.0,yes
759,real estate,4.0,yes
194,car,4.0,yes
125,life insurance,4.0,yes
612,car,4.0,yes
741,real estate,1.0,yes
79,life insurance,4.0,yes
866,no known property,2.0,yes
215,real estate,4.0,yes
103,real estate,4.0,yes
298,real estate,2.0,no
871,car,1.0,yes
564,no known property,2.0,yes
389,no known property,4.0,yes
911,car,4.0,yes
889,car,1.0,yes
642,car,1.0,yes
785,life insurance,4.0,no
80,real estate,3.0,yes
885,car,3.0,yes
308,real estate,1.0,yes
699,car,4.0,yes
338,real estate,4.0,yes
2,life insurance,4.0,yes
12,no known property,2.0,yes
443,real estate,4.0,yes
977,life insurance,2.0,yes
690,no known property,4.0,yes
104,real estate,3.0,yes
278,real estate,4.0,yes
279,no known property,3.0,yes
696,car,4.0,yes
