Key_1_1,personal_status,age,credit_history
860,male single,67.0,critical/other existing credit
884,female div/dep/mar,22.0,existing paid
142,male single,49.0,critical/other existing credit
398,male single,45.0,existing paid
668,male single,53.0,delayed previously
121,male single,35.0,existing paid
369,male single,53.0,existing paid
228,male single,35.0,existing paid
547,male div/sep,61.0,existing paid
463,male mar/wid,28.0,critical/other existing credit
43,female div/dep/mar,25.0,existing paid
265,female div/dep/mar,24.0,existing paid
477,female div/dep/mar,22.0,existing paid
382,male single,60.0,critical/other existing credit
826,female div/dep/mar,28.0,existing paid
231,female div/dep/mar,32.0,existing paid
77,male single,53.0,critical/other existing credit
851,male single,25.0,no credits/all paid
914,female div/dep/mar,44.0,existing paid
710,male single,31.0,existing paid
493,male single,48.0,critical/other existing credit
25,male single,44.0,existing paid
854,male single,48.0,critical/other existing credit
41,male single,44.0,critical/other existing credit
624,male mar/wid,26.0,critical/other existing credit
245,male single,36.0,existing paid
403,male mar/wid,39.0,no credits/all paid
431,female div/dep/mar,42.0,all paid
316,male single,34.0,existing paid
522,male single,63.0,delayed previously
585,male mar/wid,36.0,existing paid
126,male single,27.0,existing paid
571,male single,30.0,existing paid
348,male single,57.0,critical/other existing credit
882,female div/dep/mar,33.0,existing paid
179,male single,25.0,critical/other existing credit
924,male single,31.0,critical/other existing credit
110,male single,37.0,existing paid
983,male single,37.0,existing paid
82,male single,24.0,existing paid
725,male single,30.0,existing paid
119,male div/sep,26.0,existing paid
16,male single,44.0,delayed previously
984,male mar/wid,24.0,critical/other existing credit
341,female div/dep/mar,58.0,critical/other existing credit
427,female div/dep/mar,35.0,critical/other existing credit
520,male single,39.0,existing paid
214,female div/dep/mar,23.0,existing paid
99,male single,39.0,critical/other existing credit
100,female div/dep/mar,28.0,existing paid
942,male single,29.0,delayed previously
324,male single,30.0,delayed previously
731,male single,25.0,existing paid
419,male single,31.0,existing paid
219,male single,57.0,delayed previously
821,male single,26.0,all paid
342,male single,52.0,existing paid
441,female div/dep/mar,31.0,critical/other existing credit
69,female div/dep/mar,23.0,existing paid
676,female div/dep/mar,23.0,critical/other existing credit
230,male mar/wid,27.0,existing paid
86,male single,50.0,critical/other existing credit
237,male single,61.0,no credits/all paid
154,male single,25.0,no credits/all paid
838,female div/dep/mar,26.0,existing paid
686,male single,48.0,existing paid
10,female div/dep/mar,29.0,existing paid
201,male mar/wid,22.0,existing paid
694,male single,37.0,existing paid
397,female div/dep/mar,25.0,existing paid
958,female div/dep/mar,30.0,existing paid
244,male single,46.0,critical/other existing credit
736,male single,51.0,critical/other existing credit
784,female div/dep/mar,41.0,critical/other existing credit
537,male single,40.0,existing paid
746,male single,66.0,critical/other existing credit
58,male single,34.0,existing paid
908,male single,51.0,delayed previously
598,male single,39.0,no credits/all paid
421,male mar/wid,22.0,existing paid
975,female div/dep/mar,44.0,existing paid
365,male single,47.0,existing paid
413,female div/dep/mar,24.0,existing paid
617,female div/dep/mar,58.0,existing paid
34,male single,52.0,existing paid
825,female div/dep/mar,29.0,critical/other existing credit
487,female div/dep/mar,27.0,critical/other existing credit
272,male single,47.0,existing paid
929,male single,30.0,existing paid
404,male single,28.0,no credits/all paid
845,male single,56.0,critical/other existing credit
409,male single,54.0,critical/other existing credit
156,female div/dep/mar,33.0,critical/other existing credit
915,male single,20.0,critical/other existing credit
180,male single,54.0,existing paid
236,male single,58.0,no credits/all paid
597,female div/dep/mar,61.0,critical/other existing credit
519,male single,34.0,existing paid
185,male single,36.0,critical/other existing credit
580,male single,36.0,delayed previously
302,male mar/wid,41.0,existing paid
182,male single,24.0,existing paid
576,female div/dep/mar,24.0,delayed previously
928,male single,35.0,critical/other existing credit
705,male mar/wid,26.0,existing paid
643,male single,39.0,critical/other existing credit
745,male single,39.0,all paid
268,male single,32.0,existing paid
781,female div/dep/mar,30.0,existing paid
726,male mar/wid,35.0,existing paid
469,male div/sep,31.0,delayed previously
818,female div/dep/mar,23.0,existing paid
273,male single,28.0,existing paid
724,female div/dep/mar,25.0,critical/other existing credit
534,male mar/wid,35.0,existing paid
395,male single,47.0,critical/other existing credit
373,female div/dep/mar,30.0,existing paid
240,female div/dep/mar,27.0,critical/other existing credit
262,female div/dep/mar,23.0,critical/other existing credit
379,male div/sep,36.0,critical/other existing credit
227,female div/dep/mar,25.0,existing paid
175,female div/dep/mar,41.0,critical/other existing credit
251,male single,24.0,existing paid
149,male single,63.0,critical/other existing credit
997,female div/dep/mar,27.0,existing paid
465,male single,30.0,critical/other existing credit
390,male mar/wid,40.0,existing paid
830,male single,30.0,existing paid
488,male single,34.0,critical/other existing credit
354,female div/dep/mar,29.0,critical/other existing credit
400,female div/dep/mar,24.0,existing paid
359,male single,29.0,delayed previously
629,male single,27.0,existing paid
241,male single,47.0,existing paid
131,female div/dep/mar,21.0,existing paid
165,female div/dep/mar,38.0,critical/other existing credit
40,male single,27.0,delayed previously
78,male single,66.0,existing paid
944,male single,35.0,critical/other existing credit
30,female div/dep/mar,44.0,existing paid
426,male mar/wid,27.0,existing paid
956,female div/dep/mar,30.0,existing paid
23,male single,27.0,existing paid
579,male single,22.0,existing paid
813,female div/dep/mar,23.0,critical/other existing credit
425,male single,30.0,all paid
595,female div/dep/mar,39.0,critical/other existing credit
499,female div/dep/mar,51.0,critical/other existing credit
87,male single,28.0,critical/other existing credit
377,male single,46.0,critical/other existing credit
836,male single,42.0,existing paid
839,male single,38.0,existing paid
807,male single,24.0,existing paid
712,female div/dep/mar,29.0,critical/other existing credit
938,male single,36.0,delayed previously
293,female div/dep/mar,20.0,existing paid
584,male single,48.0,critical/other existing credit
691,male mar/wid,45.0,all paid
85,male single,38.0,existing paid
689,male single,34.0,critical/other existing credit
501,male single,36.0,critical/other existing credit
147,female div/dep/mar,30.0,critical/other existing credit
664,male single,36.0,existing paid
155,male single,70.0,existing paid
558,male single,36.0,existing paid
589,male single,32.0,existing paid
220,female div/dep/mar,33.0,existing paid
570,female div/dep/mar,20.0,existing paid
177,female div/dep/mar,25.0,existing paid
146,male div/sep,31.0,critical/other existing credit
166,male single,33.0,no credits/all paid
972,female div/dep/mar,26.0,existing paid
313,female div/dep/mar,34.0,delayed previously
738,male single,33.0,existing paid
849,male single,26.0,delayed previously
128,female div/dep/mar,53.0,all paid
257,male div/sep,42.0,existing paid
505,male single,52.0,critical/other existing credit
991,male single,31.0,existing paid
423,male single,65.0,critical/other existing credit
187,male div/sep,28.0,delayed previously
136,male div/sep,30.0,delayed previously
656,male single,40.0,all paid
917,male single,50.0,critical/other existing credit
772,male single,36.0,critical/other existing credit
340,male single,31.0,critical/other existing credit
730,female div/dep/mar,74.0,all paid
841,male single,68.0,critical/other existing credit
697,male mar/wid,20.0,existing paid
329,female div/dep/mar,33.0,no credits/all paid
903,male single,54.0,existing paid
514,male single,34.0,no credits/all paid
459,male single,36.0,existing paid
659,male mar/wid,29.0,existing paid
384,male single,21.0,existing paid
275,female div/dep/mar,34.0,critical/other existing credit
351,female div/dep/mar,28.0,critical/other existing credit
269,female div/dep/mar,27.0,existing paid
276,male single,36.0,existing paid
408,male div/sep,40.0,delayed previously
207,male single,52.0,critical/other existing credit
70,male mar/wid,27.0,existing paid
124,male single,26.0,delayed previously
899,male mar/wid,21.0,existing paid
770,male single,38.0,critical/other existing credit
451,male single,38.0,critical/other existing credit
921,male single,43.0,critical/other existing credit
587,male single,26.0,critical/other existing credit
243,male mar/wid,21.0,existing paid
52,male single,55.0,existing paid
284,male single,33.0,critical/other existing credit
582,female div/dep/mar,45.0,existing paid
892,male single,50.0,no credits/all paid
370,male single,66.0,delayed previously
695,male single,51.0,critical/other existing credit
680,female div/dep/mar,39.0,critical/other existing credit
503,male single,31.0,no credits/all paid
314,male single,23.0,existing paid
111,male div/sep,24.0,existing paid
45,female div/dep/mar,64.0,existing paid
118,male mar/wid,26.0,existing paid
49,female div/dep/mar,23.0,existing paid
671,male single,30.0,existing paid
492,male single,32.0,delayed previously
559,male single,30.0,existing paid
775,male single,27.0,no credits/all paid
205,male single,27.0,existing paid
1,male single,53.0,existing paid
672,male single,22.0,existing paid
844,male single,22.0,existing paid
833,male single,26.0,existing paid
817,male single,51.0,existing paid
965,male single,35.0,existing paid
801,male mar/wid,25.0,existing paid
823,male single,42.0,critical/other existing credit
735,male single,30.0,existing paid
723,male single,23.0,existing paid
252,male div/sep,61.0,existing paid
209,female div/dep/mar,35.0,critical/other existing credit
708,male single,39.0,existing paid
512,female div/dep/mar,29.0,existing paid
954,male single,51.0,existing paid
343,male single,24.0,no credits/all paid
73,female div/dep/mar,27.0,critical/other existing credit
470,female div/dep/mar,35.0,all paid
134,male single,25.0,existing paid
196,male single,52.0,critical/other existing credit
552,male single,35.0,no credits/all paid
84,male single,26.0,existing paid
498,female div/dep/mar,22.0,existing paid
472,female div/dep/mar,39.0,critical/other existing credit
480,female div/dep/mar,46.0,existing paid
858,female div/dep/mar,24.0,existing paid
277,male single,35.0,delayed previously
509,male single,24.0,existing paid
800,male single,27.0,delayed previously
847,male single,35.0,critical/other existing credit
877,male div/sep,29.0,all paid
601,female div/dep/mar,23.0,existing paid
489,female div/dep/mar,57.0,critical/other existing credit
703,male single,27.0,existing paid
31,female div/dep/mar,55.0,existing paid
330,male single,36.0,critical/other existing credit
990,female div/dep/mar,57.0,critical/other existing credit
455,male single,32.0,critical/other existing credit
508,male single,37.0,existing paid
923,male single,36.0,critical/other existing credit
274,female div/dep/mar,38.0,existing paid
33,male div/sep,45.0,existing paid
417,male single,25.0,existing paid
578,male single,32.0,existing paid
684,female div/dep/mar,37.0,critical/other existing credit
432,male single,36.0,all paid
415,male single,28.0,existing paid
72,male div/sep,34.0,existing paid
756,male single,32.0,existing paid
37,female div/dep/mar,26.0,critical/other existing credit
897,male div/sep,49.0,existing paid
874,female div/dep/mar,32.0,existing paid
757,male single,29.0,existing paid
447,male single,23.0,critical/other existing credit
759,male single,50.0,existing paid
194,male single,49.0,all paid
125,male single,63.0,critical/other existing credit
612,male div/sep,37.0,critical/other existing credit
741,female div/dep/mar,35.0,existing paid
79,male single,26.0,existing paid
866,male single,31.0,delayed previously
215,female div/dep/mar,49.0,existing paid
103,male mar/wid,48.0,delayed previously
298,male mar/wid,26.0,existing paid
871,male mar/wid,28.0,existing paid
564,female div/dep/mar,44.0,critical/other existing credit
389,male single,56.0,critical/other existing credit
911,male div/sep,46.0,critical/other existing credit
889,female div/dep/mar,26.0,existing paid
642,female div/dep/mar,20.0,existing paid
785,male single,45.0,existing paid
80,male single,43.0,existing paid
885,male single,32.0,critical/other existing credit
308,female div/dep/mar,54.0,existing paid
699,female div/dep/mar,42.0,no credits/all paid
338,male single,37.0,critical/other existing credit
2,male single,49.0,critical/other existing credit
12,male single,44.0,critical/other existing credit
443,male div/sep,33.0,existing paid
977,female div/dep/mar,24.0,existing paid
690,male mar/wid,33.0,existing paid
104,female div/dep/mar,24.0,existing paid
278,male mar/wid,22.0,existing paid
279,male single,40.0,existing paid
696,male single,25.0,existing paid
719,female div/dep/mar,26.0,existing paid
291,male mar/wid,25.0,existing paid
208,male single,29.0,existing paid
468,male single,31.0,all paid
405,male single,38.0,existing paid
658,female div/dep/mar,48.0,existing paid
780,male single,32.0,critical/other existing credit
883,female div/dep/mar,27.0,delayed previously
24,male mar/wid,28.0,critical/other existing credit
115,male div/sep,32.0,existing paid
581,male single,34.0,existing paid
788,male single,28.0,existing paid
640,female div/dep/mar,36.0,critical/other existing credit
987,male single,39.0,critical/other existing credit
763,male single,49.0,critical/other existing credit
344,female div/dep/mar,34.0,existing paid
507,male single,31.0,existing paid
796,male single,28.0,existing paid
173,male single,75.0,critical/other existing credit
481,female div/dep/mar,30.0,critical/other existing credit
765,female div/dep/mar,24.0,existing paid
586,female div/dep/mar,24.0,critical/other existing credit
197,male single,23.0,no credits/all paid
674,male div/sep,44.0,critical/other existing credit
783,female div/dep/mar,23.0,existing paid
810,female div/dep/mar,24.0,existing paid
106,male single,28.0,existing paid
649,male div/sep,31.0,existing paid
610,female div/dep/mar,24.0,critical/other existing credit
438,female div/dep/mar,26.0,existing paid
634,male mar/wid,25.0,existing paid
347,male single,33.0,existing paid
264,male single,37.0,existing paid
912,female div/dep/mar,43.0,critical/other existing credit
249,male single,23.0,critical/other existing credit
526,female div/dep/mar,23.0,existing paid
270,male single,34.0,delayed previously
905,male single,32.0,critical/other existing credit
949,female div/dep/mar,23.0,existing paid
222,female div/dep/mar,29.0,existing paid
285,male single,38.0,critical/other existing credit
843,male single,28.0,no credits/all paid
145,male single,46.0,existing paid
650,male single,23.0,existing paid
428,male single,49.0,critical/other existing credit
516,male single,26.0,delayed previously
229,male mar/wid,28.0,existing paid
83,female div/dep/mar,23.0,existing paid
429,male single,61.0,existing paid
992,male single,37.0,existing paid
623,female div/dep/mar,36.0,delayed previously
776,male mar/wid,21.0,existing paid
549,male single,25.0,existing paid
139,male single,36.0,existing paid
513,male single,27.0,critical/other existing credit
467,female div/dep/mar,22.0,existing paid
476,male single,42.0,existing paid
233,female div/dep/mar,40.0,existing paid
21,male single,36.0,existing paid
188,male single,33.0,critical/other existing credit
108,female div/dep/mar,23.0,critical/other existing credit
