Key_1_2,savings_status,purpose,credit_amount,duration,checking_status
234,no known savings,radio/tv,1169.0,6.0,<0
170,<100,radio/tv,5951.0,48.0,0<=X<200
509,<100,education,2096.0,12.0,no checking
268,<100,furniture/equipment,7882.0,42.0,<0
412,<100,new car,4870.0,24.0,<0
910,no known savings,education,9055.0,36.0,no checking
371,500<=X<1000,furniture/equipment,2835.0,24.0,no checking
436,<100,used car,6948.0,36.0,0<=X<200
221,>=1000,radio/tv,3059.0,12.0,no checking
917,<100,new car,5234.0,30.0,0<=X<200
342,<100,new car,1295.0,12.0,0<=X<200
511,<100,business,4308.0,48.0,<0
344,<100,radio/tv,1567.0,12.0,0<=X<200
832,<100,new car,1199.0,24.0,<0
810,<100,new car,1403.0,15.0,<0
269,100<=X<500,radio/tv,1282.0,24.0,<0
814,no known savings,radio/tv,2424.0,24.0,no checking
307,no known savings,business,8072.0,30.0,<0
396,<100,used car,12579.0,24.0,0<=X<200
217,500<=X<1000,radio/tv,3430.0,24.0,no checking
565,<100,new car,2134.0,9.0,no checking
770,500<=X<1000,radio/tv,2647.0,6.0,<0
563,<100,new car,2241.0,10.0,<0
187,100<=X<500,used car,1804.0,12.0,0<=X<200
937,no known savings,furniture/equipment,2069.0,10.0,no checking
893,<100,furniture/equipment,1374.0,6.0,<0
186,<100,radio/tv,426.0,6.0,no checking
927,>=1000,radio/tv,409.0,12.0,>=200
173,<100,radio/tv,2415.0,7.0,0<=X<200
998,<100,business,6836.0,60.0,<0
591,>=1000,business,1913.0,18.0,0<=X<200
896,<100,furniture/equipment,4020.0,24.0,<0
865,100<=X<500,new car,5866.0,18.0,0<=X<200
265,no known savings,business,1264.0,12.0,no checking
755,<100,furniture/equipment,1474.0,12.0,>=200
809,<100,radio/tv,4746.0,45.0,0<=X<200
886,<100,education,6110.0,48.0,no checking
486,<100,radio/tv,2100.0,18.0,>=200
129,<100,domestic appliance,1225.0,10.0,>=200
856,<100,radio/tv,458.0,9.0,0<=X<200
395,500<=X<1000,radio/tv,2333.0,30.0,no checking
